configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,GD_trades,GD_expectancy_C1,BR_trades,BR_expectancy_C1,MIX_trades,MIX_expectancy_C1,NG_trades,NG_expectancy_C1,Y2020_trades,Y2020_expectancy_C1,Y2021_trades,Y2021_expectancy_C1,Y2022_trades,Y2022_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T3-H1-2e29f26637ab,614,1.3716086614,0.163962684187,100.673088091,-21.9230031271,4.59212123026,0.403908794788,126,0.218597222973,58,0.543899692231,99,0.14821061935,108,-0.00882458751396,115,0.0950550448447,108,0.156782683572,79,0.380390846678,126,-0.0510321429698,102,0.338365021471,151,0.0846453957136,156,0.19075368125,333,0.206732012329,281,0.113278747279,0.0344516851679,0.0744486283241,0.102179400965,0.164475620058,87.8713702329,1.32435443163,0.143346444099,73.0091195482,1.26949427796,0.119491194023,62.7047897132,1.23145851002,0.102963529907
T3-H1-1bef08206dd9,585,1.28028475227,0.125074849112,73.1687867306,-28.8982449078,2.53194569304,0.394871794872,121,0.156031414055,56,0.478302432214,96,0.154961566723,102,-0.111695354854,109,0.0902379172188,101,0.140442893454,76,0.208673351712,122,-0.130986931742,98,0.305681654938,146,0.0996112930988,143,0.201328438438,321,0.185531816969,264,0.0515646722862,0.0205537972346,0.051384739444,0.0797420179883,0.14640529612,66.299288399,1.25397003907,0.113526178765,55.9949585639,1.21449765386,0.0962112690102,46.5173775883,1.17819226252,0.0802023751523
T3-H1-0ceadfe6ba89,756,1.41082305775,0.181138560267,136.940751562,-17.998312977,7.60853262952,0.406084656085,144,0.324389347401,67,0.606715913843,115,0.116988901671,142,0.00751188530569,143,0.0557215650397,145,0.186828442085,104,0.204118832629,148,0.0176909126609,124,0.509279340347,194,0.0881411131751,186,0.176581310405,421,0.171235890127,335,0.193583408413,0.0288226112149,0.0626975830547,0.0897437095766,0.1471583281,123.386243229,1.37015945326,0.16342548772,107.455743919,1.32236786191,0.14270351118,94.7366691417,1.28421056299,0.126147362372
T3-H1-aeeb96942cf3,714,1.46328578667,0.203160457152,145.056566406,-16.2129477802,8.9469582196,0.40056022409,141,0.232037909345,72,0.538275287334,110,0.29427111107,135,0.0508569235523,131,0.128275302587,125,0.140350631716,93,0.37147821289,142,0.08039026246,114,0.473915764489,181,0.0348272623808,184,0.210671433129,396,0.248767045145,318,0.146367347576,0.0295846338076,0.0801752606008,0.107734530036,0.165147657301,131.502058074,1.41999501252,0.184434864058,108.323435114,1.34596646739,0.152353635884,95.6968685782,1.30563938014,0.134974426767
T3-H1-4e27874898fc,684,1.42992524607,0.192094539846,131.392665254,-14.2525081689,9.21891527424,0.400584795322,132,0.19723238446,68,0.490378247793,108,0.246505132605,127,0.12040282536,134,0.121036864631,115,0.120692318724,94,0.303866715606,133,0.14617660015,118,0.366074427571,174,-0.0485815201642,165,0.294812777107,374,0.228145101234,310,0.148601281913,0.0310164623029,0.0840555595254,0.118583783939,0.183945180333,117.838156922,1.38557402358,0.172530244395,94.6595339617,1.30973207943,0.139000784085,79.57035,1.26035929964,0.117187555228
T3-H1-5ce129d7f93a,780,1.46762538578,0.24691926419,192.597026068,-28.070061578,6.86129688505,0.373076923077,160,0.287630478847,72,0.736554345573,124,0.303461402625,136,0.0680631181366,149,0.144908081181,139,0.180339097005,104,0.400824354949,160,0.0320662500225,120,0.621920692655,198,0.00386752377119,198,0.355476971338,436,0.292020641169,344,0.189755891044,0.0298989400901,0.0810270402198,0.109083155973,0.167881009875,174.524348291,1.4237449423,0.224036390618,143.619517678,1.34870804462,0.18483850409,126.660751309,1.30753217692,0.163433227495
T3-H1-4e73cdb77246,725,1.46490681122,0.167391541441,121.358867544,-15.9848082915,7.59213781806,0.422068965517,146,0.24109274728,69,0.47136919666,113,0.216705947585,126,0.0490593958696,139,0.0818336176083,132,0.0878085080887,98,0.23927678957,146,0.0632746937273,113,0.423313934446,184,-0.00119267665557,184,0.223133776058,405,0.187454601467,320,0.141999231094,0.0283568608025,0.0768479582829,0.103457040968,0.159222314037,110.515260878,1.42336665269,0.152645387953,91.9723625103,1.3523317137,0.127385543643,81.7971026887,1.31335188724,0.113607087068
T3-H1-ff3ccac57cfa,723,1.45976096985,0.139203300647,100.643986368,-13.9930639445,7.19241952777,0.426002766252,145,0.217790728489,69,0.390402839292,113,0.170701203147,126,0.0378113905685,138,0.0663149985058,132,0.0675878323097,97,0.228059018399,146,0.0431790034843,112,0.362830016204,184,-0.00620306989831,184,0.177839837614,404,0.15142971592,319,0.123719063123,0.0282784129549,0.0766353622217,0.103170832201,0.15878183341,91.6076474795,1.41848124633,0.126880398171,76.1552321729,1.34789165917,0.105771155796,67.6758489882,1.30915621578,0.0942560570867
T3-H1-65fae596a867,901,1.42993211697,0.143210067424,129.032270749,-14.7137632612,8.76949482321,0.425083240844,188,0.194061329359,88,0.352694802429,145,0.103726341755,154,0.0503507005903,171,0.097797443285,155,0.14189618044,121,0.204676982801,184,0.0135345959661,144,0.39411499184,224,0.0385457989179,228,0.159601633287,503,0.179159716484,398,0.097776214465,0.022552347847,0.0542978141381,0.079024279436,0.130602743268,119.353824706,1.39768379047,0.132615360785,105.730108689,1.35228992865,0.117739541969,95.1186299267,1.31693276179,0.106159185186
T3-H1-d9d86ab01cd1,815,1.36514507043,0.143325831456,116.810552637,-18.1144575238,6.44847092349,0.403680981595,166,0.215339213429,77,0.531453693268,130,0.109800942906,143,-0.0113146291942,151,0.121394707608,148,0.0618620092849,113,0.124974728848,166,0.00620688922957,129,0.434125815362,199,0.0317994351982,208,0.189075706148,452,0.190070601487,363,0.0851202224929,0.0327817574471,0.0706945441985,0.0994893977935,0.155227711741,102.494355355,1.32039321585,0.125914441468,85.9373743713,1.26863676191,0.105834204891,73.3623071119,1.22932760947,0.0905707495208
T3-H1-30681f09c487,701,1.47248885359,0.227373792428,159.389028492,-22.824738387,6.98317000568,0.390870185449,138,0.375215344606,65,0.619710727197,107,0.313851076454,125,0.0324554943261,138,0.097474718502,128,0.12685625425,96,0.289139485161,140,0.123053195795,109,0.535910536475,179,0.010132475819,177,0.306080389027,388,0.285142670978,313,0.155762530838,0.0264562760311,0.0751770239782,0.116398083945,0.190138564875,146.247448436,1.43353228203,0.208924926338,122.046475905,1.36179152374,0.174851684677,101.570810362,1.3010939724,0.145935072359
T3-H1-ea3e58b88e04,672,1.47129164626,0.248242289411,166.818818484,-22.9122210214,7.28077903614,0.369047619048,131,0.411276481203,63,0.61955159464,105,0.241249670264,120,0.0677417653024,129,0.227659431142,124,0.0893673802644,91,0.289949009814,136,0.0751634835736,103,0.632099736976,173,0.0244647267843,169,0.360192628299,372,0.306304496539,300,0.176245152571,0.0245458541743,0.0689210834306,0.109798071602,0.189500593931,154.03583529,1.43517753607,0.229561602518,130.926115588,1.36988863196,0.195704208652,109.638208917,1.30974666074,0.164375125813
