dimension,value,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R,average_price_movement,percent_profitable,percent_stopped,percent_still_open
direction,LONG,120,648,0.0319552283726,-0.348461134392,0.783583969931,1.27662578655,0.0163179012346,40.1234567901,76.2345679012,23.7654320988
direction,SHORT,5,483,0.0116253959783,0,0.307339637144,0.362304439013,-0.00100621118012,44.099378882,3.72670807453,96.2732919255
direction,SHORT,15,483,0.0194511824719,-0.0260994774597,0.478147847594,0.60722189461,0.00533126293996,44.5134575569,14.4927536232,85.5072463768
direction,SHORT,30,483,0.0676872486379,-0.0564980509101,0.598834472305,0.843279490786,0.00810559006211,45.7556935818,26.7080745342,73.2919254658
direction,SHORT,60,483,0.0376521260913,-0.212985499014,0.704984287298,1.07881684337,0.0122691511387,43.685300207,51.3457556936,48.6542443064
direction,SHORT,120,483,0.0679787003454,-0.365484574968,0.731985869352,1.35551047172,0.0173602484472,38.3022774327,77.4327122153,22.5672877847
session,Session_A,5,30,-0.0454753163824,-0.157926064207,0.481259667179,0.505583271988,-0.0126666666667,40,13.3333333333,86.6666666667
session,Session_A,15,30,-0.0841187586438,-0.197797825205,0.606927098724,0.809098217339,-0.0049,33.3333333333,36.6666666667,63.3333333333
session,Session_A,30,30,-0.206556225813,-0.43954873714,0.766197490756,0.920214117624,-0.0111,26.6666666667,60,40
session,Session_A,60,30,-0.373351235364,-0.591442176983,0.91306453375,1.08973366274,-0.0244666666667,23.3333333333,80,20
session,Session_A,120,30,-0.362602871436,-0.994248586268,0.947449992391,1.15302666491,-0.0254666666667,23.3333333333,96.6666666667,3.33333333333
session,Session_B,5,818,0.00645247343016,0,0.316289339875,0.345607445751,0.000656479217604,43.8875305623,3.05623471883,96.9437652812
session,Session_B,15,818,0.0346623918299,0,0.505869471359,0.617314229408,0.00546699266504,46.0880195599,15.6479217604,84.3520782396
session,Session_B,30,818,0.106816219493,-0.0574910301101,0.623440166116,0.88619005942,0.0117689486553,45.7212713936,28.8508557457,71.1491442543
session,Session_B,60,818,0.0977065453899,-0.177081421982,0.717410069518,1.14235351744,0.0134645476773,45.2322738386,52.4449877751,47.5550122249
session,Session_B,120,818,0.0891419017011,-0.37594547217,0.745614678972,1.41302451138,0.0200354523227,39.8533007335,81.173594132,18.826405868
session,Session_C,5,283,-0.0713406834583,0,0.293424803622,0.248054188399,-0.00520494699647,36.3957597173,4.59363957597,95.406360424
session,Session_C,15,283,-0.0516519973169,0,0.454363559347,0.41239444228,-0.00558303886926,39.5759717314,8.12720848057,91.8727915194
session,Session_C,30,283,-0.117327293496,-0.175935989366,0.632390922529,0.607379129092,-0.00929681978799,36.7491166078,20.1413427562,79.8586572438
session,Session_C,60,283,-0.0557122402177,-0.18782131081,0.720557096141,0.812753744708,0.00337102473498,39.222614841,34.9823321555,65.0176678445
session,Session_C,120,283,-0.0300328240148,-0.262230470451,0.787898516755,1.0301067748,0.0117809187279,39.5759717314,61.8374558304,38.1625441696
candidate,10:00-17:00,5,818,0.00645247343016,0,0.316289339875,0.345607445751,0.000656479217604,43.8875305623,3.05623471883,96.9437652812
candidate,10:00-17:00,15,818,0.0346623918299,0,0.505869471359,0.617314229408,0.00546699266504,46.0880195599,15.6479217604,84.3520782396
candidate,10:00-17:00,30,818,0.106816219493,-0.0574910301101,0.623440166116,0.88619005942,0.0117689486553,45.7212713936,28.8508557457,71.1491442543
candidate,10:00-17:00,60,818,0.0977065453899,-0.177081421982,0.717410069518,1.14235351744,0.0134645476773,45.2322738386,52.4449877751,47.5550122249
candidate,10:00-17:00,120,818,0.0891419017011,-0.37594547217,0.745614678972,1.41302451138,0.0200354523227,39.8533007335,81.173594132,18.826405868
