analysis,hypothesis_id,scope,label,instrument,session,time_dimension,time_value,descriptive_class,excluded_values,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
time_slice,M5_TIME_MONTH_12-December,T2,12-December,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,12-December,positive,DATA_UNAVAILABLE,83,1.90275878255,0.42616805898,35.3719488954,-8.46534626138,4.17844088159,0.397590361446
time_slice,M5_TIME_QUARTER_2023-Q1,T2,2023-Q1,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2023-Q1,negative,DATA_UNAVAILABLE,89,0.944350126909,-0.0321956694246,-2.86541457879,-17.7560748148,-0.161376577237,0.325842696629
time_slice,M5_TIME_QUARTER_2023-Q2,T2,2023-Q2,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2023-Q2,negative,DATA_UNAVAILABLE,84,0.741641435199,-0.173584948248,-14.5811356528,-37.343682356,-0.390457896299,0.202380952381
time_slice,M5_TIME_QUARTER_2023-Q3,T2,2023-Q3,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2023-Q3,negative,DATA_UNAVAILABLE,108,0.846994571395,-0.0900362130104,-9.72391100513,-33.3980670736,-0.291151909591,0.333333333333
time_slice,M5_TIME_QUARTER_2023-Q4,T2,2023-Q4,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2023-Q4,positive,DATA_UNAVAILABLE,117,1.21627487049,0.121836524444,14.2548733599,-12.6737111954,1.12475920748,0.324786324786
time_slice,M5_TIME_QUARTER_2024-Q1,T2,2024-Q1,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2024-Q1,negative,DATA_UNAVAILABLE,112,0.996683709407,-0.00196753326244,-0.220363725393,-26.0258757521,-0.00846710126078,0.276785714286
time_slice,M5_TIME_QUARTER_2024-Q2,T2,2024-Q2,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2024-Q2,positive,DATA_UNAVAILABLE,93,1.39325799358,0.233822572235,21.7454992178,-10.1060874065,2.15172285209,0.311827956989
time_slice,M5_TIME_QUARTER_2024-Q3,T2,2024-Q3,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2024-Q3,negative,DATA_UNAVAILABLE,117,0.956195283575,-0.0260385444748,-3.04650970355,-20.1350129458,-0.151304084668,0.239316239316
time_slice,M5_TIME_QUARTER_2024-Q4,T2,2024-Q4,DATA_UNAVAILABLE,DATA_UNAVAILABLE,quarter,2024-Q4,positive,DATA_UNAVAILABLE,110,1.89369404715,0.409968786829,45.0965665511,-9.32161179031,4.83785074573,0.390909090909
time_hypothesis,M5_TIME_REMOVE_OBSERVED_NEGATIVE_HOURS,T2,Remove observed negative hours,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour_set,9;10;11;13;15;17;21,hypothetical_in_sample_subset,12;14;16;18;19;20;22;23,481,1.4618717119,0.247931389073,119.254998144,-25.4140291841,4.69248686544,0.328482328482
time_hypothesis,M5_TIME_KEEP_OBSERVED_PROFITABLE_HOURS,T2,Keep observed profitable hour set,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour_set,9;10;11;13;15;17;21,hypothetical_in_sample_subset,12;14;16;18;19;20;22;23,481,1.4618717119,0.247931389073,119.254998144,-25.4140291841,4.69248686544,0.328482328482
session_filter,M5_SESSION_KEEP_B,T3,Keep only Session_B,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,818,1.27449100465,0.133231745739,108.983568015,-24.2580243788,4.49268111505,0.382640586797
session_filter,M5_SESSION_REMOVE_C,T3,Remove Session_C,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,848,1.2348087228,0.11524259889,97.7257238588,-25.695282931,3.80325541155,0.377358490566
session_filter,M5_SESSION_KEEP_B_A,T3,Keep Session_B + Session_A,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,848,1.2348087228,0.11524259889,97.7257238588,-25.695282931,3.80325541155,0.377358490566
holding_time,M5_HOLD_000_015,T3,0-15 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,108,0.000983377156692,-1.01727801947,-109.866026103,-109.866026103,-1,0.00925925925926
holding_time,M5_HOLD_015_030,T3,15-30 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,168,0.0955519105353,-0.775859567963,-130.344407418,-130.344407418,-1,0.0833333333333
holding_time,M5_HOLD_030_060,T3,30-60 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,245,0.347533020567,-0.412515803146,-101.066371771,-103.015194446,-0.981082182242,0.257142857143
holding_time,M5_HOLD_060_120,T3,60-120 min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,328,1.45593810794,0.153533925163,50.3591274533,-13.9246509472,3.6165450498,0.44512195122
holding_time,M5_HOLD_120_PLUS,T3,120+ min,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,282,11.4151896351,1.34201392963,378.447928156,-3.71001349743,102.00715669,0.709219858156
instrument_session,M5_USDRUBF_Session_A,T3,USDRUBF / Session_A,USDRUBF,Session_A,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,14,0.148609477089,-0.566377398387,-7.92928357741,-9.02305903256,-0.878779973488,0.285714285714
instrument_session,M5_USDRUBF_Session_B,T3,USDRUBF / Session_B,USDRUBF,Session_B,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,435,1.53815872638,0.240095622752,104.441595897,-17.6691854422,5.91094571046,0.411494252874
instrument_session,M5_USDRUBF_Session_C,T3,USDRUBF / Session_C,USDRUBF,Session_C,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,155,1.02112632944,0.00933981461986,1.44767126608,-11.5770205244,0.12504696377,0.387096774194
instrument_session,M5_CNYRUBF_Session_A,T3,CNYRUBF / Session_A,CNYRUBF,Session_A,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,16,0.661759479534,-0.208035036169,-3.3285605787,-7.63759025706,-0.435812928773,0.1875
instrument_session,M5_CNYRUBF_Session_B,T3,CNYRUBF / Session_B,CNYRUBF,Session_B,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,383,1.02237792255,0.0118589350333,4.54197211776,-21.7195856516,0.209118727706,0.349869451697
instrument_session,M5_CNYRUBF_Session_C,T3,CNYRUBF / Session_C,CNYRUBF,Session_C,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,128,0.836146543423,-0.0909620687976,-11.6431448061,-21.7007444369,-0.536532045706,0.34375
time_slice,M5_TIME_HOUR_0,T3,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,0,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_1,T3,1,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,1,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_2,T3,2,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,2,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_3,T3,3,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,3,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_4,T3,4,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,4,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_5,T3,5,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,5,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_6,T3,6,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,6,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_7,T3,7,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,7,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_8,T3,8,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,8,flat,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
time_slice,M5_TIME_HOUR_9,T3,9,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,9,negative,DATA_UNAVAILABLE,30,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157,-0.864028849387,0.233333333333
time_slice,M5_TIME_HOUR_10,T3,10,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,10,positive,DATA_UNAVAILABLE,142,1.68760387768,0.333585481589,47.3691383857,-10.88525666,4.35167859291,0.408450704225
time_slice,M5_TIME_HOUR_11,T3,11,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,11,positive,DATA_UNAVAILABLE,113,2.38291313134,0.605354682939,68.4050791722,-16.4169026399,4.16674696028,0.389380530973
time_slice,M5_TIME_HOUR_12,T3,12,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,12,positive,DATA_UNAVAILABLE,140,1.39239170124,0.167115107926,23.3961151097,-8.6410481024,2.70755524473,0.428571428571
time_slice,M5_TIME_HOUR_13,T3,13,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,13,positive,DATA_UNAVAILABLE,111,1.29277895223,0.132617098689,14.7204979545,-10.687121673,1.37740529255,0.441441441441
time_slice,M5_TIME_HOUR_14,T3,14,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,14,negative,DATA_UNAVAILABLE,113,0.802223859742,-0.107191765062,-12.112669452,-15.4520636697,-0.783886845856,0.345132743363
time_slice,M5_TIME_HOUR_15,T3,15,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,15,negative,DATA_UNAVAILABLE,107,0.797372103196,-0.102602102554,-10.9784249733,-28.2442755487,-0.388695576715,0.355140186916
time_slice,M5_TIME_HOUR_16,T3,16,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,16,negative,DATA_UNAVAILABLE,92,0.591125450356,-0.237132262845,-21.8161681818,-27.4194932752,-0.79564446953,0.271739130435
time_slice,M5_TIME_HOUR_17,T3,17,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,17,positive,DATA_UNAVAILABLE,106,1.5616134454,0.235372111748,24.9494438453,-10.0840030239,2.4741606866,0.481132075472
time_slice,M5_TIME_HOUR_18,T3,18,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,18,negative,DATA_UNAVAILABLE,84,0.979389434626,-0.0097561177134,-0.819513887926,-10.1628291871,-0.0806383609166,0.392857142857
time_slice,M5_TIME_HOUR_19,T3,19,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,19,negative,DATA_UNAVAILABLE,48,0.345665859608,-0.285754028474,-13.7161933668,-15.5611578227,-0.881437841774,0.25
time_slice,M5_TIME_HOUR_20,T3,20,DATA_UNAVAILABLE,DATA_UNAVAILABLE,hour,20,negative,DATA_UNAVAILABLE,13,0.212856208593,-0.408894344972,-5.31562648464,-6.75305648429,-0.787143791407,0.230769230769
