trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R
CNY-000016,T3_MTF_Trend_v1.0,CNY,LONG,2023-08-09 15:00:00+03:00,13.54,13.422214734899995,0.11778526510000376,2023-08-09 19:00:00+03:00,13.422214734899995,ATR_TRAILING_STOP,4,-1102.7670222596457,-1.0,0.11778526510000376,0.040000000000000924,1.0,0.3396010525258787,-0.11778526510000376,-1.033960105252587,9362.521036254904,37.450084145019616,-1140.2171064046654,0.001,117.78526510000376,0.03396010525258709
Si-000020,T3_MTF_Trend_v1.0,Si,LONG,2023-08-08 18:00:00+03:00,97.01,96.14817022973268,0.8618297702673203,2023-08-09 19:00:00+03:00,96.72224352770176,ATR_TRAILING_STOP,16,-371.8133764665513,-0.33389015119422677,0.29000000000000625,0.8900000000000006,0.33649336563304694,1.0326865359082948,-0.2877564722982413,-0.3385314389960618,1292.1112546903562,5.168445018761425,-376.9818214853127,0.001,861.8297702673203,0.00464128780183503
CNY-000017,T3_MTF_Trend_v1.0,CNY,LONG,2023-08-11 15:00:00+03:00,13.6,13.505001976402028,0.09499802359797194,2023-08-14 18:00:00+03:00,13.796741972188238,ATR_TRAILING_STOP,18,2260.2288454949457,2.071011214094761,0.02999999999999936,0.370000000000001,0.3157960435783194,3.894817870799366,0.19674197218823863,2.028905074950984,11488.290070267292,45.953160281069174,2214.2756852138764,0.001,94.99802359797194,0.04210613914377682
Si-000021,T3_MTF_Trend_v1.0,Si,LONG,2023-08-11 11:00:00+03:00,97.84,97.13538096527061,0.7046190347293901,2023-08-14 18:00:00+03:00,100.31609913492082,ATR_TRAILING_STOP,22,3899.979650520774,3.514096288743838,0.21000000000000796,3.780000000000001,0.29803339059759965,5.3646010307565914,2.4760991349208155,3.5084194622562648,1575.0498820983166,6.300199528393267,3893.6794509923807,0.001,704.6190347293901,0.0056768264875731115
Si-000022,T3_MTF_Trend_v1.0,Si,LONG,2023-08-21 11:00:00+03:00,94.2,93.32531995144343,0.87468004855657,2023-08-21 17:00:00+03:00,93.34884243004576,ATR_TRAILING_STOP,6,-1117.8540545283402,-0.973107333771762,0.8511575699542391,0.480000000000004,0.973107333771762,0.5487720919119147,-0.8511575699542391,-0.9776804345376945,1313.3338573120363,5.253335429248145,-1123.1073899575883,0.001,874.68004855657,0.004573100765932584
Si-000023,T3_MTF_Trend_v1.0,Si,LONG,2023-09-13 14:00:00+03:00,95.6,94.8118044362609,0.7881955637390945,2023-09-14 16:00:00+03:00,95.67536799346016,ATR_TRAILING_STOP,17,108.77032420753942,0.09562093080380508,0.009999999999990905,1.1300000000000097,0.012687206652816264,1.433654351769554,0.0753679934601621,0.09054604814267396,1443.1898636791104,5.772759454716442,102.99756475282298,0.001,788.1955637390945,0.005074882661131121
CNY-000018,T3_MTF_Trend_v1.0,CNY,LONG,2023-09-14 19:00:00+03:00,13.34,13.222550724179197,0.11744927582080322,2023-09-15 14:00:00+03:00,13.229756770886945,ATR_TRAILING_STOP,10,-1045.1888570213953,-0.9386454564543816,0.1102432291130544,0.05000000000000071,0.9386454564543816,0.4257156942907642,-0.1102432291130544,-0.9727027119976422,9480.753289161681,37.923013156646725,-1083.111870178042,0.001,117.44927582080322,0.03405725554326065
Si-000024,T3_MTF_Trend_v1.0,Si,LONG,2023-09-14 19:00:00+03:00,96.9,96.09011742738532,0.8098825726146828,2023-09-15 14:00:00+03:00,96.16210803779069,ATR_TRAILING_STOP,10,-1037.3402767524299,-0.9111098166084186,0.7378919622093179,0.28999999999999204,0.9111098166084186,0.35807660246810263,-0.7378919622093179,-0.9160488042286684,1405.8159322491272,5.623263728996509,-1042.9635404814264,0.001,809.8825726146828,0.004938987620249828
Si-000025,T3_MTF_Trend_v1.0,Si,LONG,2023-10-03 00:00:00+03:00,99.7,99.17806176709752,0.5219382329024853,2023-10-03 10:00:00+03:00,99.17806176709752,ATR_TRAILING_STOP,1,-1128.1161884278172,-1.0,0.5219382329024853,0.0,1.0,0.0,-0.5219382329024853,-1.0076637420825758,2161.3978768223046,8.645591507289218,-1136.7617799351065,0.001,521.9382329024853,0.007663742082575751
Si-000026,T3_MTF_Trend_v1.0,Si,LONG,2023-10-05 20:00:00+03:00,100.63,100.11259628435646,0.5174037156435389,2023-10-06 12:00:00+03:00,100.45749046064027,ATR_TRAILING_STOP,7,-372.3393854258097,-0.33341380075935123,0.1725095393597229,0.6099999999999994,0.33341380075935123,1.1789633154089174,-0.1725095393597229,-0.3411447077456392,2158.3698316496843,8.633479326598737,-380.97286475240844,0.001,517.4037156435389,0.007730906986287991
CNY-000019,T3_MTF_Trend_v1.0,CNY,LONG,2023-10-09 14:00:00+03:00,13.897,13.794406356240632,0.10259364375936819,2023-10-09 17:00:00+03:00,13.86174456762088,ATR_TRAILING_STOP,3,-378.9253893483273,-0.34364148778857484,0.03525543237912032,0.13700000000000045,0.34364148778857484,1.335365379178186,-0.03525543237912032,-0.38263025798355826,10748.00006063015,42.9920002425206,-421.9173895908479,0.001,102.59364375936819,0.03898877019498341
Si-000027,T3_MTF_Trend_v1.0,Si,LONG,2023-10-09 15:00:00+03:00,102.01,101.19815884148463,0.811841158515378,2023-10-09 17:00:00+03:00,101.19815884148463,ATR_TRAILING_STOP,2,-1112.9388419809422,-1.0,0.811841158515378,0.23999999999999488,1.0,0.295624331782938,-0.811841158515378,-1.0049270721963823,1370.882506149583,5.483530024598331,-1118.4223720055406,0.001,811.841158515378,0.004927072196382405
CNY-000020,T3_MTF_Trend_v1.0,CNY,SHORT,2023-10-31 10:00:00+03:00,12.553,12.655335483606372,0.10233548360637101,2023-10-31 16:00:00+03:00,12.642323266891982,ATR_TRAILING_STOP,6,-958.7856772612643,-0.8728474595924014,0.08932326689198078,0.05900000000000105,0.8728474595924014,0.5765351168607556,-0.08932326689198078,-0.9119345861592316,10733.885029314144,42.93554011725658,-1001.7212173785208,0.001,102.33548360637101,0.039087126566830194
