scope,analysis,group,variant,candidate_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,median_holding_minutes
T3,weekday,Wednesday,SESSION_FILTER,DATA_UNAVAILABLE,157,1.03509985845,0.0182360509968,2.86306000649,-15.0869590115,0.189770516664,0.337579617834,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Thursday,SESSION_FILTER,DATA_UNAVAILABLE,170,1.24461660422,0.126395340979,21.4872079664,-17.1641404044,1.25186624324,0.376470588235,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Friday,SESSION_FILTER,DATA_UNAVAILABLE,185,1.49357039986,0.240431151783,44.4797630799,-19.9792927679,2.22629317247,0.378378378378,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,session,Session_A,BASELINE,DATA_UNAVAILABLE,30,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157,-0.864028849387,0.233333333333,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,session,Session_B,BASELINE,DATA_UNAVAILABLE,818,1.27449100465,0.133231745739,108.983568015,-24.2580243788,4.49268111505,0.382640586797,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,session,Session_C,BASELINE,DATA_UNAVAILABLE,283,0.926957514573,-0.0360264082686,-10.19547354,-28.0671125969,-0.363253380797,0.367491166078,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,session,10:00-17:00,SESSION_FILTER,DATA_UNAVAILABLE,814,1.28778699992,0.138922442491,113.082868188,-24.2580243788,4.66166850283,0.384520884521,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,holding_time,ALL,BASELINE,DATA_UNAVAILABLE,1131,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,101.41025641,65
T3,holding_time,WINNER,BASELINE,DATA_UNAVAILABLE,424,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,151.768867925,110
T3,holding_time,LOSER,BASELINE,DATA_UNAVAILABLE,707,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,71.2093352192,40
T3,holding_time,ALL,SESSION_FILTER,DATA_UNAVAILABLE,814,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,78.7162162162,60
T3,holding_time,WINNER,SESSION_FILTER,DATA_UNAVAILABLE,313,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,124.712460064,100
T3,holding_time,LOSER,SESSION_FILTER,DATA_UNAVAILABLE,501,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,49.9800399202,40
COMBINED,performance,ALL,BASELINE,COMBINED_M5_BASELINE,1961,1.1335270944,0.0704690743406,138.189854782,-46.8584781428,2.94908969004,0.344212136665,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,performance,ALL,SESSION_FILTER,COMBINED_M5_SESSION_CANDIDATE,1349,1.29974518048,0.152679738245,205.964966892,-34.0692462804,6.04548058378,0.352112676056,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,instrument,USDRUBF,BASELINE,DATA_UNAVAILABLE,1060,1.34707922033,0.166758134208,176.76362226,-30.5538447212,5.78531519922,0.370754716981,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,instrument,CNYRUBF,BASELINE,DATA_UNAVAILABLE,901,0.926614356446,-0.0428121725618,-38.5737674782,-65.011136184,-0.593340921915,0.312985571587,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,instrument,USDRUBF,SESSION_FILTER,DATA_UNAVAILABLE,737,1.55509145746,0.259440170852,191.207405918,-22.5275184022,8.48772610033,0.374491180461,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,instrument,CNYRUBF,SESSION_FILTER,DATA_UNAVAILABLE,612,1.04306608478,0.024113661722,14.7575609739,-31.2085670479,0.472868906516,0.325163398693,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,direction,LONG,BASELINE,DATA_UNAVAILABLE,1118,1.11792259142,0.0606178075286,67.770708817,-74.3877617539,0.911046484248,0.361359570662,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,direction,SHORT,BASELINE,DATA_UNAVAILABLE,843,1.15301361372,0.0835339809787,70.419145965,-41.7461851369,1.68684026419,0.321470937129,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,direction,LONG,SESSION_FILTER,DATA_UNAVAILABLE,767,1.31103430471,0.15248486582,116.955892084,-41.5176031775,2.81701936367,0.367666232073,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,direction,SHORT,SESSION_FILTER,DATA_UNAVAILABLE,582,1.28610064914,0.152936554653,89.0090748078,-29.8312657512,2.98375119414,0.331615120275,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Monday,BASELINE,DATA_UNAVAILABLE,387,1.34294480577,0.171862130934,66.5106446716,-30.2003562183,2.20231325058,0.372093023256,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Tuesday,BASELINE,DATA_UNAVAILABLE,346,0.95638195687,-0.0231710753843,-8.01719208298,-49.8258276467,-0.160904343423,0.35838150289,DATA_UNAVAILABLE,DATA_UNAVAILABLE
COMBINED,weekday,Wednesday,BASELINE,DATA_UNAVAILABLE,386,0.968554616216,-0.0168719759084,-6.51258270064,-41.0091173769,-0.15880816553,0.310880829016,DATA_UNAVAILABLE,DATA_UNAVAILABLE
