trade_id,fold_id,symbol,direction,entry_time,signal_time,feature_time,H4_close,EMA100,EMA100_slope,normalized_EMA_slope,ADX14,ATR14,ATR_mean20,ATR_ratio,Donchian_upper,Donchian_lower,breakout_distance_points,breakout_distance_ATR,initial_risk_R,initial_risk_points,entry_price
WF01-Si-000007,WF01,Si,LONG,2024-04-30T12:00:00+03:00,2024-04-30T12:00:00+03:00,2024-04-30T12:00:00+03:00,93.41,92.7337137088,0.0264907003643,0.062373393062,28.5525092531,0.424711548688,0.364661266286,1.16467414545,93.3,92.41,0.11,0.623060318062,1,0.3530958298,93.41
WF02-CNY-000001,WF02,CNY,SHORT,2024-05-02T12:00:00+03:00,2024-05-02T12:00:00+03:00,2024-04-30T20:00:00+03:00,12.733,12.7660803193,-0.00294234471023,-0.053464213024,24.5123120912,0.0550339104199,0.053647364283,1.02584555934,12.759,12.705,0.042,1.81938299137,1,0.0461694983,12.663
WF02-Si-000001,WF02,Si,SHORT,2024-05-03T12:00:00+03:00,2024-05-03T12:00:00+03:00,2024-05-03T12:00:00+03:00,91.79,92.7013069642,-0.0448084533754,-0.0945483252768,26.4398542982,0.47392117464,0.404962189179,1.17028499772,93.05,91.82,0.03,0.152249829925,1,0.3940891102,91.79
WF02-CNY-000002,WF02,CNY,SHORT,2024-05-06T10:00:00+03:00,2024-05-06T10:00:00+03:00,2024-05-03T20:00:00+03:00,12.705,12.7588025471,-0.00515736978005,-0.0893332857385,22.6756046645,0.0577317820274,0.0575307846058,1.00349373684,12.743,12.683,0.011,0.517612153574,1,0.042502866,12.672
WF02-Si-000002,WF02,Si,SHORT,2024-05-06T13:00:00+03:00,2024-05-06T13:00:00+03:00,2024-05-06T13:00:00+03:00,91.55,92.6425272673,-0.0862751346468,-0.19226830609,27.8496327261,0.44872260229,0.422220273187,1.06276896394,92.26,91.56,0.01,0.0651922842563,1,0.3067847711,91.55
WF02-CNY-000003,WF02,CNY,SHORT,2024-05-24T14:00:00+03:00,2024-05-24T14:00:00+03:00,2024-05-24T12:00:00+03:00,12.343,12.6418209801,-0.0247499874036,-0.511553488469,51.3728616906,0.0483820127542,0.0482342719385,1.00306298426,12.45,12.323,0.001,0.0540556814556,1,0.0369988861,12.322
WF02-Si-000003,WF02,Si,SHORT,2024-06-03T11:00:00+03:00,2024-06-03T11:00:00+03:00,2024-05-31T20:00:00+03:00,90.14,91.0947340296,-0.104152888915,-0.247636634795,36.4290155173,0.420587563715,0.410318218963,1.02502775718,90.55,89.84,0.08,0.336089748251,1,0.4760633159,89.76
WF02-CNY-000004,WF02,CNY,SHORT,2024-06-03T13:00:00+03:00,2024-06-03T13:00:00+03:00,2024-06-03T13:00:00+03:00,12.289,12.5377503591,-0.0171476852079,-0.274208741639,37.4315498263,0.062535151525,0.0561555149696,1.11360658982,12.449,12.305,0.016,0.481519354048,1,0.0664563111,12.289
WF02-CNY-000005,WF02,CNY,SHORT,2024-06-06T11:00:00+03:00,2024-06-06T11:00:00+03:00,2024-06-05T20:00:00+03:00,12.221,12.4941310921,-0.0268049913664,-0.431969763442,34.3313740838,0.062052934337,0.0611348634886,1.01501714073,12.271,12.193,0.002,0.0950512519287,1,0.0420825599,12.191
WF02-CNY-000006,WF02,CNY,SHORT,2024-06-10T15:00:00+03:00,2024-06-10T15:00:00+03:00,2024-06-10T13:00:00+03:00,12.235,12.4600553941,-0.0234912026069,-0.363660412065,27.0866229009,0.0645965351948,0.0621612600953,1.03917673316,12.324,12.205,0.002,0.0719086718552,1,0.0556261143,12.203
WF02-Si-000004,WF02,Si,SHORT,2024-06-10T20:00:00+03:00,2024-06-10T20:00:00+03:00,2024-06-10T17:00:00+03:00,88.88,90.4785537535,-0.154635136624,-0.330261837185,26.3986691181,0.468219815957,0.462181461295,1.01306490019,89.67,88.62,0.06,0.271739621469,1,0.441599202,88.56
WF02-CNY-000007,WF02,CNY,SHORT,2024-06-17T15:00:00+03:00,2024-06-17T15:00:00+03:00,2024-06-17T14:00:00+03:00,12.133,12.3999437641,-0.0251329860071,-0.251290406827,37.0379402845,0.100015700259,0.0777268488676,1.28675871614,12.241,12.113,0.007,0.209599318447,1,0.0667941103,12.106
WF02-Si-000005,WF02,Si,SHORT,2024-06-17T15:00:00+03:00,2024-06-17T15:00:00+03:00,2024-06-17T14:00:00+03:00,88.9,90.2108164749,-0.0925949454487,-0.112812446134,32.1652446616,0.820786611957,0.587652368928,1.39672135323,90,88.65,0.02,0.0600408501308,1,0.6662130851,88.63
WF03-Si-000001,WF03,Si,SHORT,2024-08-01T16:00:00+03:00,2024-08-01T16:00:00+03:00,2024-08-01T13:00:00+03:00,85.78,87.6819269874,-0.150053593567,-0.280292306481,22.3811156501,0.535346815082,0.523387734379,1.02284937135,86.94,85.59,0.04,0.165566514558,1,0.4831894916,85.55
WF03-Si-000002,WF03,Si,SHORT,2024-08-05T14:00:00+03:00,2024-08-05T14:00:00+03:00,2024-08-05T14:00:00+03:00,84.82,87.442095763,-0.199397026684,-0.347342431928,24.5488105954,0.574064693384,0.538227683125,1.06658336496,86.26,85.03,0.21,0.737606582812,1,0.5694092349,84.82
WF03-Si-000003,WF03,Si,LONG,2024-08-12T14:00:00+03:00,2024-08-12T14:00:00+03:00,2024-08-12T14:00:00+03:00,88.2,87.1671962165,0.0160451720262,0.0265803513596,26.1283351008,0.603647852848,0.553713223323,1.0901813925,87.91,86.44,0.29,0.976535486485,1,0.5939364294,88.2
WF03-Si-000004,WF03,Si,LONG,2024-08-13T11:00:00+03:00,2024-08-13T11:00:00+03:00,2024-08-12T22:00:00+03:00,88.93,87.237289493,0.0933299412831,0.121010078613,28.3045554216,0.771257587405,0.572500177253,1.34717440806,89.5,86.95,0.25,0.496426315541,1,1.0071988216,89.75
WF03-Si-000005,WF03,Si,LONG,2024-08-16T11:00:00+03:00,2024-08-16T11:00:00+03:00,2024-08-15T21:00:00+03:00,88.35,87.4952803246,0.0712474214685,0.0917586260417,21.9497400569,0.776465652789,0.681341029654,1.13961381892,88.63,87.68,0.05,0.170123906898,1,0.5878068628,88.68
WF03-Si-000006,WF03,Si,SHORT,2024-09-03T22:00:00+03:00,2024-09-03T22:00:00+03:00,2024-09-03T21:00:00+03:00,87.9,88.7106794826,-0.00693928548283,-0.0112226867599,25.6781373062,0.618326576453,0.610898694567,1.01215894215,89.63,87.83,0.05,0.204378345147,1,0.4892886276,87.78
WF03-CNY-000001,WF03,CNY,LONG,2024-09-04T14:00:00+03:00,2024-09-04T14:00:00+03:00,2024-09-04T13:00:00+03:00,12.162,11.9511889589,0.0123015426345,0.123483442744,25.1511746721,0.0996209885406,0.0953855922836,1.0444028931,12.194,11.99,0.047,0.894950504614,1,0.1050337415,12.241
WF03-CNY-000002,WF03,CNY,LONG,2024-09-05T14:00:00+03:00,2024-09-05T14:00:00+03:00,2024-09-05T13:00:00+03:00,12.315,11.9726386712,0.0271442758153,0.23283178777,29.7581048186,0.116583204017,0.0970571050463,1.20118155144,12.423,12.006,0.005,0.0714365864873,1,0.1399842922,12.428
WF03-Si-000007,WF03,Si,LONG,2024-09-06T17:00:00+03:00,2024-09-06T17:00:00+03:00,2024-09-06T17:00:00+03:00,89.79,88.765791,0.0557761875813,0.084950054368,22.2871975182,0.656576243491,0.617605583276,1.06309959183,89.75,88.45,0.04,0.138007045255,1,0.5796805507,89.79
WF03-CNY-000003,WF03,CNY,LONG,2024-09-20T19:00:00+03:00,2024-09-20T19:00:00+03:00,2024-09-20T17:00:00+03:00,13.022,12.3726029145,0.0648734921425,0.712573356671,49.6860371483,0.0910411419893,0.0837290753188,1.08733007791,13.075,12.858,0.009,0.200178322103,1,0.0899198265,13.084
WF03-CNY-000004,WF03,CNY,LONG,2024-09-26T13:00:00+03:00,2024-09-26T13:00:00+03:00,2024-09-26T13:00:00+03:00,13.164,12.5177393645,0.0610622637661,0.678247820835,44.0141681742,0.0900294286105,0.0873646182339,1.0305021693,13.154,12.98,0.01,0.26853852331,1,0.07447721,13.164
WF03-CNY-000005,WF03,CNY,LONG,2024-10-02T13:00:00+03:00,2024-10-02T13:00:00+03:00,2024-10-02T13:00:00+03:00,13.399,12.6737597502,0.0635794789458,0.722924547265,28.4250511622,0.0879476000453,0.0861059633298,1.02138802755,13.369,13.099,0.03,0.798247538332,1,0.075164654,13.399
WF03-Si-000008,WF03,Si,LONG,2024-10-04T16:00:00+03:00,2024-10-04T16:00:00+03:00,2024-10-04T13:00:00+03:00,94.88,91.4474760444,0.379366892737,0.798296929619,41.5242223155,0.475220282906,0.461567245096,1.0295797372,95.44,94.55,0.06,0.236764516936,1,0.5068327026,95.5
WF03-Si-000009,WF03,Si,LONG,2024-10-15T11:00:00+03:00,2024-10-15T11:00:00+03:00,2024-10-14T22:00:00+03:00,95.37,92.8693913966,0.238406365925,0.453863196291,34.7011225133,0.525282437249,0.507459599677,1.03512168768,95.58,94.41,0.48,1.89284663067,1,0.507172628,96.06
