outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
losers,session,Session_A,54,0,0,-0.872280782712,-47.1031622665,-0.872280782712,-1.01656467646,-47.1031622665,23.5185185185
losers,session,Session_B,879,0,0,-0.787123254932,-691.881341085,-0.787123254932,-0.921487007732,-691.881341085,47.6393629124
losers,session,Session_C,353,0,0,-0.838344061064,-295.935453555,-0.838344061064,-0.948692270289,-295.935453555,176.628895184
losers,instrument_session,USDRUBF|Session_A,28,0,0,-0.904412679782,-25.3235550339,-0.904412679782,-1.01352885682,-25.3235550339,20.7142857143
losers,instrument_session,USDRUBF|Session_B,462,0,0,-0.746990447013,-345.10958652,-0.746990447013,-0.847700338145,-345.10958652,45.0541125541
losers,instrument_session,USDRUBF|Session_C,177,0,0,-0.784496265025,-138.855838909,-0.784496265025,-0.837691644219,-138.855838909,105.282485876
losers,instrument_session,CNYRUBF|Session_A,26,0,0,-0.837677201253,-21.7796072326,-0.837677201253,-1.03209699734,-21.7796072326,26.5384615385
losers,instrument_session,CNYRUBF|Session_B,417,0,0,-0.831586941403,-346.771754565,-0.831586941403,-1.01190830936,-346.771754565,50.5035971223
losers,instrument_session,CNYRUBF|Session_C,176,0,0,-0.892497810489,-157.079614646,-0.892497810489,-1.01483439385,-157.079614646,248.380681818
losers,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
early_failure,ALL,ALL,837,0,0,-0.89222851345,-746.795265758,-0.89222851345,-1.01206493991,-746.795265758,61.8817204301
early_failure,ema_position,above_all,449,0,0,-0.89350831681,-401.185234248,-0.89350831681,-1.01172577781,-401.185234248,62.1269487751
early_failure,ema_position,below_all,379,0,0,-0.89293145857,-338.421022798,-0.89293145857,-1.01277863713,-338.421022798,61.5831134565
early_failure,ema_position,mixed,9,0,0,-0.79877874582,-7.18900871238,-0.79877874582,-0.703994324542,-7.18900871238,62.2222222222
early_failure,volatility,low_volatility,185,0,0,-0.964005517794,-178.341020792,-0.964005517794,-1.03738050159,-178.341020792,101.702702703
early_failure,volatility,normal_volatility,295,0,0,-0.899590678415,-265.379250133,-0.899590678415,-1.01585297859,-265.379250133,43.7966101695
early_failure,volatility,high_volatility,357,0,0,-0.84894956536,-303.074994834,-0.84894956536,-1.00849233815,-303.074994834,56.1904761905
early_failure,candle_quality,strong_body,576,0,0,-0.898281120684,-517.409925514,-0.898281120684,-1.01233739975,-517.409925514,69.8003472222
early_failure,candle_quality,weak_body,17,0,0,-0.834189082494,-14.1812144024,-0.834189082494,-0.894358432534,-14.1812144024,68.2352941176
early_failure,candle_quality,long_wick,121,0,0,-0.911602752026,-110.303932995,-0.911602752026,-1.01656040258,-110.303932995,37.8925619835
early_failure,candle_quality,neutral,123,0,0,-0.852847096313,-104.900192846,-0.852847096313,-1.00625910462,-104.900192846,47.5203252033
early_failure,instrument,USDRUBF,435,0,0,-0.848628468053,-369.153383603,-0.848628468053,-1.0087909198,-369.153383603,44.3333333333
early_failure,instrument,CNYRUBF,402,0,0,-0.939407667052,-377.641882155,-0.939407667052,-1.05894438461,-377.641882155,80.8706467662
early_failure,session,Session_A,41,0,0,-0.916030278013,-37.5572413985,-0.916030278013,-1.02102648573,-37.5572413985,16.8292682927
early_failure,session,Session_B,588,0,0,-0.892990709198,-525.078537009,-0.892990709198,-1.01202805911,-525.078537009,39.7534013605
early_failure,session,Session_C,208,0,0,-0.885382150726,-184.159487351,-0.885382150726,-1.00953578745,-184.159487351,133.317307692
early_failure,instrument_session,USDRUBF|Session_A,23,0,0,-0.974919171587,-22.4231409465,-0.974919171587,-1.02044212394,-22.4231409465,19.347826087
early_failure,instrument_session,USDRUBF|Session_B,304,0,0,-0.853780930019,-259.549402726,-0.853780930019,-1.0087554741,-259.549402726,37.3355263158
early_failure,instrument_session,USDRUBF|Session_C,108,0,0,-0.807229999357,-87.1808399306,-0.807229999357,-0.99218239271,-87.1808399306,69.3518518519
early_failure,instrument_session,CNYRUBF|Session_A,18,0,0,-0.840783358446,-15.134100452,-0.840783358446,-1.03599507366,-15.134100452,13.6111111111
early_failure,instrument_session,CNYRUBF|Session_B,284,0,0,-0.934961740432,-265.529134283,-0.934961740432,-1.05930963364,-265.529134283,42.3415492958
early_failure,instrument_session,CNYRUBF|Session_C,100,0,0,-0.969786474204,-96.9786474204,-0.969786474204,-1.0617321599,-96.9786474204,202.4
early_failure,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
fast_failure,ALL,ALL,500,0,0,-0.966951225791,-483.475612896,-0.966951225791,-1.01797806509,-483.475612896,14.51
fast_failure,ema_position,above_all,281,0,0,-0.952566174374,-267.671094999,-0.952566174374,-1.01702986576,-267.671094999,14.8220640569
fast_failure,ema_position,below_all,215,0,0,-0.983093162239,-211.365029881,-0.983093162239,-1.01897618208,-211.365029881,14.0930232558
fast_failure,ema_position,mixed,4,0,0,-1.10987200378,-4.4394880151,-1.10987200378,-1.06497606398,-4.4394880151,15
fast_failure,volatility,low_volatility,124,0,0,-1.01246779558,-125.546006652,-1.01246779558,-1.09646663604,-125.546006652,12.9032258065
fast_failure,volatility,normal_volatility,170,0,0,-0.963607115032,-163.813209555,-0.963607115032,-1.01718820302,-163.813209555,14.5588235294
fast_failure,volatility,high_volatility,206,0,0,-0.942312605282,-194.116396688,-0.942312605282,-1.01171274121,-194.116396688,15.4368932039
fast_failure,candle_quality,strong_body,331,0,0,-0.958148055013,-317.147006209,-0.958148055013,-1.01629687496,-317.147006209,14.1540785498
fast_failure,candle_quality,weak_body,8,0,0,-0.933803556298,-7.47042845038,-0.933803556298,-1.05379488699,-7.47042845038,16.875
fast_failure,candle_quality,long_wick,91,0,0,-1.00427089985,-91.3886518863,-1.00427089985,-1.02289548012,-91.3886518863,15
fast_failure,candle_quality,neutral,70,0,0,-0.963850376421,-67.4695263494,-0.963850376421,-1.01971705827,-67.4695263494,15.2857142857
fast_failure,instrument,USDRUBF,268,0,0,-0.91057870107,-244.035091887,-0.91057870107,-1.01192634283,-244.035091887,14.7947761194
fast_failure,instrument,CNYRUBF,232,0,0,-1.03207121124,-239.440521009,-1.03207121124,-1.08009039715,-239.440521009,14.1810344828
fast_failure,session,Session_A,39,0,0,-0.869344818443,-33.9044479193,-0.869344818443,-1.012857315,-33.9044479193,13.5897435897
fast_failure,session,Session_B,355,0,0,-0.962130009491,-341.556153369,-0.962130009491,-1.01736799962,-341.556153369,14.6056338028
fast_failure,session,Session_C,106,0,0,-1.01900954346,-108.015011607,-1.01900954346,-1.01869369851,-108.015011607,14.5283018868
fast_failure,instrument_session,USDRUBF|Session_A,21,0,0,-0.924016313746,-19.4043425887,-0.924016313746,-1.012857315,-19.4043425887,14.5238095238
fast_failure,instrument_session,USDRUBF|Session_B,189,0,0,-0.897237655526,-169.577916894,-0.897237655526,-1.01128765389,-169.577916894,15.0529100529
fast_failure,instrument_session,USDRUBF|Session_C,58,0,0,-0.949186765583,-55.0528324038,-0.949186765583,-1.01407966609,-55.0528324038,14.0517241379
fast_failure,instrument_session,CNYRUBF|Session_A,18,0,0,-0.805561407257,-14.5001053306,-0.805561407257,-0.906528541652,-14.5001053306,12.5
fast_failure,instrument_session,CNYRUBF|Session_B,166,0,0,-1.03601347274,-171.978236475,-1.03601347274,-1.07957429517,-171.978236475,14.0963855422
fast_failure,instrument_session,CNYRUBF|Session_C,48,0,0,-1.1033787334,-52.9621792033,-1.1033787334,-1.09851628192,-52.9621792033,15.1041666667
fast_failure,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
long_winner,ALL,ALL,354,1,DATA_UNAVAILABLE,2.27992987372,807.095175297,2.27992987372,1.63692666777,0,245.127118644
long_winner,ema_position,above_all,208,1,DATA_UNAVAILABLE,2.08645016767,433.981634875,2.08645016767,1.60372101996,0,251.370192308
long_winner,ema_position,below_all,141,1,DATA_UNAVAILABLE,2.616617421,368.94305636,2.616617421,1.79395264445,0,237.872340426
long_winner,ema_position,mixed,5,1,DATA_UNAVAILABLE,0.834096812195,4.17048406098,0.834096812195,0.232061259793,0,190
long_winner,volatility,low_volatility,59,1,DATA_UNAVAILABLE,2.76102716737,162.900602875,2.76102716737,2.04679605671,0,332.796610169
long_winner,volatility,normal_volatility,104,1,DATA_UNAVAILABLE,2.48608464166,258.552802733,2.48608464166,1.7751047546,0,207.259615385
long_winner,volatility,high_volatility,191,1,DATA_UNAVAILABLE,2.01906685701,385.641769689,2.01906685701,1.29038066028,0,238.664921466
long_winner,candle_quality,strong_body,253,1,DATA_UNAVAILABLE,2.1447300141,542.616693568,2.1447300141,1.60006842303,0,242.114624506
long_winner,candle_quality,weak_body,8,1,DATA_UNAVAILABLE,3.70550918846,29.6440735077,3.70550918846,2.81352800212,0,300.625
long_winner,candle_quality,long_wick,39,1,DATA_UNAVAILABLE,3.02043489303,117.796960828,3.02043489303,2.17634875587,0,313.58974359
long_winner,candle_quality,neutral,54,1,DATA_UNAVAILABLE,2.1673601369,117.037447393,2.1673601369,1.29149326433,0,201.574074074
long_winner,instrument,USDRUBF,216,1,DATA_UNAVAILABLE,2.33559683603,504.488916582,2.33559683603,1.66308479308,0,232.731481481
long_winner,instrument,CNYRUBF,138,1,DATA_UNAVAILABLE,2.19279897619,302.606258715,2.19279897619,1.61634806423,0,264.528985507
long_winner,session,Session_A,6,1,DATA_UNAVAILABLE,5.14832891612,30.8899734967,5.14832891612,5.37037480704,0,215
long_winner,session,Session_B,220,1,DATA_UNAVAILABLE,2.63549441024,579.808770253,2.63549441024,2.02740063509,0,208.568181818
long_winner,session,Session_C,128,1,DATA_UNAVAILABLE,1.53434712146,196.396431547,1.53434712146,1.09282710277,0,309.375
long_winner,instrument_session,USDRUBF|Session_A,2,1,DATA_UNAVAILABLE,4.87525671298,9.75051342595,4.87525671298,4.87525671298,0,232.5
long_winner,instrument_session,USDRUBF|Session_B,139,1,DATA_UNAVAILABLE,2.72898932905,379.329516739,2.72898932905,2.00568688152,0,204.172661871
long_winner,instrument_session,USDRUBF|Session_C,75,1,DATA_UNAVAILABLE,1.53878515223,115.408886417,1.53878515223,1.1796983821,0,285.666666667
long_winner,instrument_session,CNYRUBF|Session_A,4,1,DATA_UNAVAILABLE,5.28486501769,21.1394600707,5.28486501769,5.41822228141,0,206.25
long_winner,instrument_session,CNYRUBF|Session_B,81,1,DATA_UNAVAILABLE,2.47505251252,200.479253514,2.47505251252,2.0600137245,0,216.111111111
long_winner,instrument_session,CNYRUBF|Session_C,53,1,DATA_UNAVAILABLE,1.52806688924,80.9875451299,1.52806688924,0.951283152414,0,342.924528302
long_winner,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
short_winner,ALL,ALL,110,1,DATA_UNAVAILABLE,0.875354698457,96.2890168303,0.875354698457,0.609898903819,0,38.5454545455
short_winner,ema_position,above_all,57,1,DATA_UNAVAILABLE,0.909423874926,51.8371608708,0.909423874926,0.641512055604,0,39.7368421053
short_winner,ema_position,below_all,51,1,DATA_UNAVAILABLE,0.846132016069,43.1527328195,0.846132016069,0.565606886971,0,37.5490196078
short_winner,ema_position,mixed,2,1,DATA_UNAVAILABLE,0.649561570023,1.29912314005,0.649561570023,0.649561570023,0,30
short_winner,volatility,low_volatility,39,1,DATA_UNAVAILABLE,0.927836021092,36.1856048226,0.927836021092,0.651843447799,0,39.1025641026
short_winner,volatility,normal_volatility,37,1,DATA_UNAVAILABLE,0.846179683679,31.3086482961,0.846179683679,0.591468703846,0,37.5675675676
short_winner,volatility,high_volatility,34,1,DATA_UNAVAILABLE,0.846904815047,28.7947637116,0.846904815047,0.634313116404,0,38.9705882353
short_winner,candle_quality,strong_body,72,1,DATA_UNAVAILABLE,0.985595179632,70.9628529335,0.985595179632,0.671843161426,0,39.3055555556
short_winner,candle_quality,weak_body,2,1,DATA_UNAVAILABLE,0.573332547337,1.14666509467,0.573332547337,0.573332547337,0,40
short_winner,candle_quality,long_wick,13,1,DATA_UNAVAILABLE,0.74395874954,9.67146374402,0.74395874954,0.659595227375,0,33.4615384615
short_winner,candle_quality,neutral,23,1,DATA_UNAVAILABLE,0.630784132961,14.5080350581,0.630784132961,0.523634983248,0,38.9130434783
short_winner,instrument,USDRUBF,64,1,DATA_UNAVAILABLE,0.842309549452,53.907811165,0.842309549452,0.578220458396,0,38.90625
short_winner,instrument,CNYRUBF,46,1,DATA_UNAVAILABLE,0.921330557943,42.3812056654,0.921330557943,0.65055364149,0,38.0434782609
short_winner,session,Session_A,9,1,DATA_UNAVAILABLE,0.482135497383,4.33921947645,0.482135497383,0.3412376252,0,33.3333333333
short_winner,session,Session_B,88,1,DATA_UNAVAILABLE,0.957430747033,84.2539057389,0.957430747033,0.655719337587,0,39.4318181818
short_winner,session,Session_C,13,1,DATA_UNAVAILABLE,0.591991662691,7.69589161499,0.591991662691,0.448260762735,0,36.1538461538
short_winner,instrument_session,USDRUBF|Session_A,6,1,DATA_UNAVAILABLE,0.461539226925,2.76923536155,0.461539226925,0.372352985604,0,34.1666666667
short_winner,instrument_session,USDRUBF|Session_B,49,1,DATA_UNAVAILABLE,0.948905704087,46.4963795003,0.948905704087,0.651843447799,0,40.4081632653
short_winner,instrument_session,USDRUBF|Session_C,9,1,DATA_UNAVAILABLE,0.515799589238,4.64219630314,0.515799589238,0.448260762735,0,33.8888888889
short_winner,instrument_session,CNYRUBF|Session_A,3,1,DATA_UNAVAILABLE,0.523328038299,1.5699841149,0.523328038299,0.3412376252,0,31.6666666667
short_winner,instrument_session,CNYRUBF|Session_B,39,1,DATA_UNAVAILABLE,0.968141698426,37.7575262386,0.968141698426,0.659595227375,0,38.2051282051
short_winner,instrument_session,CNYRUBF|Session_C,4,1,DATA_UNAVAILABLE,0.763423827961,3.05369531184,0.763423827961,0.601797627423,0,41.25
short_winner,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
