trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,fold_id,net_R
T3-M15-WF01-test-CNY-000024,T3,CNY,SHORT,2024-04-23 14:45:00+03:00,12.826,12.8425479105,0.0165479105121,2024-04-23 15:45:00+03:00,12.8365266323,ATR_TRAILING_STOP,4,-594.714833297,-0.636130601479,0.0105266322673,0.023,0.636130601479,1.38990357623,-0.0105266322673,-0.636130601479,56496.2105824,0,-594.714833297,0.001,16.5479105121,0,T3_MTF_Trend_v1.0,0.0165479105121,CNYRUBF,M15,WF01,-0.756991782021
T3-M15-WF01-test-CNY-000025,T3,CNY,SHORT,2024-04-24 12:15:00+03:00,12.726,12.7442062304,0.0182062304021,2024-04-24 21:45:00+03:00,12.699,ATR_TRAILING_STOP,38,1377.63671226,1.48300880543,0.008,0.059,0.439410016424,3.24064887113,0.027,1.48300880543,51023.5819356,0,1377.63671226,0.001,18.2062304021,0,T3_MTF_Trend_v1.0,0.0182062304021,CNYRUBF,M15,WF01,1.37315630132
T3-M15-WF01-test-Si-000018,T3,Si,SHORT,2024-04-24 13:30:00+03:00,92.49,92.6442229241,0.154222924113,2024-04-24 15:15:00+03:00,92.6442229241,ATR_TRAILING_STOP,7,-949.282335809,-1,0.154222924113,0.00999999999999,1,0.0648412034561,-0.154222924113,-1,6155.26090735,0,-949.282335809,0.001,154.222924113,0,T3_MTF_Trend_v1.0,0.154222924113,USDRUBF,M15,WF01,-1.01296824069
T3-M15-WF01-test-Si-000019,T3,Si,SHORT,2024-04-24 16:15:00+03:00,92.45,92.60365776,0.153657759965,2024-04-25 09:15:00+03:00,92.5069477703,ATR_TRAILING_STOP,32,-348.299475873,-0.37061434636,0.13,0.12,0.846036022066,0.780956328061,-0.0569477702723,-0.37061434636,6116.12138995,0,-348.299475873,0.001,153.657759965,0,T3_MTF_Trend_v1.0,0.153657759965,USDRUBF,M15,WF01,-0.383630285161
T3-M15-WF01-test-Si-000020,T3,Si,SHORT,2024-04-25 15:30:00+03:00,92.13,92.3351439141,0.205143914119,2024-04-25 16:45:00+03:00,92.3351439141,ATR_TRAILING_STOP,5,-936.306517692,-1,0.205143914119,0.04,1,0.194985067784,-0.205143914119,-1,4564.14474548,0,-936.306517692,0.001,205.143914119,0,T3_MTF_Trend_v1.0,0.205143914119,USDRUBF,M15,WF01,-1.00974925339
T3-M15-WF01-test-Si-000021,T3,Si,SHORT,2024-04-25 18:45:00+03:00,92.06,92.2394030863,0.179403086295,2024-04-25 19:15:00+03:00,92.2394030863,ATR_TRAILING_STOP,2,-926.943452515,-1,0.179403086295,0.03,1,0.16722120349,-0.179403086295,-1,5166.81998988,0,-926.943452515,0.001,179.403086295,0,T3_MTF_Trend_v1.0,0.179403086295,USDRUBF,M15,WF01,-1.01114808023
T3-M15-WF01-test-CNY-000026,T3,CNY,SHORT,2024-04-26 13:00:00+03:00,12.655,12.6802535282,0.0252535281824,2024-04-26 20:45:00+03:00,12.5631198892,ATR_TRAILING_STOP,31,3429.91818453,3.6383078871,0.003,0.152,0.118795281924,6.01896095082,0.091880110763,3.6383078871,37330.3662353,0,3429.91818453,0.001,25.2535281824,0,T3_MTF_Trend_v1.0,0.0252535281824,CNYRUBF,M15,WF01,3.55911103249
T3-M15-WF01-test-Si-000022,T3,Si,SHORT,2024-04-26 13:30:00+03:00,91.83,92.069106855,0.239106855022,2024-04-26 21:00:00+03:00,91.68,ATR_TRAILING_STOP,30,575.688650524,0.627334586398,0.22,0.53,0.920090726717,2.21658220527,0.15,0.627334586398,3837.92433683,0,575.688650524,0.001,239.106855022,0,T3_MTF_Trend_v1.0,0.239106855022,USDRUBF,M15,WF01,0.618970125246
T3-M15-WF01-test-CNY-000027,T3,CNY,SHORT,2024-04-27 11:45:00+03:00,12.559,12.5891120159,0.0301120158516,2024-04-27 14:30:00+03:00,12.5837504154,ATR_TRAILING_STOP,11,-803.058694615,-0.821944818562,0.0247504154057,0.016,0.821944818562,0.531349348341,-0.0247504154057,-0.821944818562,32446.2713636,0,-803.058694615,0.001,30.1120158516,0,T3_MTF_Trend_v1.0,0.0301120158516,CNYRUBF,M15,WF01,-0.888363487105
T3-M15-WF01-test-Si-000023,T3,Si,LONG,2024-04-29 12:00:00+03:00,93.16,92.9763959417,0.183604058318,2024-04-29 17:00:00+03:00,92.9870308796,ATR_TRAILING_STOP,20,-869.942814621,-0.942076781691,0.18,0.08,0.980370486628,0.435720216279,-0.172969120365,-0.942076781691,5029.46891782,0,-869.942814621,0.001,183.604058318,0,T3_MTF_Trend_v1.0,0.183604058318,USDRUBF,M15,WF01,-0.952969787098
