strategy,timeframe,instrument,year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T2,M30,CNYRUBF,2023,10,6,2.99263522579,0.859402836052,5.15641701631,-2.11543823247,2.43751717122,0.5
T2,M30,CNYRUBF,2023,11,4,3.85484939868,1.00926505976,4.03706023903,-1.07093025321,3.76967615483,0.5
T2,M30,CNYRUBF,2023,12,3,0,-0.675570906748,-2.02671272024,-2.02671272024,-1,0
T2,M30,CNYRUBF,2024,1,4,1.72857987583,0.143081177094,0.572324708376,-0.785534609673,0.72857987583,0.5
T2,M30,CNYRUBF,2024,2,7,0.38824467175,-0.303461250375,-2.12422875262,-3.47235022652,-0.61175532825,0.285714285714
T2,M30,CNYRUBF,2024,3,3,0.339898952445,-0.46155230649,-1.38465691947,-2.09764387528,-0.660101047555,0.333333333333
T2,M30,CNYRUBF,2024,4,4,1.63346769883,0.239338990835,0.957355963341,-1.41124249389,0.67837807286,0.5
T2,M30,CNYRUBF,2024,5,7,0.152254337037,-0.602545898468,-4.21782128928,-4.21782128928,-1,0.142857142857
T2,M30,CNYRUBF,2024,6,1,0,-0.693910056245,-0.693910056245,-0.693910056245,-1,0
T2,M30,CNYRUBF,2024,7,4,2.00055119616,0.404880690411,1.61952276164,-1.04432397114,1.5507857776,0.5
T2,M30,CNYRUBF,2024,8,3,2.20998092098,0.456071849525,1.36821554858,-1.13077448152,1.20998092098,0.333333333333
T2,M30,CNYRUBF,2024,9,5,1.61337159256,0.256509471866,1.28254735933,-1.17994021995,1.08695960833,0.6
T2,M30,CNYRUBF,2024,10,4,1.16408656494,0.0722070213457,0.288828085383,-1.76021775751,0.164086564944,0.5
T2,M30,CNYRUBF,2024,11,3,0,-0.528373224273,-1.58511967282,-1.58511967282,-1,0
T2,M30,CNYRUBF,2024,12,6,1.42251866384,0.196191053267,1.1771463196,-2.12756975697,0.553282126589,0.166666666667
T2,M30,GLDRUBF,2023,7,2,0,-0.998127114207,-1.99625422841,-1.99625422841,-1,0
T2,M30,GLDRUBF,2023,8,4,3.59338165621,0.648373094948,2.59349237979,-1.00004269467,2.59338165621,0.75
T2,M30,GLDRUBF,2023,9,6,0.110607211286,-0.326421637196,-1.95852982318,-1.95852982318,-1,0.166666666667
