variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
SESSION_EMA50_NORMAL,2023-05,1,0,-0.743111716252,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-06,6,0.908828463881,-0.361456439558,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-07,7,2.19620162435,2.09325663592,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-08,6,6.19016876229,13.3353521948,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-09,10,0.114889052181,-6.1164304358,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-10,7,1.9755225273,3.1679244289,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-11,6,1.99112640153,2.81135060501,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-12,7,6.33108256848,16.2601270312,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-01,7,0.157369195009,-3.02366218206,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-02,6,0.476976358827,-1.50033733126,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-03,12,1.4092630722,2.77798269148,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-04,11,1.89047827118,6.36577645584,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-05,5,5.0027213062,9.03133478958,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-06,2,0,-0.963982920597,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-07,9,0.187147011248,-5.24572358089,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-08,10,1.32431877163,1.67499494553,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-09,13,1.8674810167,6.44359523307,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-10,10,0.12560413589,-5.37013420391,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-11,11,6.25350406193,24.6622428673,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2024-12,6,3.93978617706,6.15655088854,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_EXTENDED,2023-01,8,0.596944650705,-2.11299900665,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-02,11,2.3807494039,6.4427799994,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-03,12,1.36382846514,2.49695595324,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-04,10,0.603237767679,-3.34014604431,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-05,9,0.355991828394,-2.90552561192,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-06,14,1.99393448496,5.92670785864,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-07,16,1.09767499021,0.782207530367,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-08,10,1.50755832511,2.07360979924,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-09,14,0.220881355213,-7.68635779706,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-10,13,0.950319641718,-0.36141894589,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-11,17,0.609318736653,-4.16218460426,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2023-12,22,1.41753634423,4.70833450865,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-01,16,0.86754052437,-1.2612086814,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-02,8,0.287934349017,-3.45044690179,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-03,10,1.83517580413,4.57231266117,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-04,13,0.375720170756,-6.32230170701,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-05,21,1.24628786748,3.17221604456,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-06,10,1.70025097255,3.89539738511,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-07,20,0.236244664126,-9.87495031182,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-08,21,0.284503454134,-9.83693517455,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-09,20,2.20016124509,9.68736347449,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-10,13,0.669179606567,-1.95938669637,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-11,12,0.622206172404,-2.36666996494,11,13,-9.87495031182,15.6361816349
SESSION_EMA50_EXTENDED,2024-12,17,3.05765761059,15.6361816349,11,13,-9.87495031182,15.6361816349
