level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,level_price,valid_from,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L18,CNYRUBF-L18-V2,2,CNYRUBF,MIRROR,11.406666666666666,2026-01-05 20:30:00+03:00,2026-01-05 16:15:00+03:00,2026-01-05 20:15:00+03:00,3,2026-01-05 16:15:00+03:00|2026-01-05 16:50:00+03:00|2026-01-05 20:15:00+03:00,2,2,False,False,True,26|28|45,HIGH|HIGH|LOW,129,CNYRUBF-L18-V2,11.406666666666666,2026-01-05 20:30:00+03:00
CNYRUBF-L12,CNYRUBF-L12-V4,4,CNYRUBF,MIRROR,11.409,2026-01-05 20:45:00+03:00,2026-01-05 13:20:00+03:00,2026-01-05 20:35:00+03:00,5,2026-01-05 13:20:00+03:00|2026-01-05 13:35:00+03:00|2026-01-05 14:10:00+03:00|2026-01-05 14:35:00+03:00|2026-01-05 20:35:00+03:00,2,2,False,False,True,12|13|17|20|46,HIGH|HIGH|HIGH|HIGH|LOW,132,CNYRUBF-L12-V4,11.409,2026-01-05 20:45:00+03:00
CNYRUBF-L13,CNYRUBF-L13-V4,4,CNYRUBF,MIRROR,11.41,2026-01-05 21:40:00+03:00,2026-01-05 13:40:00+03:00,2026-01-05 21:20:00+03:00,5,2026-01-05 13:40:00+03:00|2026-01-05 14:15:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00|2026-01-05 21:20:00+03:00,2,2,False,False,True,14|18|24|42|48,HIGH|HIGH|HIGH|LOW|LOW,135,CNYRUBF-L13-V4,11.41,2026-01-05 21:40:00+03:00
CNYRUBF-L13,CNYRUBF-L13-V5,5,CNYRUBF,MIRROR,11.409999999999998,2026-01-05 21:55:00+03:00,2026-01-05 13:40:00+03:00,2026-01-05 21:45:00+03:00,6,2026-01-05 13:40:00+03:00|2026-01-05 14:15:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00|2026-01-05 21:20:00+03:00|2026-01-05 21:45:00+03:00,2,2,False,False,True,14|18|24|42|48|49,HIGH|HIGH|HIGH|LOW|LOW|LOW,138,CNYRUBF-L13-V5,11.409999999999998,2026-01-05 21:55:00+03:00
CNYRUBF-L8,CNYRUBF-L8-V1,1,CNYRUBF,EH,11.44,2026-01-05 22:30:00+03:00,2026-01-05 12:25:00+03:00,2026-01-05 22:15:00+03:00,2,2026-01-05 12:25:00+03:00|2026-01-05 22:15:00+03:00,2,2,False,False,False,8|50,HIGH|HIGH,144,CNYRUBF-L8-V1,11.44,2026-01-05 22:30:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V2,2,CNYRUBF,MIRROR,11.426333333333332,2026-01-05 23:00:00+03:00,2026-01-05 11:05:00+03:00,2026-01-05 22:30:00+03:00,3,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00|2026-01-05 22:30:00+03:00,2,2,False,False,True,2|43|51,HIGH|HIGH|LOW,146,CNYRUBF-L2-V2,11.426333333333332,2026-01-05 23:00:00+03:00
CNYRUBF-L10,CNYRUBF-L10-V2,2,CNYRUBF,EH,11.436333333333332,2026-01-05 23:35:00+03:00,2026-01-05 12:50:00+03:00,2026-01-05 23:15:00+03:00,3,2026-01-05 12:50:00+03:00|2026-01-05 19:10:00+03:00|2026-01-05 23:15:00+03:00,2,2,False,False,False,10|41|53,HIGH|HIGH|HIGH,150,CNYRUBF-L10-V2,11.436333333333332,2026-01-05 23:35:00+03:00
CNYRUBF-L26,CNYRUBF-L26-V1,1,CNYRUBF,EL,11.425,2026-01-05 23:45:00+03:00,2026-01-05 22:45:00+03:00,2026-01-05 23:35:00+03:00,2,2026-01-05 22:45:00+03:00|2026-01-05 23:35:00+03:00,2,2,False,False,False,52|54,LOW|LOW,152,CNYRUBF-L26-V1,11.425,2026-01-05 23:45:00+03:00
CNYRUBF-L10,CNYRUBF-L10-V3,3,CNYRUBF,EH,11.43675,2026-01-05 23:50:00+03:00,2026-01-05 12:50:00+03:00,2026-01-05 23:40:00+03:00,4,2026-01-05 12:50:00+03:00|2026-01-05 19:10:00+03:00|2026-01-05 23:15:00+03:00|2026-01-05 23:40:00+03:00,2,2,False,False,False,10|41|53|55,HIGH|HIGH|HIGH|HIGH,153,CNYRUBF-L10-V3,11.43675,2026-01-05 23:50:00+03:00
CNYRUBF-L13,CNYRUBF-L13-V6,6,CNYRUBF,MIRROR,11.409999999999998,2026-01-06 09:25:00+03:00,2026-01-05 13:40:00+03:00,2026-01-06 09:15:00+03:00,7,2026-01-05 13:40:00+03:00|2026-01-05 14:15:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00|2026-01-05 21:20:00+03:00|2026-01-05 21:45:00+03:00|2026-01-06 09:15:00+03:00,2,2,False,True,True,14|18|24|42|48|49|57,HIGH|HIGH|HIGH|LOW|LOW|LOW|LOW,158,CNYRUBF-L13-V6,11.409999999999998,2026-01-06 09:25:00+03:00
CNYRUBF-L6,CNYRUBF-L6-V4,4,CNYRUBF,MIRROR,11.3984,2026-01-06 11:05:00+03:00,2026-01-05 11:50:00+03:00,2026-01-06 10:55:00+03:00,5,2026-01-05 11:50:00+03:00|2026-01-05 13:50:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00|2026-01-06 10:55:00+03:00,2,2,False,True,True,6|16|27|29|61,LOW|LOW|LOW|LOW|HIGH,177,CNYRUBF-L6-V4,11.3984,2026-01-06 11:05:00+03:00
