generation,lifecycle_stage,strategy,timeframe,quarter,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v2,true_oos,T2,M30,2025-Q1,57,0.841282598136,-0.0967926874769,-5.51718318619,-13.9148528338,0.245614035088
v2,true_oos,T2,M30,2025-Q2,51,1.57329370871,0.248590111564,12.6780956898,-4.23082773156,0.450980392157
v2,true_oos,T2,M30,2025-Q3,63,1.16407085272,0.0939978121801,5.92186216735,-17.9033585907,0.253968253968
v2,true_oos,T2,M30,2025-Q4,66,4.09826433179,1.373967734,90.681870444,-7.19000751489,0.378787878788
v2,true_oos,T2,M30,2026-Q1,73,1.36704370697,0.192064263322,14.0206912225,-16.5954957281,0.315068493151
v2,true_oos,T2,M30,2026-Q2,64,1.64815498408,0.317610050507,20.3270432325,-15.9730014112,0.359375
v2,true_oos,T2,M30,2026-Q3,63,1.06266399532,0.0301420501039,1.89894915654,-9.96088221942,0.349206349206
v2,baseline,T2,H1,2020-Q1,29,0.861202834681,-0.0749204932521,-2.17269430431,-9.57479561484,0.310344827586
v2,baseline,T2,H1,2020-Q2,32,1.10049084342,0.0524429965465,1.67817588949,-6.77407253374,0.3125
v2,baseline,T2,H1,2020-Q3,35,1.12983166482,0.0661464070403,2.31512424641,-5.44978978278,0.314285714286
v2,baseline,T2,H1,2020-Q4,26,1.11693388983,0.0531530994571,1.38198058588,-3.80690412328,0.346153846154
v2,baseline,T2,H1,2021-Q1,35,1.64311192352,0.257826291519,9.02392020316,-8.0951519382,0.428571428571
v2,baseline,T2,H1,2021-Q2,37,0.932711242838,-0.033532913122,-1.24071778551,-7.88850675107,0.324324324324
v2,baseline,T2,H1,2021-Q3,38,1.59251343924,0.22480661645,8.54265142509,-5.34173798036,0.447368421053
v2,baseline,T2,H1,2021-Q4,29,0.726249205658,-0.145829748721,-4.22906271291,-9.1541185504,0.275862068966
v2,baseline,T2,H1,2022-Q1,34,1.77868425699,0.439353811843,14.9380296027,-8.88193544805,0.352941176471
v2,baseline,T2,H1,2022-Q2,20,5.98399556864,1.1054084094,22.108168188,-2.0023572324,0.6
v2,baseline,T2,H1,2022-Q3,38,1.35787024367,0.158455511208,6.02130942592,-4.39592557366,0.342105263158
v2,baseline,T2,H1,2022-Q4,28,0.345235078848,-0.412313404241,-11.5447753187,-11.5447753187,0.214285714286
v2,baseline,T2,H1,2023-Q1,37,1.26440787623,0.106340063786,3.93458236009,-6.03583579005,0.405405405405
v2,baseline,T2,H1,2023-Q2,44,2.08476420202,0.462905345204,20.367835189,-3.06616818871,0.386363636364
v2,baseline,T2,H1,2023-Q3,38,1.46745038764,0.185261385626,7.0399326538,-3.91094008828,0.368421052632
v2,baseline,T2,H1,2023-Q4,36,3.96479855857,1.10387782642,39.739601751,-3.65449961187,0.416666666667
v2,baseline,T2,H1,2024-Q1,36,1.38505154547,0.163553635662,5.88793088382,-6.65244231614,0.361111111111
v2,baseline,T2,H1,2024-Q2,51,2.15128284399,0.480263440903,24.4934354861,-7.96103151426,0.450980392157
v2,baseline,T2,H1,2024-Q3,41,3.30447901387,0.812604290361,33.3167759048,-3.18889056523,0.414634146341
v2,baseline,T2,H1,2024-Q4,43,1.62020904384,0.296883291026,12.7659815141,-4.73952611595,0.325581395349
v2,walk_forward,T2,H1,2024-Q1,24,1.02816809191,0.0131343554183,0.315224530038,-5.2222778407,0.25
v2,walk_forward,T2,H1,2024-Q2,31,1.89386988832,0.362004162344,11.2221290327,-3.65719661433,0.451612903226
v2,walk_forward,T2,H1,2024-Q3,31,2.05901487375,0.417624557184,12.9463612727,-6.50691086668,0.354838709677
v2,walk_forward,T2,H1,2024-Q4,31,1.66455217848,0.29167120005,9.04180720154,-4.73952611595,0.41935483871
v2,true_oos,T2,H1,2025-Q1,28,0.786723672848,-0.0887423789533,-2.48478661069,-3.70315393288,0.428571428571
v2,true_oos,T2,H1,2025-Q2,37,0.897818329861,-0.0527447847571,-1.95155703601,-6.5160468412,0.351351351351
v2,true_oos,T2,H1,2025-Q3,44,0.603566998665,-0.195859309477,-8.617809617,-10.3067064086,0.318181818182
v2,true_oos,T2,H1,2025-Q4,56,1.40761519956,0.190830681088,10.6865181409,-11.4389474445,0.375
v2,true_oos,T2,H1,2026-Q1,45,2.28846096307,0.53888016933,24.2496076198,-5.02113904793,0.4
v2,true_oos,T2,H1,2026-Q2,42,1.60718244573,0.280877955024,11.796874111,-6.31572568067,0.357142857143
v2,true_oos,T2,H1,2026-Q3,45,1.1906660289,0.112301958621,5.05358813795,-6.31427768488,0.355555555556
v2,baseline,T3,M30,2020-Q1,57,1.74801802718,0.346668409178,19.7600993232,-10.3824365644,0.385964912281
v2,baseline,T3,M30,2020-Q2,53,0.781445463089,-0.0994898633267,-5.27296275631,-9.84516867031,0.377358490566
v2,baseline,T3,M30,2020-Q3,71,1.60341679154,0.251142553185,17.8311212761,-5.62662896976,0.450704225352
v2,baseline,T3,M30,2020-Q4,51,1.87896549294,0.340246618785,17.3525775581,-6.42952966482,0.411764705882
v2,baseline,T3,M30,2021-Q1,59,0.811787969659,-0.0996121514804,-5.87711693734,-8.06107989592,0.305084745763
v2,baseline,T3,M30,2021-Q2,82,0.829118029351,-0.080474768373,-6.59893100658,-12.1118393069,0.341463414634
v2,baseline,T3,M30,2021-Q3,91,1.01113107735,0.00523515232822,0.476398861868,-9.31804132962,0.32967032967
v2,baseline,T3,M30,2021-Q4,73,1.27572722988,0.118527880555,8.65253528053,-4.60616677599,0.41095890411
v2,baseline,T3,M30,2022-Q1,68,1.90036835123,0.404885636595,27.5322232884,-8.90736620842,0.441176470588
v2,baseline,T3,M30,2022-Q2,34,1.14232149457,0.0611073116399,2.07764859576,-6.53707058722,0.441176470588
v2,baseline,T3,M30,2022-Q3,81,0.872871997531,-0.064046261661,-5.18774719454,-10.0178963896,0.320987654321
v2,baseline,T3,M30,2022-Q4,63,2.49722940295,0.590143966969,37.179069919,-7.09978362065,0.47619047619
v2,baseline,T3,M30,2023-Q1,86,1.4270361435,0.193657634921,16.6545566032,-7.43517886811,0.43023255814
v2,baseline,T3,M30,2023-Q2,93,1.8750883376,0.346828008774,32.255004816,-6.87672948158,0.516129032258
