generation,lifecycle_stage,strategy,timeframe,calendar_month,observed_years,trades,net_R,average_R_per_year,median_R_per_year,positive_year_count,negative_year_count,positive_year_share
v2,development,T3,H1,March,5,61,37.1058463766,7.42116927532,1.91483297758,3,2,0.6
v2,development,T3,H1,April,5,60,16.4206322551,3.28412645102,1.80862748505,4,1,0.8
v2,development,T3,H1,May,5,56,-0.977401927248,-0.19548038545,1.66788832319,3,2,0.6
v2,development,T3,H1,June,5,66,20.3447678743,4.06895357485,0.373400878289,3,2,0.6
v2,development,T3,H1,July,5,57,16.9947596253,3.39895192506,4.69045678638,4,1,0.8
v2,development,T3,H1,August,5,71,7.36285178327,1.47257035665,0.422775994877,3,2,0.6
v2,development,T3,H1,September,5,74,26.0425828645,5.2085165729,5.91116713603,4,1,0.8
v2,development,T3,H1,October,5,58,-1.30844533305,-0.26168906661,-0.197998489848,2,3,0.4
v2,development,T3,H1,November,5,61,21.4953033505,4.29906067011,-0.784355425389,2,3,0.4
v2,development,T3,H1,December,5,62,10.9687535741,2.19375071482,-1.50280301426,2,3,0.4
v2,walk_forward,T3,H1,February,1,8,-4.94250935817,-4.94250935817,-4.94250935817,0,1,0
v2,walk_forward,T3,H1,March,1,6,6.47840214391,6.47840214391,6.47840214391,1,0,1
v2,walk_forward,T3,H1,May,1,20,-7.69431330597,-7.69431330597,-7.69431330597,0,1,0
v2,walk_forward,T3,H1,June,1,27,16.6395481024,16.6395481024,16.6395481024,1,0,1
v2,walk_forward,T3,H1,August,1,9,-0.077585627329,-0.077585627329,-0.077585627329,0,1,0
v2,walk_forward,T3,H1,September,1,14,6.08397490543,6.08397490543,6.08397490543,1,0,1
v2,walk_forward,T3,H1,November,1,8,15.6854665148,15.6854665148,15.6854665148,1,0,1
v2,walk_forward,T3,H1,December,1,3,-3.08201978075,-3.08201978075,-3.08201978075,0,1,0
v2,true_oos,T3,H1,January,1,23,5.69483318812,5.69483318812,5.69483318812,1,0,1
v2,true_oos,T3,H1,February,2,13,8.31420052183,4.15710026092,4.15710026092,2,0,1
v2,true_oos,T3,H1,March,2,35,20.2750585906,10.1375292953,10.1375292953,2,0,1
v2,true_oos,T3,H1,April,2,32,-3.99120373314,-1.99560186657,-1.99560186657,1,1,0.5
v2,true_oos,T3,H1,May,2,18,-7.72248184015,-3.86124092008,-3.86124092008,0,2,0
v2,true_oos,T3,H1,June,2,32,22.8972223427,11.4486111714,11.4486111714,2,0,1
v2,true_oos,T3,H1,July,2,34,3.48221072393,1.74110536197,1.74110536197,2,0,1
v2,true_oos,T3,H1,August,2,35,3.39337517536,1.69668758768,1.69668758768,1,1,0.5
v2,true_oos,T3,H1,September,2,38,10.9121638568,5.45608192841,5.45608192841,1,1,0.5
v2,true_oos,T3,H1,October,1,40,12.2853600422,12.2853600422,12.2853600422,1,0,1
v2,true_oos,T3,H1,November,1,8,-5.82834901552,-5.82834901552,-5.82834901552,0,1,0
v2,true_oos,T3,H1,December,1,19,-5.37712145763,-5.37712145763,-5.37712145763,0,1,0
v3,development,T2,M30,January,2,28,-8.8468497875,-4.42342489375,-4.42342489375,0,2,0
v3,development,T2,M30,February,2,27,-5.8694228515,-2.93471142575,-2.93471142575,0,2,0
v3,development,T2,M30,March,2,31,9.48079147863,4.74039573931,4.74039573931,2,0,1
v3,development,T2,M30,April,2,25,23.5823098296,11.7911549148,11.7911549148,2,0,1
v3,development,T2,M30,May,2,34,-4.78041594674,-2.39020797337,-2.39020797337,0,2,0
v3,development,T2,M30,June,2,23,12.1718193305,6.08590966525,6.08590966525,2,0,1
v3,development,T2,M30,July,2,28,15.9129253285,7.95646266425,7.95646266425,2,0,1
v3,development,T2,M30,August,2,30,14.4382610518,7.21913052591,7.21913052591,2,0,1
v3,development,T2,M30,September,2,35,-1.85596475623,-0.927982378114,-0.927982378114,1,1,0.5
v3,development,T2,M30,October,2,34,13.0035821484,6.50179107421,6.50179107421,2,0,1
v3,development,T2,M30,November,2,30,29.2283685011,14.6141842505,14.6141842505,2,0,1
