generation,lifecycle_stage,strategy,timeframe,YYYY-MM,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v2,baseline,T2,M30,2021-09,25,0.993961075443,-0.00241828766411,-0.0604571916028,-3.5903907935,0.36
v2,baseline,T2,M30,2021-10,29,0.919697637178,-0.0336212603018,-0.975016548752,-2.81816820672,0.344827586207
v2,baseline,T2,M30,2021-11,30,0.375345418291,-0.398552784171,-11.9565835251,-11.9565835251,0.2
v2,baseline,T2,M30,2021-12,30,1.31672675169,0.122590284192,3.67770852576,-2.90220705792,0.4
v2,baseline,T2,M30,2022-01,23,0.581196144652,-0.265786669841,-6.11309340635,-6.11309340635,0.260869565217
v2,baseline,T2,M30,2022-02,27,1.31205696512,0.153861135593,4.15425066102,-6.41916056168,0.333333333333
v2,baseline,T2,M30,2022-03,6,0.990962729014,-0.00457297037183,-0.027437822231,-3.03607386266,0.166666666667
v2,baseline,T2,M30,2022-04,9,3.7578179508,0.932964052281,8.39667647053,-1.93552431821,0.555555555556
v2,baseline,T2,M30,2022-05,11,0.632250505598,-0.217148499527,-2.38863349479,-3.93479558493,0.272727272727
v2,baseline,T2,M30,2022-06,15,2.78268010606,0.481287582002,7.21931373003,-2.01247385226,0.533333333333
v2,baseline,T2,M30,2022-07,18,1.91499922248,0.301731741403,5.43117134525,-2.56856294991,0.555555555556
v2,baseline,T2,M30,2022-08,29,0.859995586038,-0.0633363113293,-1.83675302855,-8.2497940504,0.379310344828
v2,baseline,T2,M30,2022-09,28,2.3748716196,0.652103609762,18.2589010733,-7.06390408423,0.392857142857
v2,baseline,T2,M30,2022-10,25,0.738912552043,-0.117637823296,-2.9409455824,-7.80122105149,0.28
v2,baseline,T2,M30,2022-11,27,0.457849739489,-0.3575260206,-9.65320255621,-12.8467988128,0.111111111111
v2,baseline,T2,M30,2022-12,17,3.90833539798,0.667922480462,11.3546821679,-3.06538923948,0.529411764706
v2,baseline,T2,M30,2023-01,37,1.6331460601,0.290073458038,10.7327179474,-8.43578866615,0.324324324324
v2,baseline,T2,M30,2023-02,18,2.03128513191,0.476552406867,8.5779433236,-2.57434589454,0.388888888889
v2,baseline,T2,M30,2023-03,35,1.65433505292,0.279590667513,9.78567336297,-4.40019525107,0.371428571429
v2,baseline,T2,M30,2023-04,20,4.67850746117,1.16815607311,23.3631214622,-1.4793687413,0.5
v2,baseline,T2,M30,2023-05,27,1.01909067591,0.00840455301881,0.226922931508,-6.48437342538,0.37037037037
v2,baseline,T2,M30,2023-06,20,1.91846470282,0.413286578454,8.26573156909,-3.59048953318,0.35
v2,baseline,T2,M30,2023-07,33,1.02839214239,0.013234285535,0.436731422655,-8.20731145678,0.393939393939
v2,baseline,T2,M30,2023-08,31,1.5325397942,0.185606689002,5.75380735906,-4.3370935554,0.354838709677
v2,baseline,T2,M30,2023-09,29,0.649704719133,-0.169478881894,-4.91488757494,-7.77532172665,0.379310344828
v2,baseline,T2,M30,2023-10,28,2.08286818924,0.409087517441,11.4544504884,-4.79558863387,0.357142857143
v2,baseline,T2,M30,2023-11,29,1.41546875667,0.211196399722,6.12469559195,-4.27032261557,0.275862068966
v2,baseline,T2,M30,2023-12,28,1.25339318097,0.133223961881,3.73027093267,-7.89957690224,0.321428571429
v2,baseline,T2,M30,2024-01,29,0.624575179829,-0.172510231532,-5.00279671442,-12.3968126052,0.379310344828
v2,baseline,T2,M30,2024-02,26,1.03684177109,0.0165050209612,0.429130544991,-5.93857646638,0.384615384615
v2,baseline,T2,M30,2024-03,23,1.55723160709,0.215344875028,4.95293212564,-2.45129187901,0.478260869565
v2,baseline,T2,M30,2024-04,32,0.604541745564,-0.241531415689,-7.72900530206,-12.2658317903,0.34375
