generation,strategy,timeframe,futures_type,instrument_universe,lifecycle_stage,candidate_id,classification,period_start,period_end,first_trade_exit,last_trade_exit,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_win_R,average_loss_R,trade_frequency,trade_frequency_provenance,bootstrap_probability_mean_R_gt_0,observed_quarters,positive_quarters,positive_quarter_share,instrument_gate,direction_gate,net_R_without_top1,top1_positive_R_share,net_R_without_top3,top3_positive_R_share,net_R_without_top5,top5_positive_R_share,concentration_provenance,baseline_PF,baseline_expectancy_R,baseline_max_drawdown_R,WF_PF,WF_expectancy_R,WF_max_drawdown_R,TRUE_OOS_PF,TRUE_OOS_expectancy_R,TRUE_OOS_max_drawdown_R,phase2_candidate_PF,phase2_candidate_expectancy_R,phase2_candidate_max_drawdown_R
v2,T3,M30,quarterly,Si|CNY|GD|BR|MIX|NG,true_oos,T3_M30_candidate_v2,BORDERLINE,NA,NA,2025-01-22T17:00:00+03:00,2026-09-15T19:30:00+03:00,698,1.45560747392,0.223137946374,155.750286569,-19.3664410121,8.04227717791,0.392550143266,1.81606642204,-0.806254511958,NA,NA,0.9995,7,7,1,false,true,140.72819228,0.0301889627892,113.38977183,0.0851292754935,92.4907864053,0.127128658614,SOURCE,1.36949736407,0.164794611832,-27.1058951497,1.18734689622,0.0910723949193,-13.6481471103,1.45560747392,0.223137946374,-19.3664410121,1.36261268342,0.162875006507,-22.5343558886
v2,T3,H1,quarterly,Si|CNY|GD|BR|MIX|NG,baseline,NA,NA,NA,NA,2020-02-25T15:00:00+03:00,2024-12-26T10:00:00+03:00,741,1.47227192074,0.204521852251,151.550692518,-19.2163232319,7.88656033153,0.40620782726,1.56959401436,-0.729311604097,142.8,SOURCE,NA,20,13,0.65,NA,NA,137.996184186,0.0286899597817,114.817561226,0.0777506666836,102.098486449,0.104672317757,DERIVED_FROM_C1_TRADES,1.47227192074,0.204521852251,-19.2163232319,1.60681155027,0.306220669414,-11.0387762621,1.40704236492,0.196743940046,-27.3221288716,1.46328578667,0.203160457152,-16.2129477802
v2,T3,H1,quarterly,Si|CNY|GD|BR|MIX|NG,walk_forward,T3_H1_candidate_v2,WALK_FORWARD_BORDERLINE,NA,NA,2024-02-15T17:00:00+03:00,2024-12-26T10:00:00+03:00,95,1.60681155027,0.306220669414,29.0909635943,-11.0387762621,2.63534316699,0.4,2.027148743,-0.841064712975,NA,NA,NA,4,4,1,false,NA,15.5364552615,0.17596024413,5.67365442426,0.30399593532,-2.3918429376,0.408699613976,DERIVED_FROM_C1_TRADES,1.47227192074,0.204521852251,-19.2163232319,1.60681155027,0.306220669414,-11.0387762621,1.40704236492,0.196743940046,-27.3221288716,1.46328578667,0.203160457152,-16.2129477802
v2,T3,H1,quarterly,Si|CNY|GD|BR|MIX|NG,true_oos,T3_H1_candidate_v2,BORDERLINE,NA,NA,2025-02-18T12:00:00+03:00,2026-09-14T20:00:00+03:00,327,1.40704236492,0.196743940046,64.3352683952,-27.3221288716,2.35469456635,0.373088685015,1.82287482629,-0.771002245915,NA,NA,0.9835,7,7,1,false,true,54.6637077485,0.0434890460523,37.4394654992,0.120939407142,23.167895901,0.18511280895,SOURCE,1.47227192074,0.204521852251,-19.2163232319,1.60681155027,0.306220669414,-11.0387762621,1.40704236492,0.196743940046,-27.3221288716,1.46328578667,0.203160457152,-16.2129477802
v3,T2,M30,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,baseline,NA,NA,NA,NA,2023-01-13T14:30:00+03:00,2024-12-28T14:00:00+03:00,366,1.60567243173,0.264785895752,96.9116378452,-14.6843473006,6.59965580094,0.368852459016,1.90309868589,-0.692669630952,64.8,SOURCE,NA,8,6,0.75,NA,NA,82.0376685673,0.0578937661108,63.6697375252,0.129387036254,50.8742525509,0.179190743694,DERIVED_FROM_C1_TRADES,1.60567243173,0.264785895752,-14.6843473006,1.70741299686,0.31812238663,-7.44890140962,1.17764719099,0.0919196380325,-29.8417906144,1.7118816595,0.310463258155,-16.3334012952
v3,T2,M30,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,walk_forward,T2_M30_candidate_v3,WALK_FORWARD_BORDERLINE,NA,NA,2024-01-12T14:00:00+03:00,2024-12-28T14:00:00+03:00,193,1.70741299686,0.31812238663,61.3976206196,-7.44890140962,8.2425068132,0.383419689119,2.00255922766,-0.729342539724,NA,NA,NA,4,4,1,false,NA,46.5236513417,0.100371355843,28.1557202996,0.22432039112,14.7403531437,0.314848922234,DERIVED_FROM_C1_TRADES,1.60567243173,0.264785895752,-14.6843473006,1.70741299686,0.31812238663,-7.44890140962,1.17764719099,0.0919196380325,-29.8417906144,1.7118816595,0.310463258155,-16.3334012952
v3,T2,M30,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,true_oos,T2_M30_candidate_v3,BORDERLINE,NA,NA,2025-01-15T20:00:00+03:00,2026-09-15T22:30:00+03:00,361,1.17764719099,0.0919196380325,33.1829893298,-29.8417906144,1.1119637477,0.321329639889,1.89633200127,-0.762414378846,NA,NA,0.8273,7,4,0.571428571429,true,false,18.5115743255,0.0666959770071,-4.95854160855,0.173390683157,-21.9379997623,0.250578980965,SOURCE,1.60567243173,0.264785895752,-14.6843473006,1.70741299686,0.31812238663,-7.44890140962,1.17764719099,0.0919196380325,-29.8417906144,1.7118816595,0.310463258155,-16.3334012952
v3,T2,H1,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,baseline,NA,NA,NA,NA,2023-01-23T20:00:00+03:00,2024-12-27T16:00:00+03:00,176,2.13751848394,0.45731186791,80.4868887521,-5.84565405439,13.7686712219,0.397727272727,2.16062061975,-0.667514666325,31.2,SOURCE,NA,8,7,0.875,NA,NA,62.1194564006,0.121442833757,49.9479656158,0.201918988706,40.6733123272,0.263241668759,DERIVED_FROM_C1_TRADES,2.13751848394,0.45731186791,-5.84565405439,2.41850664449,0.568312563729,-7.3701444823,1.75760449522,0.381021700153,-12.629214942,2.39295957746,0.575052042961,-6.88205022139
v3,T2,H1,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,walk_forward,T2_H1_candidate_v3,WALK_FORWARD_BORDERLINE,NA,NA,2024-01-31T12:00:00+03:00,2024-12-27T16:00:00+03:00,85,2.41850664449,0.568312563729,48.306567917,-7.3701444823,6.55435833489,0.447058823529,2.16739714362,-0.724564330648,NA,NA,NA,4,4,1,false,NA,29.9391355655,0.223011036237,20.1038820178,0.342427296677,11.9479311913,0.441454041979,DERIVED_FROM_C1_TRADES,2.13751848394,0.45731186791,-5.84565405439,2.41850664449,0.568312563729,-7.3701444823,1.75760449522,0.381021700153,-12.629214942,2.39295957746,0.575052042961,-6.88205022139
v3,T2,H1,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,true_oos,T2_H1_candidate_v3,BORDERLINE,NA,NA,2025-01-27T19:00:00+03:00,2026-09-16T00:00:00+03:00,172,1.75760449522,0.381021700153,65.5357324264,-12.629214942,5.18921664787,0.366279069767,2.41332726694,-0.793613627438,NA,NA,0.9919,7,5,0.714285714286,false,true,52.5425043405,0.0854594892597,32.1931116547,0.219302187485,18.0903517627,0.312059326016,SOURCE,2.13751848394,0.45731186791,-5.84565405439,2.41850664449,0.568312563729,-7.3701444823,1.75760449522,0.381021700153,-12.629214942,2.39295957746,0.575052042961,-6.88205022139
v3,T3,M30,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,baseline,NA,NA,NA,NA,2023-01-31T10:00:00+03:00,2024-12-24T16:30:00+03:00,398,1.76921819082,0.327726745964,130.435244894,-17.6351499586,7.39632184587,0.437185929648,1.72415997718,-0.757002638997,68.2,SOURCE,NA,8,7,0.875,NA,NA,120.42417754,0.0333697978226,106.024583209,0.0813678318522,93.8714304829,0.121877822947,DERIVED_FROM_C1_TRADES,1.76921819082,0.327726745964,-17.6351499586,1.60064574312,0.272899850925,-18.3781479418,1.97656824882,0.424043791812,-17.830747306,1.93094457407,0.376193476605,-15.012134415
v3,T3,M30,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,walk_forward,T3_M30_candidate_v3,WALK_FORWARD_BORDERLINE,NA,NA,2024-01-25T16:00:00+03:00,2024-12-24T16:30:00+03:00,171,1.60064574312,0.272899850925,46.6658745082,-18.3781479418,2.53920442124,0.397660818713,1.82880464695,-0.754299431889,NA,NA,NA,4,3,0.75,true,NA,38.844218914,0.0628959179236,26.7107773624,0.160464001148,15.8666786018,0.247664151729,DERIVED_FROM_C1_TRADES,1.76921819082,0.327726745964,-17.6351499586,1.60064574312,0.272899850925,-18.3781479418,1.97656824882,0.424043791812,-17.830747306,1.93094457407,0.376193476605,-15.012134415
v3,T3,M30,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,true_oos,T3_M30_candidate_v3,PASS,NA,NA,2025-01-27T15:00:00+03:00,2026-09-15T21:00:00+03:00,369,1.97656824882,0.424043791812,156.472159178,-17.830747306,8.77541229726,0.441734417344,1.9429368525,-0.777798775624,NA,NA,1,7,6,0.857142857143,true,true,142.068146902,0.0454817527204,119.333958141,0.117266664568,101.800494063,0.172629896852,SOURCE,1.76921819082,0.327726745964,-17.6351499586,1.60064574312,0.272899850925,-18.3781479418,1.97656824882,0.424043791812,-17.830747306,1.93094457407,0.376193476605,-15.012134415
v3,T3,H1,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,baseline,NA,NA,NA,NA,2023-02-21T13:00:00+03:00,2024-12-12T13:00:00+03:00,184,2.18914684143,0.446593576967,82.173218162,-6.91039528,11.8912471476,0.461956521739,1.77971629567,-0.698006737072,36.2,SOURCE,NA,8,6,0.75,NA,NA,67.0142783824,0.100207245632,55.0029397389,0.179607466182,44.9170577777,0.246279572925,DERIVED_FROM_C1_TRADES,2.18914684143,0.446593576967,-6.91039528,3.29825125816,0.580199228677,-2.33918741216,2.24544369911,0.424276655881,-11.9772400216,2.31342650378,0.399304363394,-5.67342240555
v3,T3,H1,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,walk_forward,T3_H1_candidate_v3,WALK_FORWARD_PASS,NA,NA,2024-02-16T15:00:00+03:00,2024-12-12T13:00:00+03:00,66,3.29825125816,0.580199228677,38.2931490927,-2.33918741216,16.3702783683,0.545454545455,1.52652813169,-0.555395454939,NA,NA,NA,4,4,1,true,NA,26.165997269,0.220674169996,19.7212259537,0.337947754222,13.7825803433,0.44601151973,DERIVED_FROM_C1_TRADES,2.18914684143,0.446593576967,-6.91039528,3.29825125816,0.580199228677,-2.33918741216,2.24544369911,0.424276655881,-11.9772400216,2.31342650378,0.399304363394,-5.67342240555
v3,T3,H1,perpetual,USDRUBF|CNYRUBF|GLDRUBF|IMOEXF,true_oos,T3_H1_candidate_v3,PASS,NA,NA,2025-02-18T11:00:00+03:00,2026-09-16T00:00:00+03:00,199,2.24544369911,0.424276655881,84.4310545203,-11.9772400216,7.04929135328,0.43216080402,1.77003491333,-0.599928743598,NA,NA,0.9999,7,6,0.857142857143,true,true,74.251736176,0.0668710915827,57.6066945992,0.17621751951,45.6543983541,0.254735851464,SOURCE,2.18914684143,0.446593576967,-6.91039528,3.29825125816,0.580199228677,-2.33918741216,2.24544369911,0.424276655881,-11.9772400216,2.31342650378,0.399304363394,-5.67342240555
