generation,lifecycle_stage,strategy,timeframe,direction,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v2,development,T3,M30,SHORT,707,1.37636082326,0.171687008245,121.382714829,-18.744276736,0.384724186704
v2,walk_forward,T3,M30,LONG,147,1.45657902731,0.21466452237,31.5556847883,-15.3195775171,0.408163265306
v2,walk_forward,T3,M30,SHORT,177,0.976826950724,-0.011571914319,-2.04822883447,-18.1977366715,0.35593220339
v2,true_oos,T3,M30,LONG,339,1.74519787177,0.355205670193,120.414722195,-14.7532918416,0.418879056047
v2,true_oos,T3,M30,SHORT,359,1.19602083318,0.0984277559149,35.3355643735,-15.9541564482,0.367688022284
v2,development,T3,H1,LONG,414,1.5296653253,0.232465668791,96.2407868794,-12.4125395513,0.410628019324
v2,development,T3,H1,SHORT,327,1.39735275667,0.169143442321,55.3099056389,-19.1347125118,0.400611620795
v2,walk_forward,T3,H1,LONG,35,2.10316730193,0.532894664952,18.6513132733,-4.10042862044,0.457142857143
v2,walk_forward,T3,H1,SHORT,60,1.33639796631,0.173994172017,10.439650321,-13.8873276484,0.366666666667
v2,true_oos,T3,H1,LONG,169,1.78059027306,0.377811845164,63.8502018328,-16.2706745538,0.402366863905
v2,true_oos,T3,H1,SHORT,158,1.00636085062,0.00307004153415,0.485066562395,-16.6977003203,0.341772151899
v3,development,T2,M30,LONG,221,1.79621328313,0.332473260886,73.4765906558,-7.37652878201,0.411764705882
v3,development,T2,M30,SHORT,145,1.34603685442,0.161621015099,23.4350471894,-16.8875267616,0.303448275862
v3,walk_forward,T2,M30,LONG,104,1.68279570077,0.329203362392,34.2371496887,-10.3094505085,0.394230769231
v3,walk_forward,T2,M30,SHORT,89,1.74109385022,0.305173830684,27.1604709308,-5.18975037043,0.370786516854
v3,true_oos,T2,M30,LONG,174,0.916388660199,-0.0449824027595,-7.82693808016,-25.8305406696,0.304597701149
v3,true_oos,T2,M30,SHORT,187,1.44011248398,0.219304424652,41.0099274099,-15.129650854,0.336898395722
v3,development,T2,H1,LONG,119,2.73262949593,0.643121917828,76.5315082215,-3.43747697072,0.428571428571
v3,development,T2,H1,SHORT,57,1.14877779653,0.0693926408876,3.95538053059,-12.582477346,0.333333333333
v3,walk_forward,T2,H1,LONG,51,2.52378920711,0.651047478786,33.2034214181,-3.51825711556,0.43137254902
v3,walk_forward,T2,H1,SHORT,34,2.23145351471,0.444210191143,15.1031464989,-3.9963008888,0.470588235294
v3,true_oos,T2,H1,LONG,81,2.25113819384,0.592946813758,48.0286919144,-5.63351187602,0.407407407407
v3,true_oos,T2,H1,SHORT,91,1.363851565,0.192385060572,17.507040512,-15.5928171634,0.32967032967
v3,development,T3,M30,LONG,243,1.70724407523,0.2995301342,72.7858226105,-16.9444368053,0.440329218107
v3,development,T3,M30,SHORT,155,1.86490727677,0.371931756667,57.6494222833,-9.03518638365,0.432258064516
v3,walk_forward,T3,M30,LONG,91,1.34080943361,0.16107749607,14.6580521424,-20.4464727448,0.351648351648
v3,walk_forward,T3,M30,SHORT,80,1.92285935684,0.400097779572,32.0078223658,-7.61223770076,0.45
v3,true_oos,T3,M30,LONG,170,2.52048420628,0.628705864361,106.879996941,-8.60260905437,0.476470588235
v3,true_oos,T3,M30,SHORT,199,1.55143360061,0.249206845412,49.5921622371,-14.7473258583,0.412060301508
v3,development,T3,H1,LONG,120,1.86759690061,0.352369618361,42.2843542034,-7.25033667425,0.458333333333
v3,development,T3,H1,SHORT,64,2.95866431972,0.623263499354,39.8888639586,-5.30593032116,0.46875
v3,walk_forward,T3,H1,LONG,38,2.14217757728,0.30864852854,11.7286440845,-2.47449713201,0.552631578947
v3,walk_forward,T3,H1,SHORT,28,5.1551225433,0.94873232172,26.5645050082,-1.96689774622,0.535714285714
v3,true_oos,T3,H1,LONG,91,4.16745929124,0.899026019593,81.811367783,-7.35772193508,0.527472527473
v3,true_oos,T3,H1,SHORT,108,1.06242812691,0.0242563586784,2.61968673727,-7.05631981804,0.351851851852
