variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
SESSION_CANDIDATE,2023-05,43,0.972598186904,-0.55112698236,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-06,49,1.31321161364,7.81063321644,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-07,51,1.18086726414,3.89352027439,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-08,47,3.18171071917,31.4693034447,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-09,54,0.469034499002,-17.7372201241,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-10,56,1.81566646183,19.3032429819,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-11,54,0.848599725455,-4.5511730295,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2023-12,83,1.94170482154,38.8550919586,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-01,58,1.10681249,3.46081277736,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-02,50,0.409729961578,-18.1067298267,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-03,61,1.50495765444,14.955811272,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-04,73,0.797329282996,-9.34028077348,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-05,73,1.51155060606,20.619347254,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-06,48,1.81353494385,15.7633160608,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-07,63,0.768234288821,-8.38749530428,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-08,71,0.552930860795,-17.627411429,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-09,73,1.31885865653,12.2783804551,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-10,62,0.626042825128,-11.4849963035,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-11,55,2.98443126498,44.7762636022,14,10,-18.1067298267,44.7762636022
SESSION_CANDIDATE,2024-12,70,2.18000362483,33.0568176975,14,10,-18.1067298267,44.7762636022
EMA50_NORMAL,2023-01,13,0,-10.5837780453,14,10,-10.5837780453,28.0622449596
