variant,drawdown_period,start,trough,recovery,duration_minutes,depth_R,instrument_contribution_R,direction_contribution_R,session_contribution_R
SESSION_CANDIDATE,32,2024-06-27T12:00:00+00:00,2024-10-29T13:00:00+00:00,2024-12-05T11:50:00+00:00,231830,-24.2580243788,CNYRUBF:-18.7275738987|USDRUBF:-5.53045048011,LONG:-11.3254132932|SHORT:-12.9326110856,Session_B:-24.2580243788
SESSION_CANDIDATE,33,2024-12-05T13:05:00+00:00,2024-12-05T13:05:00+00:00,2024-12-05T16:10:00+00:00,185,-1.0048556399,USDRUBF:-1.0048556399,SHORT:-1.0048556399,Session_B:-1.0048556399
SESSION_CANDIDATE,34,2024-12-10T09:30:00+00:00,2024-12-11T10:50:00+00:00,2024-12-11T13:20:00+00:00,1670,-2.78173625998,CNYRUBF:-1.77740206085|USDRUBF:-1.00433419913,LONG:-1.05473127665|SHORT:-1.72700498333,Session_B:-2.78173625998
SESSION_CANDIDATE,35,2024-12-12T12:25:00+00:00,2024-12-20T15:20:00+00:00,UNRECOVERED,25870,-4.87706993494,CNYRUBF:-1.68745046882|USDRUBF:-3.18961946613,LONG:-3.15479048582|SHORT:-1.72227944913,Session_B:-4.87706993494
SESSION_EMA50_NORMAL,1,2023-01-16T12:55:00+00:00,2023-03-13T13:20:00+00:00,2023-03-16T15:35:00+00:00,85120,-1.118816307,CNYRUBF:-1.06717657203|USDRUBF:-0.0516397349703,LONG:-1.118816307,Session_B:-1.118816307
SESSION_EMA50_NORMAL,2,2023-03-29T11:10:00+00:00,2023-03-30T12:10:00+00:00,2023-04-28T13:25:00+00:00,43335,-2.7066489766,CNYRUBF:-2.19653749592|USDRUBF:-0.510111480675,LONG:-2.7066489766,Session_B:-2.7066489766
SESSION_EMA50_NORMAL,3,2023-05-04T07:10:00+00:00,2023-07-06T12:50:00+00:00,2023-08-03T12:45:00+00:00,131375,-4.75420026477,CNYRUBF:-1.82439424298|USDRUBF:-2.92980602178,LONG:-3.02529631577|SHORT:-1.72890394899,Session_B:-4.75420026477
SESSION_EMA50_NORMAL,4,2023-08-10T19:15:00+00:00,2023-09-12T11:25:00+00:00,2023-09-12T12:40:00+00:00,47125,-0.858485859358,CNYRUBF:-0.858485859358,LONG:-0.388873006989|SHORT:-0.469612852369,Session_B:-0.858485859358
SESSION_EMA50_NORMAL,5,2023-10-10T10:50:00+00:00,2023-12-15T09:25:00+00:00,2023-12-20T12:50:00+00:00,102360,-2.78629057166,CNYRUBF:-1.56680275655|USDRUBF:-1.21948781511,LONG:-0.920205568735|SHORT:-1.86608500292,Session_B:-2.78629057166
SESSION_EMA50_NORMAL,6,2023-12-22T12:15:00+00:00,2023-12-22T12:15:00+00:00,2024-01-08T09:45:00+00:00,24330,-1.01261049702,USDRUBF:-1.01261049702,LONG:-1.01261049702,Session_B:-1.01261049702
SESSION_EMA50_NORMAL,7,2024-01-29T12:35:00+00:00,2024-10-25T11:00:00+00:00,UNRECOVERED,466690,-11.0622649406,CNYRUBF:-6.46106341457|USDRUBF:-4.60120152602,LONG:-8.07966034851|SHORT:-2.98260459208,Session_B:-11.0622649406
