configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,atr_average_period,breakout_period,ema_period,stop_atr,trail_atr
T3-M5-0010-938b6b3b78f6,1131,1.15749204634,0.0773919100962,87.5302503188,-42.8121622922,2.04451832452,0.374889478338,101.41025641,15,0.631282899181,1.49535111695,0.0255810949338,0.0805446477669,35.7154001556,1.06426225717,20,20,20,75,2,3
T3-M5-0011-76dd2f3526c3,1078,1.19608350747,0.102091322992,110.054446185,-47.8489951928,2.30003672474,0.369202226345,147.769016698,17,0.66801581359,1.64636116841,0.0236053223066,0.0810928086449,55.6154171816,1.09908973647,20,20,20,75,2,3.5
T3-M5-0012-a1c4a1e2e83c,1043,1.17603628073,0.0963669458334,100.510724504,-50.5175036145,1.98962176103,0.370086289549,185.359539789,24,0.691447017312,1.7442260071,0.0226915785295,0.0784979487923,47.8011818948,1.08371984499,20,20,20,75,2,4
T3-M5-0013-4dff97e36238,1106,1.15612056165,0.0639070001316,70.6811421456,-30.4884846482,2.31828977272,0.388788426763,113.811030741,15,0.54563939475,1.24290400912,0.0251524385981,0.0791949802232,29.229262015,1.06456161663,20,20,20,75,2.5,3
T3-M5-0014-1fd24e14c155,1093,1.17215111706,0.0587964471708,64.2645167576,-22.6199332885,2.84105686512,0.39615736505,117.767612077,15,0.466476073159,1.05559012368,0.0250726606984,0.0789437914897,29.7212833155,1.07961706368,20,20,20,75,3,3
T3-M5-0015-924083b3822d,964,1.17899932351,0.0871985667489,84.059418346,-36.1956459054,2.32236271085,0.381742738589,95.4304979253,15,0.629583275791,1.51977282815,0.0292517275061,0.0834775171455,37.8406816943,1.08057938727,20,20,30,75,2,3
T3-M5-0016-98c3349eff3f,894,1.16149349035,0.0797008298455,71.2525418819,-32.6831152229,2.18010252071,0.372483221477,94.3344519016,16,0.634974821156,1.52134832542,0.0316037010284,0.0881618014801,26.0729215415,1.05909413183,20,20,40,75,2,3
T3-M5-0017-737e6c59a803,844,1.1527410788,0.0768493901272,64.8608852673,-33.3524372651,1.94471200866,0.372037914692,92.9976303318,15,0.640020972379,1.5271323704,0.031139434458,0.090349855317,20.6340107111,1.04859108911,20,20,55,75,2,3
T3-M5-0018-ab666f9016c3,1141,1.09255944444,0.0463301860762,52.862742313,-40.463120053,1.30644256409,0.363716038563,101.963190184,17,0.63933361426,1.45466678005,0.0263731900369,0.0826696749633,1.27811997607,1.00223791029,20,30,20,75,2,3
T3-M5-0019-7507864f8bc2,1137,1.03597257941,0.0180125379503,20.4802556494,-63.6621204235,0.321702379896,0.35708003518,108.425681618,18,0.634246971909,1.42819120049,0.0279013126319,0.0847447856025,-29.5030574228,0.948179305275,20,50,20,75,2,3
T3-M5-0020-816e9e819790,888,1.10271302791,0.0501565972432,44.5390583519,-53.2521172782,0.836380985929,0.375,99.9943693694,15,0.625970872661,1.45930827517,0.0227204011581,0.0902209983057,1.39851282257,1.00322515769,25,20,20,75,2,3
T3-M5-0021-0912e76c7e11,645,1.12432847301,0.0610631989887,39.3857633477,-34.8866153741,1.1289648745,0.382945736434,97.3875968992,17,0.632297401254,1.46662940659,0.0305022673303,0.110670753094,-0.0322508577587,0.999898194181,30,20,20,75,2,3
