trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,net_R,year
T3-M15-Si-000014,T3,Si,SHORT,2023-03-13 19:30:00+03:00,74.88,75.128428016,0.248428016038,2023-03-14 09:15:00+03:00,75.0739471502,ATR_TRAILING_STOP,19,-839.868937241,-0.780697577279,0.193947150249,0.00999999999999,0.780697577279,0.0402531089668,-0.193947150249,-0.780697577279,4330.40101988,0,-839.868937241,0.001,248.428016038,0,T3_MTF_Trend_v1.0,0.248428016038,USDRUBF,M15,-0.788748199073,2023
T3-M15-CNY-000009,T3,CNY,LONG,2023-03-14 14:45:00+03:00,10.94,10.9142981689,0.0257018310661,2023-03-14 17:45:00+03:00,10.9142981689,ATR_TRAILING_STOP,12,-1013.51246099,-1,0.0257018310661,0.01,1,0.389077337497,-0.0257018310661,-1,39433.4729843,0,-1013.51246099,0.001,25.7018310661,0,T3_MTF_Trend_v1.0,0.0257018310661,CNYRUBF,M15,-1.0778154675,2023
T3-M15-Si-000015,T3,Si,LONG,2023-03-15 18:30:00+03:00,76.24,76.0370000512,0.202999948764,2023-03-16 11:00:00+03:00,76.1661038213,ATR_TRAILING_STOP,29,-388.553574974,-0.36402067645,0.14,0.25,0.689655346479,1.23152740443,-0.0738961786683,-0.36402067645,5258.10105442,0,-388.553574974,0.001,202.999948764,0,T3_MTF_Trend_v1.0,0.202999948764,USDRUBF,M15,-0.373872895685,2023
T3-M15-CNY-000010,T3,CNY,LONG,2023-03-16 18:15:00+03:00,11.13,11.0863392339,0.043660766126,2023-03-16 19:30:00+03:00,11.0863392339,ATR_TRAILING_STOP,4,-1003.37733638,-1,0.043660766126,0,1,0,-0.043660766126,-1,22981.2123197,0,-1003.37733638,0.001,43.660766126,0,T3_MTF_Trend_v1.0,0.043660766126,CNYRUBF,M15,-1.04580771657,2023
T3-M15-CNY-000011,T3,CNY,LONG,2023-03-17 16:00:00+03:00,11.18,11.1421761963,0.0378238036936,2023-03-20 09:15:00+03:00,11.1978706949,ATR_TRAILING_STOP,32,469.327196181,0.472472177455,0.02,0.08,0.528767549715,2.11507019886,0.0178706948908,0.472472177455,26262.3920922,0,469.327196181,0.001,37.8238036936,0,T3_MTF_Trend_v1.0,0.0378238036936,CNYRUBF,M15,0.419595422484,2023
T3-M15-Si-000016,T3,Si,LONG,2023-03-17 14:45:00+03:00,76.87,76.6474522378,0.222547762185,2023-03-20 09:15:00+03:00,76.9978048289,ATR_TRAILING_STOP,37,610.752259447,0.574280449552,0.05,0.32,0.224670872936,1.43789358679,0.127804828914,0.574280449552,4778.78860004,0,610.752259447,0.001,222.547762185,0,T3_MTF_Trend_v1.0,0.222547762185,USDRUBF,M15,0.565293614635,2023
T3-M15-CNY-000012,T3,CNY,LONG,2023-03-20 10:45:00+03:00,11.3,11.2449227336,0.055077266367,2023-03-20 12:45:00+03:00,11.2449227336,ATR_TRAILING_STOP,8,-998.036834981,-1,0.055077266367,0.02,1,0.363126228283,-0.055077266367,-1,18120.6675787,0,-998.036834981,0.001,55.077266367,0,T3_MTF_Trend_v1.0,0.055077266367,CNYRUBF,M15,-1.03631262283,2023
T3-M15-CNY-000013,T3,CNY,LONG,2023-03-21 09:30:00+03:00,11.23,11.2002451411,0.0297548588603,2023-03-21 10:15:00+03:00,11.2002451411,ATR_TRAILING_STOP,3,-988.056466631,-1,0.0297548588603,0.02,1,0.672159128494,-0.0297548588603,-1,33206.5586757,0,-988.056466631,0.001,29.7548588603,0,T3_MTF_Trend_v1.0,0.0297548588603,CNYRUBF,M15,-1.06721591285,2023
T3-M15-Si-000017,T3,Si,LONG,2023-03-21 10:00:00+03:00,77.36,77.1613054698,0.198694530167,2023-03-21 10:15:00+03:00,77.1613054698,ATR_TRAILING_STOP,1,-1069.61623149,-1,0.198694530167,0,1,0,-0.198694530167,-1,5383.21930952,0,-1069.61623149,0.001,198.694530167,0,T3_MTF_Trend_v1.0,0.198694530167,USDRUBF,M15,-1.01006570235,2023
T3-M15-CNY-000014,T3,CNY,LONG,2023-03-30 10:00:00+03:00,11.23,11.2021646249,0.027835375058,2023-03-30 10:15:00+03:00,11.2021646249,ATR_TRAILING_STOP,1,-978.175901965,-1,0.027835375058,0,1,0,-0.027835375058,-1,35141.4665664,0,-978.175901965,0.001,27.835375058,0,T3_MTF_Trend_v1.0,0.027835375058,CNYRUBF,M15,-1.07185101677,2023
