trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe_pair,net_R
T2-Si-000017,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-17 12:30:00+03:00,2023-03-17 13:15:00+03:00,2023-03-17 13:15:00+03:00,76.76,76.5087287011,0.2512712989,251.2712989,2023-03-20 09:15:00+03:00,77.0252612819,ATR_TRAILING_STOP,42,1.05567680466,0.00795952426224,1.0477172804,0.31838097049,1.71129771638,2023-03-17 11:30:00+03:00,3,3743.47381991,USDRUBF,T2,H1_M15,1.0477172804
T2-CNY-000010,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-20 10:15:00+03:00,2023-03-20 10:30:00+03:00,2023-03-20 10:30:00+03:00,11.24,11.1774958395,0.0625041604967,62.5041604967,2023-03-20 12:45:00+03:00,11.2388154896,ATR_TRAILING_STOP,9,-0.0189509042137,0.0319978699675,-0.0509487741812,0,1.2799147987,2023-03-18 00:00:00+03:00,1,16778.024436,CNYRUBF,T2,H1_M15,-0.0509487741812
T2-Si-000018,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-20 19:45:00+03:00,2023-03-20 20:00:00+03:00,2023-03-20 20:00:00+03:00,77.27,77.1172087438,0.152791256183,152.791256183,2023-03-20 21:30:00+03:00,77.1172087438,INITIAL_STOP,6,-1,0.0130897542828,-1.01308975428,0.654487714142,0,2023-03-20 19:30:00+03:00,1,6220.79214504,USDRUBF,T2,H1_M15,-1.01308975428
T2-Si-000019,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-20 22:00:00+03:00,2023-03-20 22:30:00+03:00,2023-03-20 22:30:00+03:00,77.21,77.1300783024,0.0799216975727,79.9216975727,2023-03-20 22:45:00+03:00,77.1300783024,INITIAL_STOP,1,-1,0.0250244934823,-1.02502449348,0,0,2023-03-20 20:45:00+03:00,2,11772.1899379,USDRUBF,T2,H1_M15,-1.02502449348
T2-Si-000020,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-24 11:00:00+03:00,2023-03-24 11:30:00+03:00,2023-03-24 11:30:00+03:00,76.37,76.1880689668,0.181931033176,181.931033176,2023-03-24 21:30:00+03:00,76.98,ATR_TRAILING_STOP,40,3.35291890202,0.0109931767279,3.3419257253,0.219863534559,4.78203187666,2023-03-24 10:30:00+03:00,2,5118.47489619,USDRUBF,T2,H1_M15,3.3419257253
T2-CNY-000011,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-29 12:15:00+03:00,2023-03-29 12:45:00+03:00,2023-03-29 12:45:00+03:00,11.18,11.1586847741,0.0213152258907,21.3152258907,2023-03-29 16:00:00+03:00,11.17,EMA50_TREND_LOSS,13,-0.469148206605,0.093829641321,-0.562977847926,0.469148206605,0.469148206605,2023-03-29 10:00:00+03:00,2,49174.3338596,CNYRUBF,T2,H1_M15,-0.562977847926
T2-Si-000021,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-29 11:00:00+03:00,2023-03-29 11:45:00+03:00,2023-03-29 11:45:00+03:00,77.03,76.8702517058,0.159748294206,159.748294206,2023-03-30 09:15:00+03:00,77.1740274227,ATR_TRAILING_STOP,49,0.901589737927,0.0125196954994,0.889070042428,0.438189342478,1.56496193742,2023-03-29 10:30:00+03:00,3,6024.03774202,USDRUBF,T2,H1_M15,0.889070042428
T2-CNY-000012,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-30 11:45:00+03:00,2023-03-30 12:00:00+03:00,2023-03-30 12:00:00+03:00,11.22,11.1985811978,0.0214188021782,21.4188021782,2023-03-30 12:15:00+03:00,11.1985811978,INITIAL_STOP,1,-1,0.0933759032535,-1.09337590325,0,0,2023-03-30 11:15:00+03:00,1,48661.0364811,CNYRUBF,T2,H1_M15,-1.09337590325
T2-Si-000022,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-31 12:15:00+03:00,2023-03-31 12:45:00+03:00,2023-03-31 12:45:00+03:00,77.29,77.2124644785,0.0775355214769,77.5355214769,2023-03-31 17:15:00+03:00,77.6146147161,ATR_TRAILING_STOP,18,4.18665806243,0.0257946288605,4.16086343357,0.386919432907,8.89914695686,2023-03-31 12:00:00+03:00,2,12521.8160731,USDRUBF,T2,H1_M15,4.16086343357
T2-Si-000023,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-31 17:30:00+03:00,2023-03-31 18:15:00+03:00,2023-03-31 18:15:00+03:00,77.63,77.363947868,0.266052132006,266.052132006,2023-04-01 00:00:00+03:00,77.52,EMA50_TREND_LOSS,22,-0.413452804045,0.00751732370992,-0.420970127755,0.638972515343,0.0375866185496,2023-03-31 16:45:00+03:00,3,3801.06993625,USDRUBF,T2,H1_M15,-0.420970127755
