strategy,diagnostic_run_id,month,trades,PF,expectancy,net_R
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-04,18,2.96881607782,0.524590062021,9.44262111637
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-05,11,4.65277003574,1.25304715695,13.7835187265
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-06,16,0.870404415628,-0.0874109445954,-1.39857511353
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-07,15,1.15225352735,0.104977095105,1.57465642658
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026-08,17,1.91168324174,0.410866668575,6.98473336578
T2,QUARTERLY_ALL6__V2_PARAMS,2025-01,5,0.285824114935,-0.531948355716,-2.65974177858
T2,QUARTERLY_ALL6__V2_PARAMS,2025-02,14,1.92457130585,0.255600016443,3.5784002302
T2,QUARTERLY_ALL6__V2_PARAMS,2025-03,9,0.160887323123,-0.378160562478,-3.4034450623
T2,QUARTERLY_ALL6__V2_PARAMS,2025-04,10,1.75857318787,0.257713150748,2.57713150748
T2,QUARTERLY_ALL6__V2_PARAMS,2025-05,13,0.475866745725,-0.317425581093,-4.12653255421
T2,QUARTERLY_ALL6__V2_PARAMS,2025-06,14,0.948629206867,-0.0287254278052,-0.402155989273
T2,QUARTERLY_ALL6__V2_PARAMS,2025-07,14,0.365987229436,-0.330823549938,-4.63152969913
T2,QUARTERLY_ALL6__V2_PARAMS,2025-08,15,0.594959779158,-0.210331689167,-3.15497533751
T2,QUARTERLY_ALL6__V2_PARAMS,2025-09,15,0.874878565805,-0.0554203053565,-0.831304580348
T2,QUARTERLY_ALL6__V2_PARAMS,2025-10,15,0.488657258185,-0.328084874908,-4.92127312362
T2,QUARTERLY_ALL6__V2_PARAMS,2025-11,18,1.80548167591,0.44092593717,7.93666686906
T2,QUARTERLY_ALL6__V2_PARAMS,2025-12,23,2.13821000405,0.33352714763,7.6711243955
T2,QUARTERLY_ALL6__V2_PARAMS,2026-01,15,1.89474662077,0.399081889046,5.98622833569
T2,QUARTERLY_ALL6__V2_PARAMS,2026-02,13,1.05403403284,0.020967365035,0.272575745455
T2,QUARTERLY_ALL6__V2_PARAMS,2026-03,17,3.53904332908,1.0582825611,17.9908035387
T2,QUARTERLY_ALL6__V2_PARAMS,2026-04,18,1.300043942,0.134822158231,2.42679884815
T2,QUARTERLY_ALL6__V2_PARAMS,2026-05,10,6.29539158668,1.46857996271,14.6857996271
T2,QUARTERLY_ALL6__V2_PARAMS,2026-06,14,0.379541767025,-0.379694597443,-5.3157243642
T2,QUARTERLY_ALL6__V2_PARAMS,2026-07,16,0.975148201208,-0.0180736172111,-0.289177875378
T2,QUARTERLY_ALL6__V2_PARAMS,2026-08,16,2.44872945802,0.541562140211,8.66499424337
T3,LEGACY_DATA__LEGACY_PARAMS,2025-01,0,,,0
T3,LEGACY_DATA__LEGACY_PARAMS,2025-02,4,5.63568385086,1.1606343914,4.64253756559
T3,LEGACY_DATA__LEGACY_PARAMS,2025-03,3,5.69871228271,1.56887814161,4.70663442482
T3,LEGACY_DATA__LEGACY_PARAMS,2025-04,3,0.274454566406,-0.462194382299,-1.3865831469
T3,LEGACY_DATA__LEGACY_PARAMS,2025-05,0,,,0
T3,LEGACY_DATA__LEGACY_PARAMS,2025-06,3,0,-1.02030212846,-3.06090638538
T3,LEGACY_DATA__LEGACY_PARAMS,2025-07,7,4.08158423783,1.16138543006,8.12969801042
T3,LEGACY_DATA__LEGACY_PARAMS,2025-08,0,,,0
T3,LEGACY_DATA__LEGACY_PARAMS,2025-09,6,4.98316248201,1.58681964441,9.52091786645
T3,LEGACY_DATA__LEGACY_PARAMS,2025-10,11,1.70767279193,0.350087065205,3.85095771725
