trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe_pair,net_R
T3-Si-000013,T3,Si,LONG,2023-06-16 19:00:00+03:00,84.18,83.6320943212,0.547905678842,2023-06-19 12:00:00+03:00,83.7762342337,ATR_TRAILING_STOP,8,-755.774610612,-0.736925682393,0.403765766267,0.35,0.736925682393,0.638796080267,-0.403765766267,-0.736925682393,1871.8144869,0,-755.774610612,0.001,547.905678842,0,T3_MTF_Trend_v1.0,0.547905678842,USDRUBF,H4_H1,-0.740575945708
T3-Si-000014,T3,Si,LONG,2023-06-20 18:00:00+03:00,84.74,84.3207995626,0.419200437409,2023-06-21 10:00:00+03:00,84.4126054718,ATR_TRAILING_STOP,7,-795.071190913,-0.780997582454,0.32739452818,0.19,0.780997582454,0.453243801877,-0.32739452818,-0.780997582454,2428.48038827,0,-795.071190913,0.001,419.200437409,0,T3_MTF_Trend_v1.0,0.419200437409,USDRUBF,H4_H1,-0.785768569842
T3-Si-000015,T3,Si,LONG,2023-06-23 22:00:00+03:00,84.81,84.2829842277,0.527015772269,2023-06-26 11:00:00+03:00,84.7368875811,ATR_TRAILING_STOP,4,-140.12599966,-0.138729090789,0.08,1.01,0.151798113471,1.91645118257,-0.0731124189186,-0.138729090789,1916.5827329,0,-140.12599966,0.001,527.015772269,0,T3_MTF_Trend_v1.0,0.527015772269,USDRUBF,H4_H1,-0.142524043626
T3-CNY-000011,T3,CNY,LONG,2023-06-28 15:00:00+03:00,11.84,11.7666792577,0.0733207422539,2023-06-29 22:00:00+03:00,12.09,ATR_TRAILING_STOP,22,3567.67736683,3.40967633871,0.01,0.45,0.136387053548,6.13741740968,0.25,3.40967633871,14270.7094673,0,3567.67736683,0.001,73.3207422539,0,T3_MTF_Trend_v1.0,0.0733207422539,CNYRUBF,H4_H1,3.382398928
T3-Si-000016,T3,Si,LONG,2023-06-28 15:00:00+03:00,85.92,85.4200108218,0.499989178156,2023-06-30 11:00:00+03:00,88.05,ATR_TRAILING_STOP,26,4297.0189777,4.26009220411,0.15,8.79,0.300006493247,17.5803805043,2.13,4.26009220411,2017.37980174,0,4297.0189777,0.001,499.989178156,0,T3_MTF_Trend_v1.0,0.499989178156,USDRUBF,H4_H1,4.25609211753
T3-CNY-000012,T3,CNY,LONG,2023-06-30 19:00:00+03:00,12.35,12.220043247,0.129956752972,2023-07-03 10:00:00+03:00,12.220043247,ATR_TRAILING_STOP,6,-1082.0157843,-1,0.129956752972,0.01,1,0.0769486753962,-0.129956752972,-1,8325.96813599,0,-1082.0157843,0.001,129.956752972,0,T3_MTF_Trend_v1.0,0.129956752972,CNYRUBF,H4_H1,-1.01538973508
T3-CNY-000013,T3,CNY,LONG,2023-07-04 12:00:00+03:00,12.38,12.2619886459,0.118011354052,2023-07-04 18:00:00+03:00,12.2917765765,ATR_TRAILING_STOP,6,-800.808923538,-0.747584198214,0.0882234234989,0.09,0.747584198214,0.762638482739,-0.0882234234989,-0.747584198214,9077.05563645,0,-800.808923538,0.001,118.011354052,0,T3_MTF_Trend_v1.0,0.118011354052,CNYRUBF,H4_H1,-0.764531720053
T3-Si-000017,T3,Si,LONG,2023-07-04 15:00:00+03:00,89.65,88.8755292673,0.774470732707,2023-07-04 18:00:00+03:00,88.8755292673,ATR_TRAILING_STOP,3,-1051.63825887,-1,0.774470732707,0.42,1,0.542305838378,-0.774470732707,-1,1357.87992297,0,-1051.63825887,0.001,774.470732707,0,T3_MTF_Trend_v1.0,0.774470732707,USDRUBF,H4_H1,-1.00258240875
T3-CNY-000014,T3,CNY,LONG,2023-07-06 11:00:00+03:00,12.86,12.6860644244,0.17393557561,2023-07-06 13:00:00+03:00,12.6860644244,ATR_TRAILING_STOP,2,-1063.18753723,-1,0.17393557561,0.04,1,0.229970205117,-0.17393557561,-1,6112.53640033,0,-1063.18753723,0.001,173.93557561,0,T3_MTF_Trend_v1.0,0.17393557561,CNYRUBF,H4_H1,-1.01149851026
T3-Si-000018,T3,Si,LONG,2023-07-05 13:00:00+03:00,90.47,89.5343026466,0.93569735341,2023-07-06 13:00:00+03:00,92.1104127311,ATR_TRAILING_STOP,15,1825.23716059,1.75314456661,0.24,3.2,0.256493191015,3.41990921353,1.64041273113,1.75314456661,1112.66946785,0,1825.23716059,0.001,935.69735341,0,T3_MTF_Trend_v1.0,0.93569735341,USDRUBF,H4_H1,1.75100712336
T3-CNY-000015,T3,CNY,LONG,2023-07-12 18:00:00+03:00,12.67,12.5766857504,0.0933142495884,2023-07-13 11:00:00+03:00,12.6246192581,ATR_TRAILING_STOP,8,-511.880629212,-0.486321671873,0.0453807418694,0.08,0.486321671873,0.857318151867,-0.0453807418694,-0.486321671873,11279.6884345,0,-511.880629212,0.001,93.3142495884,0,T3_MTF_Trend_v1.0,0.0933142495884,CNYRUBF,H4_H1,-0.50775462567
T3-Si-000019,T3,Si,LONG,2023-07-12 20:00:00+03:00,90.91,90.3339960221,0.576003977851,2023-07-13 11:00:00+03:00,90.4952195934,ATR_TRAILING_STOP,6,-762.855289589,-0.72009989964,0.414780406643,0.38,0.72009989964,0.659717666218,-0.414780406643,-0.72009989964,1839.17870124,0,-762.855289589,0.001,576.003977851,0,T3_MTF_Trend_v1.0,0.576003977851,USDRUBF,H4_H1,-0.723572097884
T3-Si-000020,T3,Si,LONG,2023-08-02 17:00:00+03:00,93.58,92.8994511518,0.680548848246,2023-08-03 11:00:00+03:00,93.3672609786,ATR_TRAILING_STOP,9,-328.774856443,-0.312599193899,0.212739021371,0.82,0.312599193899,1.20490983434,-0.212739021371,-0.312599193899,1545.43747698,0,-328.774856443,0.001,680.548848246,0,T3_MTF_Trend_v1.0,0.680548848246,USDRUBF,H4_H1,-0.315537998373
T3-CNY-000016,T3,CNY,LONG,2023-08-04 12:00:00+03:00,13.19,13.0818617754,0.108138224627,2023-08-07 18:00:00+03:00,13.3100817848,ATR_TRAILING_STOP,21,1163.12328487,1.11044716318,0.01,0.3,0.0924742387299,2.7742271619,0.120081784768,1.11044716318,9686.09258357,0,1163.12328487,0.001,108.138224627,0,T3_MTF_Trend_v1.0,0.108138224627,CNYRUBF,H4_H1,1.09195231543
T3-Si-000021,T3,Si,LONG,2023-08-04 12:00:00+03:00,94.67,93.9704459395,0.6995540605,2023-08-07 18:00:00+03:00,95.6151341074,ATR_TRAILING_STOP,21,1416.52149743,1.35105227849,0.02,2.18,0.0285896417865,3.11627095473,0.945134107367,1.35105227849,1498.75185584,0,1416.52149743,0.001,699.5540605,0,T3_MTF_Trend_v1.0,0.6995540605,USDRUBF,H4_H1,1.34819331431
T3-CNY-000017,T3,CNY,LONG,2023-08-09 15:00:00+03:00,13.54,13.4222147349,0.1177852651,2023-08-09 19:00:00+03:00,13.4222147349,ATR_TRAILING_STOP,4,-1059.06808841,-1,0.1177852651,0.04,1,0.339601052526,-0.1177852651,-1,8991.51593801,0,-1059.06808841,0.001,117.7852651,0,T3_MTF_Trend_v1.0,0.1177852651,CNYRUBF,H4_H1,-1.01698005263
T3-Si-000022,T3,Si,LONG,2023-08-08 18:00:00+03:00,97.01,96.1481702297,0.861829770267,2023-08-09 19:00:00+03:00,96.7222435277,ATR_TRAILING_STOP,16,-354.799408024,-0.333890151194,0.29,0.89,0.336493365633,1.03268653591,-0.287756472298,-0.333890151194,1232.98497925,0,-354.799408024,0.001,861.829770267,0,T3_MTF_Trend_v1.0,0.861829770267,USDRUBF,H4_H1,-0.336210795095
T3-CNY-000018,T3,CNY,LONG,2023-08-11 15:00:00+03:00,13.6,13.5050019764,0.094998023598,2023-08-14 18:00:00+03:00,13.7967419722,ATR_TRAILING_STOP,18,2171.40846871,2.07101121409,0.03,0.37,0.315796043578,3.8948178708,0.196741972188,2.07101121409,11036.8339026,0,2171.40846871,0.001,94.998023598,0,T3_MTF_Trend_v1.0,0.094998023598,CNYRUBF,H4_H1,2.04995814452
T3-Si-000023,T3,Si,LONG,2023-08-11 11:00:00+03:00,97.84,97.1353809653,0.704619034729,2023-08-14 18:00:00+03:00,100.316099135,ATR_TRAILING_STOP,22,3721.692115,3.51409628874,0.21,3.78,0.298033390598,5.36460103076,2.47609913492,3.51409628874,1503.04649055,0,3721.692115,0.001,704.619034729,0,T3_MTF_Trend_v1.0,0.704619034729,USDRUBF,H4_H1,3.5112578755
T3-Si-000024,T3,Si,LONG,2023-08-21 11:00:00+03:00,94.2,93.3253199514,0.874680048557,2023-08-21 17:00:00+03:00,93.34884243,ATR_TRAILING_STOP,6,-1066.80987125,-0.973107333772,0.851157569954,0.48,0.973107333772,0.548772091912,-0.851157569954,-0.973107333772,1253.36354737,0,-1066.80987125,0.001,874.680048557,0,T3_MTF_Trend_v1.0,0.874680048557,USDRUBF,H4_H1,-0.975393884155
T3-Si-000025,T3,Si,LONG,2023-09-13 14:00:00+03:00,95.6,94.8118044363,0.788195563739,2023-09-14 16:00:00+03:00,95.6753679935,ATR_TRAILING_STOP,17,103.808376404,0.0956209308038,0.00999999999999,1.13,0.0126872066528,1.43365435177,0.0753679934602,0.0956209308038,1377.35359054,0,103.808376404,0.001,788.195563739,0,T3_MTF_Trend_v1.0,0.788195563739,USDRUBF,H4_H1,0.0930834894732
T3-CNY-000019,T3,CNY,LONG,2023-09-14 19:00:00+03:00,13.34,13.2225507242,0.117449275821,2023-09-15 14:00:00+03:00,13.2297567709,ATR_TRAILING_STOP,10,-1004.5303817,-0.938645456454,0.110243229113,0.05,0.938645456454,0.425715694291,-0.110243229113,-0.938645456454,9111.94628263,0,-1004.5303817,0.001,117.449275821,0,T3_MTF_Trend_v1.0,0.117449275821,CNYRUBF,H4_H1,-0.955674084226
T3-Si-000026,T3,Si,LONG,2023-09-14 19:00:00+03:00,96.9,96.0901174274,0.809882572615,2023-09-15 14:00:00+03:00,96.1621080378,ATR_TRAILING_STOP,10,-990.068482527,-0.911109816608,0.737891962209,0.29,0.911109816608,0.358076602468,-0.737891962209,-0.911109816608,1341.75263214,0,-990.068482527,0.001,809.882572615,0,T3_MTF_Trend_v1.0,0.809882572615,USDRUBF,H4_H1,-0.913579310419
T3-Si-000027,T3,Si,LONG,2023-10-06 10:00:00+03:00,101.03,100.53896751,0.491032489797,2023-10-06 12:00:00+03:00,100.53896751,ATR_TRAILING_STOP,2,-1076.7613887,-1,0.491032489797,0.21,1,0.427670275111,-0.491032489797,-1,2192.85161588,0,-1076.7613887,0.001,491.032489797,0,T3_MTF_Trend_v1.0,0.491032489797,USDRUBF,H4_H1,-1.00407305024
T3-CNY-000020,T3,CNY,LONG,2023-10-09 14:00:00+03:00,13.897,13.7944063562,0.102593643759,2023-10-09 17:00:00+03:00,13.8617445676,ATR_TRAILING_STOP,3,-364.310213454,-0.343641487789,0.0352554323791,0.137,0.343641487789,1.33536537918,-0.0352554323791,-0.343641487789,10333.4490281,0,-364.310213454,0.001,102.593643759,0,T3_MTF_Trend_v1.0,0.102593643759,CNYRUBF,H4_H1,-0.363135872886
