outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
fast_failure,ema_position,above_all,127,0,0,-0.936610936698,-118.949588961,-0.936610936698,-1.01868576809,-118.949588961,14.094488189
fast_failure,ema_position,below_all,111,0,0,-0.98320945405,-109.1362494,-0.98320945405,-1.02264060682,-109.1362494,13.6936936937
fast_failure,ema_position,mixed,1,0,0,-1.30074496734,-1.30074496734,-1.30074496734,-1.30074496734,-1.30074496734,20
fast_failure,volatility,low_volatility,60,0,0,-1.02746810465,-61.6480862788,-1.02746810465,-1.09215739111,-61.6480862788,11.5
fast_failure,volatility,normal_volatility,87,0,0,-0.950099425852,-82.6586500491,-0.950099425852,-1.0211295235,-82.6586500491,14.1379310345
fast_failure,volatility,high_volatility,92,0,0,-0.924780945649,-85.0798469997,-0.924780945649,-1.01362039283,-85.0798469997,15.3260869565
fast_failure,candle_quality,strong_body,129,0,0,-0.959458652404,-123.77016616,-0.959458652404,-1.02008485978,-123.77016616,13.0620155039
fast_failure,candle_quality,weak_body,6,0,0,-0.887783513627,-5.32670108176,-0.887783513627,-1.05379488699,-5.32670108176,15.8333333333
fast_failure,candle_quality,long_wick,65,0,0,-0.989759991989,-64.3343994793,-0.989759991989,-1.02289548012,-64.3343994793,15
fast_failure,candle_quality,neutral,39,0,0,-0.921931195038,-35.9553166065,-0.921931195038,-1.01979312548,-35.9553166065,14.7435897436
fast_failure,instrument,USDRUBF,128,0,0,-0.903138758877,-115.601761136,-0.903138758877,-1.01362039283,-115.601761136,14.453125
fast_failure,instrument,CNYRUBF,111,0,0,-1.02508848821,-113.784822191,-1.02508848821,-1.09214647181,-113.784822191,13.3333333333
fast_failure,session,Session_A,23,0,0,-0.921356312098,-21.1911951783,-0.921356312098,-1.02313878701,-21.1911951783,13.2608695652
fast_failure,session,Session_B,156,0,0,-0.951785710675,-148.478570865,-0.951785710675,-1.0206085831,-148.478570865,14.1346153846
fast_failure,session,Session_C,60,0,0,-0.995280288068,-59.7168172841,-0.995280288068,-1.01986594875,-59.7168172841,13.6666666667
fast_failure,instrument_session,USDRUBF|Session_A,13,0,0,-0.934773637484,-12.1520572873,-0.934773637484,-1.02044212394,-12.1520572873,14.6153846154
fast_failure,instrument_session,USDRUBF|Session_B,83,0,0,-0.887710191078,-73.6799458595,-0.887710191078,-1.01187681334,-73.6799458595,14.6385542169
fast_failure,instrument_session,USDRUBF|Session_C,32,0,0,-0.930304937169,-29.7697579894,-0.930304937169,-1.01559608114,-29.7697579894,13.90625
fast_failure,instrument_session,CNYRUBF|Session_A,10,0,0,-0.903913789096,-9.03913789096,-0.903913789096,-1.03668185264,-9.03913789096,11.5
fast_failure,instrument_session,CNYRUBF|Session_B,73,0,0,-1.02463869871,-74.7986250058,-1.02463869871,-1.09230831281,-74.7986250058,13.5616438356
fast_failure,instrument_session,CNYRUBF|Session_C,28,0,0,-1.06953783195,-29.9470592946,-1.06953783195,-1.09475370309,-29.9470592946,13.3928571429
fast_failure,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
long_winner,ALL,ALL,154,1,DATA_UNAVAILABLE,2.54747463475,392.311093751,2.54747463475,1.80731245755,0,248.116883117
long_winner,ema_position,above_all,90,1,DATA_UNAVAILABLE,2.4894113444,224.047020996,2.4894113444,1.80731245755,0,266.444444444
long_winner,ema_position,below_all,64,1,DATA_UNAVAILABLE,2.62912613679,168.264072755,2.62912613679,1.75830989154,0,222.34375
long_winner,ema_position,mixed,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
long_winner,volatility,low_volatility,34,1,DATA_UNAVAILABLE,2.66480122947,90.6032418021,2.66480122947,1.8678254646,0,377.205882353
long_winner,volatility,normal_volatility,44,1,DATA_UNAVAILABLE,2.59239509436,114.065384152,2.59239509436,1.79965105122,0,192.613636364
long_winner,volatility,high_volatility,76,1,DATA_UNAVAILABLE,2.46897983944,187.642467797,2.46897983944,1.68168865484,0,222.5
long_winner,candle_quality,strong_body,100,1,DATA_UNAVAILABLE,2.2365238979,223.65238979,2.2365238979,1.7776230451,0,228.3
long_winner,candle_quality,weak_body,6,1,DATA_UNAVAILABLE,4.34817256381,26.0890353829,4.34817256381,3.26677453481,0,338.333333333
long_winner,candle_quality,long_wick,22,1,DATA_UNAVAILABLE,3.485431749,76.679498478,3.485431749,2.74393515975,0,362.045454545
long_winner,candle_quality,neutral,26,1,DATA_UNAVAILABLE,2.53423731154,65.8901700999,2.53423731154,1.63649974083,0,207.115384615
long_winner,instrument,USDRUBF,92,1,DATA_UNAVAILABLE,2.78063397277,255.818325495,2.78063397277,1.96885278974,0,256.086956522
long_winner,instrument,CNYRUBF,62,1,DATA_UNAVAILABLE,2.2014962622,136.492768256,2.2014962622,1.45436446016,0,236.290322581
long_winner,session,Session_A,5,1,DATA_UNAVAILABLE,5.17796526502,25.8898263251,5.17796526502,5.74060244249,0,214
long_winner,session,Session_B,92,1,DATA_UNAVAILABLE,2.94219189319,270.681654174,2.94219189319,2.07907233825,0,214.836956522
long_winner,session,Session_C,57,1,DATA_UNAVAILABLE,1.67964233776,95.7396132523,1.67964233776,1.19038752796,0,304.824561404
long_winner,instrument_session,USDRUBF|Session_A,2,1,DATA_UNAVAILABLE,4.87525671298,9.75051342595,4.87525671298,4.87525671298,0,232.5
long_winner,instrument_session,USDRUBF|Session_B,59,1,DATA_UNAVAILABLE,3.16602658425,186.795568471,3.16602658425,2.10361797831,0,206.440677966
long_winner,instrument_session,USDRUBF|Session_C,31,1,DATA_UNAVAILABLE,1.91200785801,59.2722435983,1.91200785801,1.52473527347,0,352.096774194
long_winner,instrument_session,CNYRUBF|Session_A,3,1,DATA_UNAVAILABLE,5.37977096638,16.1393128991,5.37977096638,5.83629739124,0,201.666666667
long_winner,instrument_session,CNYRUBF|Session_B,33,1,DATA_UNAVAILABLE,2.54200259707,83.8860857032,2.54200259707,1.80741097826,0,229.848484848
long_winner,instrument_session,CNYRUBF|Session_C,26,1,DATA_UNAVAILABLE,1.40259114054,36.467369654,1.40259114054,0.882750471225,0,248.461538462
long_winner,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
short_winner,ALL,ALL,32,1,DATA_UNAVAILABLE,0.893061327736,28.5779624876,0.893061327736,0.681307286606,0,37.5
short_winner,ema_position,above_all,20,1,DATA_UNAVAILABLE,0.984879723486,19.6975944697,0.984879723486,0.681307286606,0,38
short_winner,ema_position,below_all,11,1,DATA_UNAVAILABLE,0.801993439517,8.82192783469,0.801993439517,0.793924080626,0,39.5454545455
short_winner,ema_position,mixed,1,1,DATA_UNAVAILABLE,0.0584401831569,0.0584401831569,0.0584401831569,0.0584401831569,0,5
short_winner,volatility,low_volatility,13,1,DATA_UNAVAILABLE,0.742904496247,9.65775845121,0.742904496247,0.793924080626,0,33.8461538462
