configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,2023_trades,2023_expectancy_C1,2024_trades,2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,expectancy_C1_without_top3,net_R_without_top5,expectancy_C1_without_top5,PF_C1_without_best_trade,PF_C1_without_top3,PF_C1_without_top5
T3-M30-0012-82c674b1e20f,203,2.4560923832,0.663543404698,134.699311154,-17.24813591,7.8094996385,0.458128078818,102,0.766009869685,101,0.560062420257,107,0.711166694916,96,0.610463279144,126,0.609969798288,77,0.751209306097,0.0963020478993,0.208800796358,0.289659659425,0.435592453265,112.818840193,0.558509109868,87.2583702715,0.436291851357,68.8866944471,0.347912598218,2.21956565687,1.94325833766,1.74466149997
T3-M30-0013-4dff97e36238,226,2.14678622451,0.383296721305,86.625059015,-11.8523905153,7.30865717793,0.455752212389,113,0.486435061021,113,0.28015838159,121,0.401640719628,105,0.362157447048,145,0.315312605738,81,0.504996681272,0.0487791044728,0.123992059811,0.190476943602,0.325037492272,78.7149275984,0.349844122659,66.5182223208,0.29828799247,55.7368811361,0.252203082064,2.04206791498,1.88060177856,1.7378729459
T3-M30-0014-a750b6d58916,224,2.17914407816,0.326770311744,73.1965498308,-7.84194380367,9.33398040885,0.464285714286,113,0.39319889782,111,0.259144814208,121,0.3198723699,103,0.334873719154,143,0.278880509399,81,0.411316506008,0.048729591515,0.123866202362,0.190283601043,0.324707564779,66.6047736502,0.298676115023,56.4408525856,0.255388473238,47.4564015983,0.216695897709,2.07295527738,1.9092217768,1.76448869578
T3-M30-0015-924083b3822d,199,2.19011464636,0.47621294041,94.7663751416,-15.5532420846,6.09303029078,0.452261306533,100,0.63700331485,99,0.313798420773,107,0.550969039982,92,0.389268346342,125,0.457594421191,74,0.507663141793,0.0566971714786,0.144119068053,0.212396750134,0.358770141036,84.8787108708,0.428680357933,69.6328292738,0.355269537111,57.7255898119,0.297554586659,2.0659413407,1.8744773646,1.72494141305
T3-M30-0016-98c3349eff3f,185,2.15151272236,0.478169246743,88.4613106475,-17.1480497263,5.15868055314,0.437837837838,95,0.589037911419,90,0.361141211808,102,0.488552166474,83,0.465409514061,118,0.418928881752,67,0.582503023892,0.0598225834613,0.152063581871,0.224105047579,0.378547221066,78.5736463767,0.42703068683,63.3277647797,0.347954751537,51.4205253178,0.285669585099,2.02280367296,1.82434599136,1.66934786135
T3-M30-0017-737e6c59a803,175,2.17421492528,0.488341203099,85.4597105422,-16.720743802,5.11099934034,0.44,91,0.568212267659,84,0.401814216491,94,0.48943166959,81,0.487075723467,109,0.430543377159,66,0.583795188362,0.0488120355002,0.145158603423,0.220406574378,0.381722839538,77.7356936957,0.44675686032,62.4898120987,0.363312861039,50.5825726369,0.297544544923,2.06808706916,1.85860892318,1.69500366163
T3-M30-0018-ab666f9016c3,248,1.97302731898,0.424477708983,105.270471828,-6.90336474132,15.2491539666,0.423387096774,128,0.504811124034,120,0.338788732929,125,0.513612832259,123,0.333893234109,162,0.351005582818,86,0.562878690829,0.0463211227568,0.117744093202,0.180878800099,0.303395553961,95.382807557,0.386165212781,80.13692596,0.327089493714,66.6602494791,0.274322014317,1.88163447833,1.74071500644,1.61614850496
T3-M30-0019-7507864f8bc2,250,1.78984999445,0.348841688583,87.2104221457,-8.80672197167,9.90271095491,0.412,127,0.42063138472,123,0.274717368181,133,0.387805565181,117,0.304549418604,164,0.392170943451,86,0.266213807207,0.0390843423142,0.116230115952,0.184423524551,0.315508985756,79.4864052992,0.319222511242,64.2405237022,0.260083091912,50.7638472213,0.207199376413,1.71989488458,1.58181552206,1.45975955006
T3-M30-0020-816e9e819790,190,2.39563875011,0.530481219958,100.791431792,-8.94922459666,11.2625882503,0.478947368421,99,0.607991880223,91,0.446156435714,105,0.540441630465,85,0.51817718345,122,0.463334954122,68,0.650949520429,0.0571507306544,0.138696696352,0.205142074671,0.352686405723,90.9037675212,0.480972314927,76.7954766522,0.41067099814,65.2997427281,0.352971582314,2.25872624516,2.06337156982,1.90419244675
T3-M30-0021-0912e76c7e11,158,1.89295764583,0.3717663042,58.7390760636,-8.52365583691,6.89130077369,0.443037974684,80,0.296661334096,78,0.448797042768,87,0.363520862871,71,0.381869873153,101,0.336158846988,57,0.43486021961,0.0618030146659,0.170072221433,0.255949918392,0.431992486794,51.0433994849,0.325117194171,37.5617788357,0.242334057004,26.8683363767,0.175610041678,1.77596715668,1.57101813392,1.40845529086
