trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,net_R,year
T2-M15-CNY-000007,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-03 12:15:00+03:00,2023-03-03 12:45:00+03:00,2023-03-03 12:45:00+03:00,10.91,10.8882095641,0.0217904358652,21.7904358652,2023-03-03 17:30:00+03:00,10.9,EMA50_TREND_LOSS,19,-0.458916933185,0.091783386637,-0.550700319822,0.458916933185,0.91783386637,2023-03-03 12:00:00+03:00,2,44261.698543,CNYRUBF,T2,M15,-0.550700319822,2023
T2-M15-CNY-000008,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-03 18:30:00+03:00,2023-03-03 18:45:00+03:00,2023-03-03 18:45:00+03:00,10.93,10.8985363288,0.0314636711594,31.4636711594,2023-03-06 10:30:00+03:00,10.9336805445,ATR_TRAILING_STOP,26,0.116977593006,0.0635653732162,0.0534122197902,0.635653732162,1.27130746432,2023-03-03 17:45:00+03:00,1,30485.0090346,CNYRUBF,T2,M15,0.0534122197902,2023
T2-M15-Si-000017,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-09 10:15:00+03:00,2023-03-09 10:30:00+03:00,2023-03-09 10:30:00+03:00,75.98,75.8130167374,0.166983262633,166.983262633,2023-03-09 11:30:00+03:00,75.8130167374,INITIAL_STOP,4,-1,0.011977248309,-1.01197724831,0.59886241545,0.23954496618,2023-03-08 00:00:00+03:00,1,6720.07656548,USDRUBF,T2,M15,-1.01197724831,2023
T2-M15-CNY-000009,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-03-09 17:45:00+03:00,2023-03-09 18:30:00+03:00,2023-03-09 18:30:00+03:00,10.85,10.8713278318,0.0213278317547,21.3278317547,2023-03-09 18:45:00+03:00,10.87,EMA50_TREND_LOSS,1,-0.937741830958,0.0937741830958,-1.03151601405,0,0,2023-03-09 17:30:00+03:00,3,44996.7265658,CNYRUBF,T2,M15,-1.03151601405,2023
T2-M15-Si-000018,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-10 10:45:00+03:00,2023-03-10 11:30:00+03:00,2023-03-10 11:30:00+03:00,76,75.8535864984,0.14641350163,146.41350163,2023-03-10 20:30:00+03:00,76,EMA50_TREND_LOSS,36,0,0.0136599424079,-0.0136599424079,0.819596544471,1.09279539263,2023-03-10 10:30:00+03:00,3,7586.62618575,USDRUBF,T2,M15,-0.0136599424079,2023
T2-M15-CNY-000010,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-14 13:45:00+03:00,2023-03-14 14:45:00+03:00,2023-03-14 14:45:00+03:00,10.94,10.9087149084,0.0312850915533,31.2850915533,2023-03-14 17:45:00+03:00,10.9143569532,ATR_TRAILING_STOP,12,-0.819657081289,0.0639282131105,-0.8835852944,0.639282131105,0.319641065552,2023-03-14 13:30:00+03:00,2,30358.9756879,CNYRUBF,T2,M15,-0.8835852944,2023
T2-M15-CNY-000011,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-14 19:45:00+03:00,2023-03-14 20:00:00+03:00,2023-03-14 20:00:00+03:00,10.94,10.9185815917,0.0214184082786,21.4184082786,2023-03-14 20:15:00+03:00,10.93,EMA50_TREND_LOSS,1,-0.46688810251,0.093377620502,-0.560265723012,0,0,2023-03-14 17:15:00+03:00,1,43952.4345483,CNYRUBF,T2,M15,-0.560265723012,2023
T2-M15-Si-000019,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-15 17:30:00+03:00,2023-03-15 17:45:00+03:00,2023-03-15 17:45:00+03:00,76.1,75.8597029618,0.24029703822,240.29703822,2023-03-16 11:00:00+03:00,76.212374704,ATR_TRAILING_STOP,32,0.467649143039,0.00832303225546,0.459326110783,0.291306128941,1.62299128981,2023-03-15 16:45:00+03:00,1,4621.91619637,USDRUBF,T2,M15,0.459326110783,2023
T2-M15-CNY-000012,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-16 10:15:00+03:00,2023-03-16 10:30:00+03:00,2023-03-16 10:30:00+03:00,11.05,11.018481744,0.031518255982,31.518255982,2023-03-16 11:15:00+03:00,11.018481744,INITIAL_STOP,3,-1,0.0634552876637,-1.06345528766,0.634552876637,0,2023-03-16 10:00:00+03:00,1,29700.7834565,CNYRUBF,T2,M15,-1.06345528766,2023
T2-M15-CNY-000013,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-16 11:30:00+03:00,2023-03-16 12:15:00+03:00,2023-03-16 12:15:00+03:00,11.03,11.0085310196,0.0214689803623,21.4689803623,2023-03-16 12:45:00+03:00,11.04,ATR_TRAILING_STOP,2,0.465788306256,0.0931576612511,0.372630645004,0.465788306256,7.91840120634,2023-03-16 10:30:00+03:00,3,43139.5294789,CNYRUBF,T2,M15,0.372630645004,2023
T2-M15-CNY-000014,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-20 09:45:00+03:00,2023-03-20 10:15:00+03:00,2023-03-20 10:15:00+03:00,11.21,11.1676878272,0.0423121728426,42.3121728426,2023-03-20 12:45:00+03:00,11.2388154896,ATR_TRAILING_STOP,10,0.681021268954,0.0472677214531,0.633753547501,0,2.59972467992,2023-03-18 00:00:00+03:00,2,21970.3411838,CNYRUBF,T2,M15,0.633753547501,2023
T2-M15-CNY-000015,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-23 10:15:00+03:00,2023-03-23 10:45:00+03:00,2023-03-23 10:45:00+03:00,11.23,11.1983671187,0.0316328812781,31.6328812781,2023-03-23 11:15:00+03:00,11.2,EMA50_TREND_LOSS,2,-0.948380254593,0.0632253503062,-1.0116056049,0.316126751531,0,2023-03-23 10:00:00+03:00,2,29573.7944299,CNYRUBF,T2,M15,-1.0116056049,2023
T2-M15-CNY-000016,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-03-24 10:30:00+03:00,2023-03-24 10:45:00+03:00,2023-03-24 10:45:00+03:00,11.1,11.1521064883,0.0521064883298,52.1064883298,2023-03-24 12:30:00+03:00,11.14,EMA50_TREND_LOSS,7,-0.76765871741,0.0383829358705,-0.80604165328,0.76765871741,0.191914679352,2023-03-24 10:00:00+03:00,1,17772.0806681,CNYRUBF,T2,M15,-0.80604165328,2023
T2-M15-CNY-000017,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-03-24 13:30:00+03:00,2023-03-24 14:15:00+03:00,2023-03-24 14:15:00+03:00,11.11,11.1520525,0.042052500013,42.052500013,2023-03-24 16:00:00+03:00,11.15,EMA50_TREND_LOSS,6,-0.951191962135,0.0475595981067,-0.998751560242,0.713393971601,0,2023-03-24 11:00:00+03:00,3,21843.5631595,CNYRUBF,T2,M15,-0.998751560242,2023
T2-M15-Si-000020,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-29 11:30:00+03:00,2023-03-29 11:45:00+03:00,2023-03-29 11:45:00+03:00,77.03,76.8702517058,0.159748294206,159.748294206,2023-03-30 09:15:00+03:00,77.1740274227,ATR_TRAILING_STOP,49,0.901589737927,0.0125196954994,0.889070042428,0.438189342478,1.56496193742,2023-03-29 11:00:00+03:00,1,6984.32621619,USDRUBF,T2,M15,0.889070042428,2023
T2-M15-Si-000021,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-30 19:30:00+03:00,2023-03-30 20:00:00+03:00,2023-03-30 20:00:00+03:00,77.24,77.1723515901,0.0676484098754,67.6484098754,2023-03-30 22:30:00+03:00,77.19,EMA50_TREND_LOSS,9,-0.739115673111,0.0295646269245,-0.768680300036,0.591292538489,0.295646269245,2023-03-30 18:00:00+03:00,2,16639.7681749,USDRUBF,T2,M15,-0.768680300036,2023
T2-M15-Si-000022,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-31 10:45:00+03:00,2023-03-31 11:00:00+03:00,2023-03-31 11:00:00+03:00,77.25,77.1231448228,0.126855177173,126.855177173,2023-03-31 11:15:00+03:00,77.2,EMA50_TREND_LOSS,1,-0.394150251605,0.0157660100642,-0.409916261669,0,0,2023-03-31 10:15:00+03:00,1,8805.32590925,USDRUBF,T2,M15,-0.409916261669,2023
T2-M15-Si-000023,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-31 17:30:00+03:00,2023-03-31 18:15:00+03:00,2023-03-31 18:15:00+03:00,77.63,77.363947868,0.266052132006,266.052132006,2023-04-01 00:00:00+03:00,77.52,EMA50_TREND_LOSS,22,-0.413452804045,0.00751732370992,-0.420970127755,0.638972515343,0.0375866185496,2023-03-31 16:45:00+03:00,3,4181.21967458,USDRUBF,T2,M15,-0.420970127755,2023
T2-M15-CNY-000018,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-03-31 17:45:00+03:00,2023-03-31 18:15:00+03:00,2023-03-31 18:15:00+03:00,11.3,11.267623058,0.0323769419816,32.3769419816,2023-04-03 09:15:00+03:00,11.267623058,INITIAL_STOP,21,-1,0.0617723564238,-1.06177235642,0.617723564238,0,2023-03-31 17:30:00+03:00,2,28087.956671,CNYRUBF,T2,M15,-1.06177235642,2023
T2-M15-Si-000024,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-04-06 16:00:00+03:00,2023-04-06 16:30:00+03:00,2023-04-06 16:30:00+03:00,80.87,80.5238628387,0.346137161344,346.137161344,2023-04-07 09:30:00+03:00,82.16,ATR_TRAILING_STOP,32,3.72684630275,0.00577805628334,3.72106824647,0.26001253275,5.17136037359,2023-04-06 15:45:00+03:00,2,3200.2904238,USDRUBF,T2,M15,3.72106824647,2023
T2-M15-CNY-000019,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-04-06 16:00:00+03:00,2023-04-06 16:30:00+03:00,2023-04-06 16:30:00+03:00,11.76,11.6870261924,0.0729738075823,72.9738075823,2023-04-07 09:45:00+03:00,11.9281240589,ATR_TRAILING_STOP,33,2.30389593799,0.0274070939459,2.27648884404,0.411106409189,3.42588674324,2023-04-06 15:45:00+03:00,2,12329.7165485,CNYRUBF,T2,M15,2.27648884404,2023
T2-M15-Si-000025,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-04-11 13:30:00+03:00,2023-04-11 14:15:00+03:00,2023-04-11 14:15:00+03:00,82.25,81.9950172441,0.254982755914,254.982755914,2023-04-11 17:15:00+03:00,81.9950172441,INITIAL_STOP,12,-1,0.00784366767405,-1.00784366767,0.902021782516,0.117655015111,2023-04-11 13:15:00+03:00,3,4506.02700293,USDRUBF,T2,M15,-1.00784366767,2023
T2-M15-Si-000026,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-04-13 16:45:00+03:00,2023-04-13 17:15:00+03:00,2023-04-13 17:15:00+03:00,81.36,81.6207705319,0.260770531873,260.770531873,2023-04-13 18:00:00+03:00,81.5778933879,ATR_TRAILING_STOP,3,-0.835575194491,0.00766957825194,-0.843244772743,0.498522586376,0.536870477636,2023-04-13 16:15:00+03:00,2,4361.61042771,USDRUBF,T2,M15,-0.843244772743,2023
T2-M15-CNY-000020,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-04-19 14:00:00+03:00,2023-04-19 14:30:00+03:00,2023-04-19 14:30:00+03:00,11.82,11.8415760603,0.0215760603107,21.5760603107,2023-04-19 15:15:00+03:00,11.8415760603,INITIAL_STOP,3,-1,0.0926953285816,-1.09269532858,0.926953285816,0,2023-04-19 13:45:00+03:00,2,42650.464231,CNYRUBF,T2,M15,-1.09269532858,2023
T2-M15-Si-000027,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-04-24 13:30:00+03:00,2023-04-24 13:45:00+03:00,2023-04-24 13:45:00+03:00,81.18,81.3004644317,0.120464431684,120.464431684,2023-04-24 18:45:00+03:00,81.28,EMA50_TREND_LOSS,20,-0.830120547636,0.0166024109527,-0.846722958589,0.581084383345,1.07915671193,2023-04-24 13:15:00+03:00,1,9362.00472086,USDRUBF,T2,M15,-0.846722958589,2023
T2-M15-CNY-000021,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-04-25 17:45:00+03:00,2023-04-25 18:30:00+03:00,2023-04-25 18:30:00+03:00,11.75,11.7714196239,0.0214196239255,21.4196239255,2023-04-25 19:15:00+03:00,11.7714196239,INITIAL_STOP,3,-1,0.0933723209594,-1.09337232096,0.466861604797,0,2023-04-25 16:15:00+03:00,3,42492.5149258,CNYRUBF,T2,M15,-1.09337232096,2023
T2-M15-Si-000028,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-05-03 20:15:00+03:00,2023-05-03 21:00:00+03:00,2023-05-03 21:00:00+03:00,79.16,79.3311190438,0.171119043789,171.119043789,2023-05-04 00:00:00+03:00,79.1915770294,ATR_TRAILING_STOP,12,-0.184532526023,0.0116877698456,-0.196220295869,0.292194246139,1.22721583379,2023-05-03 20:00:00+03:00,3,6534.86197996,USDRUBF,T2,M15,-0.196220295869,2023
T2-M15-Si-000029,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-05-05 13:30:00+03:00,2023-05-05 14:15:00+03:00,2023-05-05 14:15:00+03:00,76.96,77.1991162134,0.239116213427,239.116213427,2023-05-05 14:45:00+03:00,77.1991162134,INITIAL_STOP,2,-1,0.00836413378806,-1.00836413379,0.585489365164,0,2023-05-05 13:15:00+03:00,3,4667.37535184,USDRUBF,T2,M15,-1.00836413379,2023
