trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,fold,fold_start_state
USDRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-02-29 16:00:00+03:00,2024-02-29 17:00:00+03:00,2024-02-29 17:00:00+03:00,90.95,91.2043141365,0.25431413654,254.31413654,2024-02-29 19:00:00+03:00,91.1478707768,ATR_TRAILING_STOP,4,-0.778056538687,0.00786428952481,-0.785920828212,0.589821714361,1.10100053347,2024-02-29 15:30:00+03:00,2,3941.81755959,WF01,FLAT
IMOEXF-000004,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-02-28 15:00:00+03:00,2024-02-28 15:30:00+03:00,2024-02-28 15:30:00+03:00,3232.5,3225.51887371,6.98112628629,6981.12628629,2024-03-01 11:30:00+03:00,3257.32200914,ATR_TRAILING_STOP,53,3.55558804166,0.000286486724059,3.55530155494,0.931081853191,5.30000439509,2024-02-28 14:30:00+03:00,1,146.123142587,WF01,FLAT
GLDRUBF-000011,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-04 09:30:00+03:00,2024-03-04 10:00:00+03:00,2024-03-04 10:00:00+03:00,6058.8,6039.02919093,19.7708090739,19770.8090739,2024-03-04 11:30:00+03:00,6039.02919093,INITIAL_STOP,3,-1,0.000101159238983,-1.00010115924,0.950896846444,0.146680896526,2024-03-04 09:00:00+03:00,1,49.043761858,WF01,FLAT
GLDRUBF-000012,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-04 12:00:00+03:00,2024-03-04 12:30:00+03:00,2024-03-04 12:30:00+03:00,6051.8,6035.98682442,15.8131755806,15813.1755806,2024-03-05 09:30:00+03:00,6113.46800392,ATR_TRAILING_STOP,25,3.89978620073,0.000126476809785,3.89965972392,0.215010576634,5.5776273115,2024-03-04 10:00:00+03:00,1,60.7049177232,WF01,FLAT
IMOEXF-000005,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-01 12:00:00+03:00,2024-03-01 13:30:00+03:00,2024-03-01 13:30:00+03:00,3259,3253.05898684,5.94101315752,5941.01315752,2024-03-05 10:30:00+03:00,3297.13448742,ATR_TRAILING_STOP,55,6.41885254455,0.000336642917121,6.41851590164,0,8.0794300109,2024-03-01 11:00:00+03:00,3,177.810057155,WF01,FLAT
GLDRUBF-000013,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-05 19:30:00+03:00,2024-03-05 20:30:00+03:00,2024-03-05 20:30:00+03:00,6154.2,6123.07594907,31.1240509313,31124.0509313,2024-03-06 11:30:00+03:00,6142.01705693,ATR_TRAILING_STOP,13,-0.391431793203,6.42589875083e-05,-0.391496052191,0.298804291914,0.774320799475,2024-03-05 19:00:00+03:00,2,32.0450516454,WF01,FLAT
USDRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-03-06 18:30:00+03:00,2024-03-06 19:00:00+03:00,2024-03-06 19:00:00+03:00,90.66,90.8653817189,0.205381718886,205.381718886,2024-03-06 21:30:00+03:00,90.8653817189,INITIAL_STOP,5,-1,0.00973796504797,-1.00973796505,0.925106679557,0,2024-03-06 15:30:00+03:00,1,4842.59939533,WF01,FLAT
IMOEXF-000006,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-11 12:30:00+03:00,2024-03-11 13:00:00+03:00,2024-03-11 13:00:00+03:00,3330,3325.03196397,4.96803602808,4968.03602808,2024-03-11 17:30:00+03:00,3325.03196397,INITIAL_STOP,9,-1,0.000402573570058,-1.00040257357,0.90579053263,0.90579053263,2024-03-11 12:00:00+03:00,1,226.281629284,WF01,FLAT
IMOEXF-000007,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-13 12:00:00+03:00,2024-03-13 12:30:00+03:00,2024-03-13 12:30:00+03:00,3339,3335.59915842,3.40084157804,3400.84157804,2024-03-13 13:00:00+03:00,3335.59915842,INITIAL_STOP,1,-1,0.000588089728411,-1.00058808973,0,0,2024-03-13 10:30:00+03:00,1,327.251059109,WF01,FLAT
GLDRUBF-000014,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-14 20:30:00+03:00,2024-03-14 22:00:00+03:00,2024-03-14 22:00:00+03:00,6373,6352.52797398,20.472026018,20472.026018,2024-03-15 10:00:00+03:00,6383,ATR_TRAILING_STOP,7,0.488471438597,9.76942877195e-05,0.48837374431,0.146541431579,2.93571334597,2024-03-14 15:30:00+03:00,3,48.5280327084,WF01,FLAT
IMOEXF-000008,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-03-20 14:30:00+03:00,2024-03-20 15:00:00+03:00,2024-03-20 15:00:00+03:00,3278.5,3287.10810282,8.60810281809,8608.10281809,2024-03-20 22:00:00+03:00,3279.48404818,ATR_TRAILING_STOP,14,-0.114316499306,0.000232339232263,-0.114548838538,0.174254424198,1.56828981778,2024-03-20 10:30:00+03:00,1,127.994889984,WF01,FLAT
GLDRUBF-000015,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-20 17:00:00+03:00,2024-03-20 17:30:00+03:00,2024-03-20 17:30:00+03:00,6426.9,6406.81988771,20.0801122872,20080.1122872,2024-03-20 23:30:00+03:00,6484.60183555,ATR_TRAILING_STOP,12,2.87358131867,9.96010366574e-05,2.87348171763,0.677287049271,5.48303706799,2024-03-20 12:30:00+03:00,1,49.7168027071,WF01,FLAT
GLDRUBF-000016,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-21 19:30:00+03:00,2024-03-21 21:00:00+03:00,2024-03-21 21:00:00+03:00,6505.5,6447.57519626,57.9248037393,57924.8037393,2024-03-21 21:30:00+03:00,6447.57519626,INITIAL_STOP,1,-1,3.45275231143e-05,-1.00003452752,0,0,2024-03-21 15:30:00+03:00,3,17.7299779718,WF01,FLAT
GLDRUBF-000017,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2024-03-21 22:00:00+03:00,2024-03-21 23:30:00+03:00,2024-03-21 23:30:00+03:00,6500.6,6490.1717244,10.4282755972,10428.2755972,2024-03-22 09:30:00+03:00,6490.1717244,INITIAL_STOP,3,-1,0.000191786262394,-1.00019178626,0.795912988935,0.163018323035,2024-03-21 21:00:00+03:00,3,97.4979108769,WF01,FLAT
CNYRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-03-25 10:00:00+03:00,2024-03-25 11:00:00+03:00,2024-03-25 11:00:00+03:00,12.807,12.7684704019,0.0385295981142,38.5295981142,2024-03-25 15:00:00+03:00,12.7684704019,INITIAL_STOP,8,-1,0.0519081458901,-1.05190814589,0.752668115407,0.545035531846,2024-03-25 09:00:00+03:00,2,25758.0341255,WF01,FLAT
USDRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-03-25 09:30:00+03:00,2024-03-25 11:00:00+03:00,2024-03-25 11:00:00+03:00,92.97,92.6608272761,0.309172723904,309.172723904,2024-03-25 15:00:00+03:00,92.6608272761,INITIAL_STOP,8,-1,0.00646887595629,-1.00646887596,0.743920734973,0.45282131694,2024-03-23 00:00:00+03:00,3,3184.42943281,WF01,FLAT
IMOEXF-000009,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-03-25 10:00:00+03:00,2024-03-25 11:30:00+03:00,2024-03-25 11:30:00+03:00,3249,3268.56627198,19.5662719785,19566.2719785,2024-03-25 16:00:00+03:00,3256.63646178,ATR_TRAILING_STOP,9,-0.390287009379,0.000102216712627,-0.390389226092,0.408866850506,1.07327548258,2024-03-23 00:00:00+03:00,3,56.2463346671,WF01,FLAT
USDRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-03-29 12:00:00+03:00,2024-03-29 12:30:00+03:00,2024-03-29 12:30:00+03:00,92.66,92.4087508533,0.251249146745,251.249146745,2024-03-29 14:00:00+03:00,92.4087508533,INITIAL_STOP,3,-1,0.00796022603823,-1.00796022604,0.398011301912,0.159204520765,2024-03-29 09:30:00+03:00,1,3879.13614292,WF01,FLAT
CNYRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-03-29 12:30:00+03:00,2024-03-29 13:30:00+03:00,2024-03-29 13:30:00+03:00,12.701,12.7178306024,0.0168306024426,16.8306024426,2024-03-30 00:00:00+03:00,12.687,ATR_TRAILING_STOP,21,0.831818115111,0.118831159302,0.71298695581,0.118831159302,3.32727246044,2024-03-29 12:00:00+03:00,2,58346.5196033,WF01,FLAT
