analysis,hypothesis_id,scope,label,time_dimension,time_value,descriptive_class,excluded_values,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
time_slice,M5_TIME_MONTH_02-February,T3,02-February,month,02-February,negative,DATA_UNAVAILABLE,82,0.545750187707,-0.261042302934,-21.4054688406,-22.8549383302,-0.936579593054,0.268292682927
time_slice,M5_TIME_MONTH_03-March,T3,03-March,month,03-March,negative,DATA_UNAVAILABLE,94,0.864553073367,-0.0720539030718,-6.77306688875,-15.2919912692,-0.442915953163,0.31914893617
time_slice,M5_TIME_MONTH_04-April,T3,04-April,month,04-April,positive,DATA_UNAVAILABLE,95,1.36709344428,0.209736529035,19.9249702583,-15.779003414,1.26275213558,0.315789473684
time_slice,M5_TIME_MONTH_05-May,T3,05-May,month,05-May,positive,DATA_UNAVAILABLE,99,1.4150171497,0.209703462316,20.7606427692,-10.2531986464,2.0247966986,0.40404040404
time_slice,M5_TIME_MONTH_06-June,T3,06-June,month,06-June,positive,DATA_UNAVAILABLE,90,1.41553452082,0.187430404416,16.8687363974,-18.4296402474,0.915304703235,0.4
time_slice,M5_TIME_MONTH_07-July,T3,07-July,month,07-July,negative,DATA_UNAVAILABLE,88,0.800315172193,-0.0993672025917,-8.74431382807,-18.3612738893,-0.476236773156,0.352272727273
time_slice,M5_TIME_MONTH_08-August,T3,08-August,month,08-August,positive,DATA_UNAVAILABLE,94,1.03339082306,0.0155137884734,1.4582961165,-13.7762684606,0.105855669165,0.393617021277
time_slice,M5_TIME_MONTH_09-September,T3,09-September,month,09-September,negative,DATA_UNAVAILABLE,95,0.800003085642,-0.108427894573,-10.3006499844,-16.7534709425,-0.614836771425,0.326315789474
time_slice,M5_TIME_MONTH_10-October,T3,10-October,month,10-October,positive,DATA_UNAVAILABLE,99,1.43255363258,0.172325306755,17.0602053687,-8.782116514,1.94260749576,0.454545454545
time_slice,M5_TIME_MONTH_11-November,T3,11-November,month,11-November,positive,DATA_UNAVAILABLE,89,1.93311988704,0.392585524051,34.9401116406,-7.78271621495,4.48944952836,0.460674157303
time_slice,M5_TIME_MONTH_12-December,T3,12-December,month,12-December,positive,DATA_UNAVAILABLE,134,1.30516501245,0.146346289907,19.6104028476,-15.9377688448,1.23043589341,0.417910447761
time_slice,M5_TIME_QUARTER_2023-Q1,T3,2023-Q1,quarter,2023-Q1,negative,DATA_UNAVAILABLE,101,0.817394600118,-0.0913545266784,-9.22680719452,-11.1317310196,-0.828874429166,0.336633663366
time_slice,M5_TIME_QUARTER_2023-Q2,T3,2023-Q2,quarter,2023-Q2,positive,DATA_UNAVAILABLE,124,1.63977384891,0.331932842685,41.1596724929,-20.8985142027,1.9695023337,0.354838709677
time_slice,M5_TIME_QUARTER_2023-Q3,T3,2023-Q3,quarter,2023-Q3,positive,DATA_UNAVAILABLE,130,1.17474603497,0.0806259482945,10.4813732783,-13.2584317145,0.790543972619,0.384615384615
time_slice,M5_TIME_QUARTER_2023-Q4,T3,2023-Q4,quarter,2023-Q4,positive,DATA_UNAVAILABLE,166,1.50152410124,0.22591953609,37.5026429909,-15.9377688448,2.35306731802,0.433734939759
time_slice,M5_TIME_QUARTER_2024-Q1,T3,2024-Q1,quarter,2024-Q1,negative,DATA_UNAVAILABLE,147,0.81527729012,-0.100825469881,-14.8213440725,-31.6481115219,-0.468316855565,0.292517006803
time_slice,M5_TIME_QUARTER_2024-Q2,T3,2024-Q2,quarter,2024-Q2,positive,DATA_UNAVAILABLE,160,1.20350440471,0.102466730825,16.394676932,-15.3687964189,1.06675086879,0.3875
time_slice,M5_TIME_QUARTER_2024-Q3,T3,2024-Q3,quarter,2024-Q3,negative,DATA_UNAVAILABLE,147,0.644652451016,-0.190939054247,-28.0680409743,-29.1385907678,-0.963260069711,0.333333333333
time_slice,M5_TIME_QUARTER_2024-Q4,T3,2024-Q4,quarter,2024-Q4,positive,DATA_UNAVAILABLE,156,1.51391304583,0.218641518372,34.108076866,-9.5136483497,3.58517317566,0.448717948718
time_hypothesis,M5_TIME_REMOVE_OBSERVED_NEGATIVE_HOURS,T3,Remove observed negative hours,hour_set,10;11;12;13;17;22,hypothetical_in_sample_subset,9;14;15;16;18;19;20;21;23,623,1.64308416085,0.289867482387,180.587441527,-20.3703758714,8.86519928091,0.425361155698
time_hypothesis,M5_TIME_KEEP_OBSERVED_PROFITABLE_HOURS,T3,Keep observed profitable hour set,hour_set,10;11;12;13;17;22,hypothetical_in_sample_subset,9;14;15;16;18;19;20;21;23,623,1.64308416085,0.289867482387,180.587441527,-20.3703758714,8.86519928091,0.425361155698
