trade_id,strategy_id,symbol,direction,range_context_time,range_high,range_low,range_midpoint,sweep_time,sweep_extreme,sweep_depth_points,sweep_depth_atr,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,target_price,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,ADX_H1_entry,EMA200_slope_ATR_H1_entry,ATR_M15_entry,quantity
Si-000020,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-07-27T00:00:00+0300,90.33,89.88,90.10499999999999,2023-07-27T09:45:00+0300,89.86,0.01999999999999602,0.43328552556372657,2023-07-27T09:45:00+0300,89.9,89.85538410613326,0.044615893866748024,44.615893866748024,90.10499999999999,2023-07-27T11:00:00+0300,89.85538410613326,STOP,5,-1.0,0.04482707453925044,-1.0448270745392505,1.0,2.9137598450511764,21.419038226843156,0.05538806104125322,0.04615893866746414,21204.97291282574
Si-000021,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-07-27T12:00:00+0300,90.23,89.84,90.035,2023-07-27T12:15:00+0300,89.82,0.020000000000010232,0.2256317847108703,2023-07-27T12:15:00+0300,89.89,89.81113600061904,0.07886399938095678,78.86399938095678,90.035,2023-07-27T12:30:00+0300,89.81113600061904,STOP,1,-1.0,0.02536011381237328,-1.0253601138123734,1.0,0.0,24.796013977930723,0.06591631954017796,0.0886399938095543,11870.992348943011
Si-000022,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-07-27T12:00:00+0300,90.23,89.84,90.035,2023-07-27T12:45:00+0300,89.8,0.04000000000000625,0.4474845245792786,2023-07-27T12:45:00+0300,89.86,89.7910611433909,0.06893885660909405,68.93885660909405,90.035,2023-07-27T15:00:00+0300,90.035,RANGE_MIDPOINT_TARGET,9,2.5384813239985196,0.029011215131412128,2.5094701088671076,0.5802243026283332,2.5384813239985196,24.796013977930723,0.06591631954017796,0.08938856609089205,13440.817264099942
CNY-000007,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,SHORT,2023-07-27T15:00:00+0300,12.63,12.57,12.600000000000001,2023-07-27T16:00:00+0300,12.64,0.009999999999999787,0.5474543851575702,2023-07-27T16:00:00+0300,12.62,12.64182663620406,0.02182663620406089,21.82663620406089,12.600000000000001,2023-07-27T16:15:00+0300,12.64182663620406,STOP,1,-1.0,0.09163116026224398,-1.091631160262244,1.0,0.0,14.063632903313707,0.19947520266092292,0.018266362040595497,45919.52716436504
Si-000023,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-08-23T00:00:00+0300,94.36,93.27,93.815,2023-08-23T09:30:00+0300,94.44,0.0799999999999983,0.7723934963532709,2023-08-23T09:30:00+0300,94.33,94.45035741501938,0.12035741501938446,120.35741501938446,93.815,2023-08-23T10:00:00+0300,94.45035741501938,STOP,2,-1.0,0.01661717310626757,-1.0166171731062676,1.0,0.498515193188046,16.56544129908073,0.2747197394849609,0.10357415019378743,7891.887573297699
Si-000024,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-08-23T10:00:00+0300,94.36,93.27,93.815,2023-08-23T11:00:00+0300,94.48,0.12000000000000455,0.8297100715849656,2023-08-23T11:00:00+0300,94.3,94.49446288337452,0.194462883374527,194.462883374527,93.815,2023-08-23T15:00:00+0300,94.08,TIME_EXIT,16,1.1313212896071714,0.010284738996428885,1.1210365506107425,0.4113895598571466,1.7998293243750256,17.93674637779905,0.2485237954934255,0.1446288337452296,4834.808895145427
CNY-000008,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,LONG,2023-09-18T13:00:00+0300,13.39,13.19,13.29,2023-09-18T13:15:00+0300,13.18,0.009999999999999787,0.3666206312911593,2023-09-18T13:15:00+0300,13.21,13.177272384817847,0.03272761518215361,32.72761518215361,13.29,2023-09-18T17:15:00+0300,13.26,TIME_EXIT,16,1.5277617914324524,0.0611104716572994,1.466651319775153,0.0,1.5277617914324524,14.839383292607819,0.09855503197435073,0.027276151821521693,30290.252738475756
CNY-000009,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,SHORT,2023-09-19T19:00:00+0300,13.26,13.12,13.19,2023-09-19T19:45:00+0300,13.27,0.009999999999999787,0.35497715598876334,2023-09-19T19:45:00+0300,13.24,13.272817082685826,0.03281708268582584,32.81708268582584,13.19,2023-09-19T23:45:00+0300,13.23,TIME_EXIT,16,0.3047193468028445,0.060943869360570196,0.24377547744227432,0.9141580404085334,0.609438693605689,18.668200770288045,0.05773720962370359,0.02817082685826784,30650.71524910182
Si-000025,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-09-21T15:00:00+0300,96.74,95.75,96.245,2023-09-21T16:00:00+0300,95.73,0.01999999999999602,0.11284724181599809,2023-09-21T16:00:00+0300,95.95,95.7122769261542,0.2377230738457996,237.7230738457996,96.245,2023-09-21T18:45:00+0300,96.245,RANGE_MIDPOINT_TARGET,11,1.2409397002469988,0.008413150510149096,1.2325265497368498,0.5889205357104391,1.2409397002469988,15.099291250313652,0.11575916028940257,0.1772307384579839,3999.320496431511
CNY-000010,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,SHORT,2023-09-22T20:00:00+0300,13.18,13.03,13.105,2023-09-22T20:15:00+0300,13.19,0.009999999999999787,0.36871462854863096,2023-09-22T20:15:00+0300,13.17,13.192712124560764,0.02271212456076377,22.71212456076377,13.105,2023-09-22T20:45:00+0300,13.2,STOP,2,-1.320880392309301,0.08805869282062195,-1.408939085129923,1.320880392309301,0.0,16.798319651077467,0.10400217450458961,0.02712124560764709,44395.63155933561
Si-000026,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-09-22T19:00:00+0300,96.26,95.15,95.70500000000001,2023-09-22T19:30:00+0300,96.38,0.11999999999999034,0.8656158474705659,2023-09-22T19:30:00+0300,96.21,96.393862962462,0.18386296246200118,183.86296246200118,95.70500000000001,2023-09-22T23:00:00+0300,96.29,RANGE_FAILURE,14,-0.43510666274914417,0.010877666568726905,-0.4459843293178711,0.48949499559272924,0.48949499559265197,15.323769335648295,0.12613899471705506,0.13862962462002612,5234.59840890827
Si-000027,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-09-27T10:00:00+0300,96.5,95.97,96.235,2023-09-27T10:30:00+0300,96.54,0.04000000000000625,0.5226084339174709,2023-09-27T10:30:00+0300,96.47,96.54765391398301,0.07765391398301347,77.65391398301347,96.235,2023-09-27T13:15:00+0300,96.54765391398301,STOP,11,-1.0,0.025755301921259157,-1.025755301921259,1.0,1.4165416056692464,18.005586027701725,0.0675277004710297,0.07653913983011411,12338.803685736182
