configuration_id,Y2023_trades,Y2023_PF,Y2023_expectancy,Y2024_trades,Y2024_PF,Y2024_expectancy
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR2.5,63,1.382643084092434,0.1276339585941955,58,2.2315486695611,0.4031174245527921
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.5,53,1.2858868805653034,0.1365175324910954,48,2.735507852247232,0.660537171760072
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR2.5,55,1.83796435418951,0.3840980029824263,56,1.9798581325205515,0.5423654278815719
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.0,48,2.1881223295695222,0.6107333023234934,54,1.850083046535392,0.4813564445170585
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.5,46,2.093187884576104,0.5982848467046098,51,2.047109324427967,0.6293661848698989
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR2.5,55,1.5588773745794724,0.2265267147047057,54,2.0078294869444657,0.4439524378617032
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.5,46,1.65406843702601,0.3397444623632563,48,2.042482535955097,0.5456017289411652
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR2.5,55,1.4364305145879206,0.1535802339947427,54,2.080101930041661,0.3682559178914065
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.0,48,1.5861291296304991,0.2493836958826611,50,2.048361295271689,0.3996933081974406
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.5,46,1.4215529124184834,0.2038270038887255,46,2.1195538157242537,0.4902341745428291
T3_D20_ADX15_EMA75_ATR20_SL2.0_TR3.0,63,1.5973317313094373,0.2779455917673407,59,2.5097074868113385,0.6126821051653243
T3_D20_ADX15_EMA150_ATR20_SL2.0_TR3.0,51,1.5278287941453417,0.2506270106036443,60,2.273178668135829,0.550161205250281
T3_D20_ADX25_EMA75_ATR20_SL2.0_TR3.0,55,1.6692067734774974,0.3126132671567841,42,3.703140986822671,0.9071607376064758
T3_D20_ADX25_EMA150_ATR20_SL2.0_TR3.0,47,1.4453963662483549,0.2167483766041189,41,3.8781785201480674,0.9400375939311426
