configuration_id,Si_trades,Si_PF,Si_expectancy,CNY_trades,CNY_PF,CNY_expectancy
T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.5,57,2.1441243675079624,0.5966685636915544,48,2.429538771947732,0.8291274514842623
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR2.5,66,1.620614397502983,0.198479182143833,55,1.9698568193559067,0.3331295271636962
T3_D20_ADX20_EMA100_ATR20_SL2.5_TR3.5,55,1.7233897442174648,0.3064546016585259,46,2.089194513991312,0.4801350081585346
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR2.5,62,1.7183148582604562,0.3473824378260597,49,2.142492059747073,0.6114314893915465
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.0,59,1.5868488026765089,0.3190420620152208,43,2.5743015283693054,0.8484875548035073
T3_D30_ADX20_EMA100_ATR20_SL1.5_TR3.5,55,1.7528978733335407,0.4267217623230758,42,2.466124796545969,0.860692415452565
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR2.5,60,1.6546815318781611,0.2662403055367169,49,1.9436447130029049,0.4175098494099544
T3_D30_ADX20_EMA100_ATR20_SL2.0_TR3.5,52,1.610515634909602,0.3154554384516523,42,2.147490360076832,0.6050820347238047
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR2.5,60,1.568951806554363,0.1952153649229372,49,1.9674629315445,0.3391798069483788
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.0,55,1.4710500294136852,0.1970637065553556,43,2.2816291171637904,0.4910832314347724
T3_D30_ADX20_EMA100_ATR20_SL2.5_TR3.5,50,1.5903468831257406,0.2692195673143771,42,1.9429762271236293,0.4396627581460156
T3_D20_ADX15_EMA75_ATR20_SL2.0_TR3.0,66,1.9176517266900772,0.3832684644237283,56,2.1039309556210317,0.5064838898951881
T3_D20_ADX15_EMA150_ATR20_SL2.0_TR3.0,61,1.654909477274085,0.2957111780751807,50,2.228031697270162,0.5550653598643336
T3_D20_ADX25_EMA75_ATR20_SL2.0_TR3.0,56,2.2228196629132304,0.4846319328242648,41,2.6003041646532816,0.6867095715838119
T3_D20_ADX25_EMA150_ATR20_SL2.0_TR3.0,51,1.8979097134990184,0.3914838201884393,37,3.0504934215533512,0.7773794654583789
