trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe,fold_id,net_R
T2-M15-WF01-test-CNY-000015,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-03-29 13:30:00+03:00,2024-03-29 14:00:00+03:00,2024-03-29 14:00:00+03:00,12.692,12.708262122,0.0162621219907,16.2621219907,2024-03-29 19:15:00+03:00,12.686750211,ATR_TRAILING_STOP,21,0.322823124886,0.122985179987,0.199837944899,0.614925899935,2.8901517297,2024-03-29 12:00:00+03:00,2,59776.4816171,CNYRUBF,T2,M15,WF01,0.199837944899
T2-M15-WF01-test-Si-000013,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-03-29 13:45:00+03:00,2024-03-29 14:00:00+03:00,2024-03-29 14:00:00+03:00,92.47,92.588859047,0.118859047015,118.859047015,2024-03-29 15:15:00+03:00,92.54,EMA50_TREND_LOSS,5,-0.58893287266,0.0168266535046,-0.605759526164,0.252399802568,0.673066140182,2024-03-29 11:30:00+03:00,1,8744.38978162,USDRUBF,T2,M15,WF01,-0.605759526164
T2-M15-WF01-test-Si-000014,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2024-04-03 15:45:00+03:00,2024-04-03 16:30:00+03:00,2024-04-03 16:30:00+03:00,92.43,92.510803681,0.0808036809754,80.8036809754,2024-04-03 16:45:00+03:00,92.510803681,INITIAL_STOP,1,-1,0.0247513476596,-1.02475134766,0,0,2024-04-03 15:30:00+03:00,3,12784.7378121,USDRUBF,T2,M15,WF01,-1.02475134766
T2-M15-WF01-test-Si-000015,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-04-09 15:30:00+03:00,2024-04-09 16:00:00+03:00,2024-04-09 16:00:00+03:00,92.9,92.8445145977,0.0554854022901,55.4854022901,2024-04-09 16:30:00+03:00,92.8445145977,INITIAL_STOP,2,-1,0.0360455167927,-1.03604551679,0.720910335854,0.180227583963,2024-04-09 15:00:00+03:00,2,18427.6872801,USDRUBF,T2,M15,WF01,-1.03604551679
T2-M15-WF01-test-CNY-000016,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-04-10 17:00:00+03:00,2024-04-10 17:15:00+03:00,2024-04-10 17:15:00+03:00,12.89,12.8739444868,0.0160555132473,16.0555132473,2024-04-10 21:45:00+03:00,12.8813078861,ATR_TRAILING_STOP,18,-0.541378763466,0.124567802299,-0.665946565766,0.498271209197,0.498271209196,2024-04-10 16:45:00+03:00,1,60666.7025076,CNYRUBF,T2,M15,WF01,-0.665946565766
T2-M15-WF01-test-CNY-000017,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-04-15 18:30:00+03:00,2024-04-15 18:45:00+03:00,2024-04-15 18:45:00+03:00,12.897,12.8781781788,0.0188218211898,18.8218211898,2024-04-16 09:45:00+03:00,12.9036993734,ATR_TRAILING_STOP,24,0.355936513155,0.106259642987,0.249676870168,0.0531298214937,1.22198589435,2024-04-15 16:15:00+03:00,1,51405.6787113,CNYRUBF,T2,M15,WF01,0.249676870168
T2-M15-WF01-test-Si-000016,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2024-04-17 09:15:00+03:00,2024-04-17 09:45:00+03:00,2024-04-17 09:45:00+03:00,94.52,94.3530976694,0.166902330607,166.902330607,2024-04-17 11:00:00+03:00,94.3915812699,ATR_TRAILING_STOP,5,-0.769424426769,0.0119830561546,-0.781407482923,0.599152807732,0.718983369278,2024-04-16 23:15:00+03:00,2,6062.67394932,USDRUBF,T2,M15,WF01,-0.781407482923
T2-M15-WF01-test-CNY-000018,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-22 10:00:00+03:00,2024-04-22 10:30:00+03:00,2024-04-22 10:30:00+03:00,12.843,12.8670462026,0.0240462026343,24.0462026343,2024-04-22 13:30:00+03:00,12.859,EMA50_TREND_LOSS,12,-0.665385726109,0.0831732157636,-0.748558941872,0.748558941872,0.0415866078818,2024-04-20 00:00:00+03:00,2,40337.52241,CNYRUBF,T2,M15,WF01,-0.748558941872
T2-M15-WF01-test-CNY-000019,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-22 19:15:00+03:00,2024-04-22 19:45:00+03:00,2024-04-22 19:45:00+03:00,12.862,12.8756613261,0.0136613261082,13.6613261082,2024-04-22 20:15:00+03:00,12.857065513,ATR_TRAILING_STOP,2,0.361201170915,0.146398672,0.214802498914,0.0731993360001,2.19598008,2024-04-22 19:00:00+03:00,2,70469.2557648,CNYRUBF,T2,M15,WF01,0.214802498914
T2-M15-WF01-test-CNY-000020,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-23 10:00:00+03:00,2024-04-23 10:30:00+03:00,2024-04-23 10:30:00+03:00,12.847,12.8628642071,0.0158642070809,15.8642070809,2024-04-23 11:30:00+03:00,12.8628642071,INITIAL_STOP,4,-1,0.126069963018,-1.12606996302,0.756419778108,0.504279852072,2024-04-22 23:00:00+03:00,2,60814.3470281,CNYRUBF,T2,M15,WF01,-1.12606996302
