dimension,value,outcome,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R
instrument,CNYRUBF,LOSER,60,273,-0.671696558346,-0.902656045125,0.929065380187,0.455920730942
instrument,CNYRUBF,LOSER,120,273,-0.785399156904,-0.966514375876,0.968873931474,0.489915375433
direction,LONG,WINNER,5,154,0.169667132267,0.0679252734414,0.209174932821,0.391019695493
direction,LONG,WINNER,15,154,0.534130589176,0.317864330268,0.291981142385,0.889622042812
direction,LONG,WINNER,30,154,0.880313180867,0.548224241883,0.337439274855,1.40333374977
direction,LONG,WINNER,60,154,1.43150046264,0.956119680115,0.351970721153,2.23674082447
direction,LONG,WINNER,120,154,1.78632470798,1.21734438083,0.355684564597,3.04022849365
direction,LONG,LOSER,5,316,-0.104858963186,-0.0528457470045,0.348308599898,0.227625800183
direction,LONG,LOSER,15,316,-0.225069880529,-0.175731557377,0.60882558986,0.406867282735
direction,LONG,LOSER,30,316,-0.415752352218,-0.468099026491,0.772356861567,0.479492922789
direction,LONG,LOSER,60,316,-0.629079135299,-0.779708274796,0.936438337825,0.51364375172
direction,LONG,LOSER,120,316,-0.717758284184,-0.858589731839,0.964201847869,0.538748190961
direction,SHORT,WINNER,5,97,0.249890308923,0.137084587205,0.155747223626,0.4712742315
direction,SHORT,WINNER,15,97,0.55473217836,0.399565638748,0.240229081913,1.00121064531
direction,SHORT,WINNER,30,97,0.902593679482,0.653128156185,0.289793031823,1.48005403083
direction,SHORT,WINNER,60,97,1.54514676943,1.37872368138,0.298586800239,2.36579744095
direction,SHORT,WINNER,120,97,2.2035462254,1.41653883452,0.300748756557,3.47522380846
direction,SHORT,LOSER,5,263,-0.179028404974,-0.142008248753,0.395904300155,0.240023819001
direction,SHORT,LOSER,15,263,-0.321359269275,-0.3174652203,0.693681162601,0.377914619632
direction,SHORT,LOSER,30,263,-0.47519459958,-0.673690730247,0.840072010446,0.445868799613
direction,SHORT,LOSER,60,263,-0.670635826132,-0.860657221442,0.976783085576,0.493942476902
direction,SHORT,LOSER,120,263,-0.766043935995,-0.938812424596,1.03566952513,0.530255741046
session,Session_A,WINNER,5,14,0.227638725623,0.265744503023,0.159967424765,0.37692936399
session,Session_A,WINNER,15,14,0.945447502614,0.818463716264,0.167155265254,1.35079707099
session,Session_A,WINNER,30,14,1.8759328389,2.16003732791,0.203144283832,2.6194471175
session,Session_A,WINNER,60,14,2.07740395691,2.19659489337,0.203144283832,3.39346568647
session,Session_A,WINNER,120,14,2.64480826505,1.46734668627,0.203144283832,4.33694947713
session,Session_A,LOSER,5,31,-0.102962018678,-0.135219687362,0.479123986366,0.312485086229
session,Session_A,LOSER,15,31,-0.490036883707,-0.540878749446,0.933474195027,0.557075409055
session,Session_A,LOSER,30,31,-0.694148068551,-1.00647741761,1.21030735827,0.585379992499
session,Session_A,LOSER,60,31,-0.90158127315,-1.02102648573,1.274832879,0.585379992499
session,Session_A,LOSER,120,31,-0.90158127315,-1.02102648573,1.274832879,0.585379992499
session,Session_B,WINNER,5,162,0.219374142225,0.104612396268,0.18733770929,0.452995464669
session,Session_B,WINNER,15,162,0.585421702893,0.417200883388,0.266031977712,0.974405150728
session,Session_B,WINNER,30,162,0.870055730644,0.679692094531,0.322752253287,1.42931526098
session,Session_B,WINNER,60,162,1.54581464219,1.17684864676,0.3297224419,2.37708025237
session,Session_B,WINNER,120,162,2.18283407146,1.49847762665,0.331594908376,3.52879431217
session,Session_B,LOSER,5,374,-0.118678555163,-0.103362252782,0.357826025676,0.252670836487
session,Session_B,LOSER,15,374,-0.257172712753,-0.239031307011,0.657711942613,0.416062546211
session,Session_B,LOSER,30,374,-0.442374094629,-0.566817707057,0.80905059781,0.491973468328
session,Session_B,LOSER,60,374,-0.665964213026,-0.844039483301,0.956836752305,0.535687843209
session,Session_B,LOSER,120,374,-0.758383611348,-0.889405049747,1.00087411158,0.569674201133
session,Session_C,WINNER,5,75,0.155233935139,0,0.196428899927,0.363578095855
session,Session_C,WINNER,15,75,0.373207348383,0.190551836285,0.304399503601,0.764725783681
session,Session_C,WINNER,30,75,0.745436382058,0.46922542582,0.332609165445,1.21943075374
session,Session_C,WINNER,60,75,1.21099573933,0.902552356603,0.358764734924,1.88459890993
session,Session_C,WINNER,120,75,1.30922071472,0.934726763044,0.365142096047,2.30546568257
session,Session_C,LOSER,5,174,-0.187599429109,-0.101793064094,0.376486042118,0.177414291585
session,Session_C,LOSER,15,174,-0.25440133392,-0.178567945582,0.574167043544,0.316579749103
session,Session_C,LOSER,30,174,-0.398778284333,-0.416716307849,0.717811812158,0.382979315962
session,Session_C,LOSER,60,174,-0.564060884413,-0.663505917472,0.893285641655,0.423702665755
session,Session_C,LOSER,120,174,-0.670670591133,-0.834466955939,0.938058230207,0.45113078878
candidate,10:00-17:00,WINNER,5,162,0.219374142225,0.104612396268,0.18733770929,0.452995464669
candidate,10:00-17:00,WINNER,15,162,0.585421702893,0.417200883388,0.266031977712,0.974405150728
candidate,10:00-17:00,WINNER,30,162,0.870055730644,0.679692094531,0.322752253287,1.42931526098
candidate,10:00-17:00,WINNER,60,162,1.54581464219,1.17684864676,0.3297224419,2.37708025237
candidate,10:00-17:00,WINNER,120,162,2.18283407146,1.49847762665,0.331594908376,3.52879431217
candidate,10:00-17:00,LOSER,5,374,-0.118678555163,-0.103362252782,0.357826025676,0.252670836487
candidate,10:00-17:00,LOSER,15,374,-0.257172712753,-0.239031307011,0.657711942613,0.416062546211
candidate,10:00-17:00,LOSER,30,374,-0.442374094629,-0.566817707057,0.80905059781,0.491973468328
candidate,10:00-17:00,LOSER,60,374,-0.665964213026,-0.844039483301,0.956836752305,0.535687843209
candidate,10:00-17:00,LOSER,120,374,-0.758383611348,-0.889405049747,1.00087411158,0.569674201133
