portfolio_id,exit_time,strategy,trade_id,trade_R,cumulative_R
A,2026-06-29T15:00:00+00:00,T2,CNY-000026,-1.01745105812,23.0300089837
A,2026-06-29T15:00:00+00:00,T2,Si-000029,-1.00291382935,22.0270951544
A,2026-07-13T19:00:00+00:00,T2,CNY-000027,-1.03796632804,20.9891288263
A,2026-07-15T14:00:00+00:00,T2,Si-000030,1.532253889,22.5213827153
A,2026-07-17T07:00:00+00:00,T2,CNY-000028,-0.351238574085,22.1701441412
A,2026-07-27T14:00:00+00:00,T2,Si-000031,-0.619234217985,21.5509099232
A,2026-07-30T14:00:00+00:00,T2,Si-000032,4.99905620712,26.5499661304
A,2026-07-30T16:00:00+00:00,T2,CNY-000029,7.27638592676,33.8263520571
A,2026-07-31T14:00:00+00:00,T2,CNY-000030,-1.03289707024,32.7934549869
A,2026-08-10T16:00:00+00:00,T2,CNY-000031,-1.03128418268,31.7621708042
A,2026-08-10T16:00:00+00:00,T2,Si-000033,-1.00408076527,30.7580900389
A,2026-08-17T21:00:00+00:00,T2,CNY-000032,0.472363691849,31.2304537308
A,2026-08-25T15:00:00+00:00,T2,Si-000034,1.21584742668,32.4463011575
A,2026-08-28T07:00:00+00:00,T2,CNY-000033,4.64902674767,37.0953279051
A,2026-08-28T07:00:00+00:00,T2,Si-000035,5.02164235881,42.1169702639
A,2026-08-30T16:00:00+00:00,T2,CNY-000034,0.740715986905,42.8576862508
B,2025-02-12T20:00:00+00:00,T3,CNY-000001,2.26295396326,2.26295396326
B,2025-02-12T20:00:00+00:00,T3,Si-000001,1.82190856095,4.08486252421
B,2025-02-14T08:00:00+00:00,T3,Si-000002,-1.00147846897,3.08338405524
B,2025-02-21T11:00:00+00:00,T3,Si-000003,1.55915351036,4.6425375656
B,2025-03-03T08:00:00+00:00,T3,Si-000004,-1.00168602409,3.64085154151
B,2025-03-18T11:00:00+00:00,T3,Si-000005,3.248303729,6.88915527051
B,2025-03-18T14:00:00+00:00,T3,CNY-000002,2.46001671991,9.34917199042
B,2025-04-15T15:00:00+00:00,T3,CNY-000003,-1.01750681517,8.33166517525
B,2025-04-16T10:00:00+00:00,T3,Si-000006,-0.893583907336,7.43808126791
B,2025-04-18T10:00:00+00:00,T3,CNY-000004,0.524507575607,7.96258884352
B,2025-06-11T07:00:00+00:00,T3,CNY-000005,-1.02918688957,6.93340195395
B,2025-06-16T08:00:00+00:00,T3,CNY-000006,-1.02770591028,5.90569604367
B,2025-06-16T10:00:00+00:00,T3,Si-000007,-1.00401358553,4.90168245814
B,2025-07-11T08:00:00+00:00,T3,Si-000008,-0.928096525145,3.973585933
B,2025-07-17T08:00:00+00:00,T3,CNY-000007,-0.211323038714,3.76226289428
B,2025-07-17T08:00:00+00:00,T3,Si-000009,-0.450810267393,3.31145262689
B,2025-07-23T14:00:00+00:00,T3,CNY-000008,-1.04792554046,2.26352708643
B,2025-07-24T11:00:00+00:00,T3,CNY-000009,0.766368106887,3.02989519332
B,2025-07-29T12:00:00+00:00,T3,CNY-000010,4.74593754908,7.7758327424
B,2025-07-29T12:00:00+00:00,T3,Si-000010,5.25554772617,13.0313804686
B,2025-09-01T07:00:00+00:00,T3,CNY-000011,-0.525871013125,12.5055094554
B,2025-09-11T09:00:00+00:00,T3,CNY-000012,5.97370823147,18.4792176869
B,2025-09-11T09:00:00+00:00,T3,Si-000011,5.93750074397,24.4167184309
B,2025-09-18T09:00:00+00:00,T3,CNY-000013,-0.434011018674,23.9827074122
B,2025-09-18T09:00:00+00:00,T3,Si-000012,-0.425619559725,23.5570878525
B,2025-09-30T17:00:00+00:00,T3,Si-000013,-1.00478951748,22.552298335
B,2025-10-02T10:00:00+00:00,T3,CNY-000014,0.850815573888,23.4031139089
B,2025-10-02T14:00:00+00:00,T3,Si-000014,0.283926488471,23.6870403974
B,2025-10-07T21:00:00+00:00,T3,Si-000015,-0.735023580974,22.9520168164
B,2025-10-08T07:00:00+00:00,T3,CNY-000015,-0.132089407519,22.8199274089
B,2025-10-09T08:00:00+00:00,T3,CNY-000016,-1.02461571005,21.7953116988
B,2025-10-09T08:00:00+00:00,T3,Si-000016,-1.00362574938,20.7916859494
B,2025-10-16T08:00:00+00:00,T3,CNY-000017,3.76506410485,24.5567500543
B,2025-10-16T08:00:00+00:00,T3,Si-000017,4.39287230176,28.949622356
B,2025-10-22T12:00:00+00:00,T3,CNY-000018,-1.02227541576,27.9273469403
B,2025-10-22T12:00:00+00:00,T3,Si-000018,-1.00325271146,26.9240942288
B,2025-10-27T16:00:00+00:00,T3,CNY-000019,-0.520838176573,26.4032560523
B,2025-11-25T08:00:00+00:00,T3,CNY-000020,-1.02685359431,25.3764024579
B,2025-11-25T11:00:00+00:00,T3,Si-000019,-1.00360836488,24.3727940931
B,2025-11-28T07:00:00+00:00,T3,CNY-000021,-0.427843808794,23.9449502843
B,2025-11-28T08:00:00+00:00,T3,Si-000020,-0.229956371557,23.7149939127
B,2025-12-01T07:00:00+00:00,T3,Si-000021,-1.00496643797,22.7100274747
B,2025-12-04T10:00:00+00:00,T3,CNY-000022,-0.0130290712596,22.6969984035
B,2025-12-04T11:00:00+00:00,T3,Si-000022,-0.0104298417745,22.6865685617
B,2025-12-05T08:00:00+00:00,T3,CNY-000023,0.184661430502,22.8712299922
B,2025-12-05T08:00:00+00:00,T3,Si-000023,-0.428567843357,22.4426621489
B,2025-12-12T16:00:00+00:00,T3,CNY-000024,-0.95487728923,21.4877848596
B,2025-12-12T16:00:00+00:00,T3,Si-000024,-1.00100173714,20.4867831225
B,2025-12-24T10:00:00+00:00,T3,Si-000025,-0.928900677587,19.5578824449
B,2025-12-26T08:00:00+00:00,T3,CNY-000025,0.224161540939,19.7820439858
B,2026-01-06T08:00:00+00:00,T3,CNY-000026,1.14560811545,20.9276521013
B,2026-01-23T09:00:00+00:00,T3,CNY-000027,-0.0741171452789,20.853534956
B,2026-01-23T09:00:00+00:00,T3,Si-000026,-0.192763386865,20.6607715691
B,2026-01-30T07:00:00+00:00,T3,Si-000027,-0.241929890898,20.4188416782
B,2026-02-04T09:00:00+00:00,T3,CNY-000028,-0.743179269122,19.6756624091
B,2026-02-05T10:00:00+00:00,T3,Si-000028,-0.890293058079,18.785369351
B,2026-02-26T08:00:00+00:00,T3,CNY-000029,-1.03134633743,17.7540230136
B,2026-03-06T16:00:00+00:00,T3,CNY-000030,-0.304339325423,17.4496836882
B,2026-03-06T16:00:00+00:00,T3,Si-000029,0.155107110438,17.6047907986
B,2026-03-12T07:00:00+00:00,T3,CNY-000031,0.233466243402,17.838257042
B,2026-03-18T11:00:00+00:00,T3,CNY-000032,2.95658692938,20.7948439714
B,2026-03-18T11:00:00+00:00,T3,Si-000030,7.23850694164,28.0333509131
B,2026-03-19T10:00:00+00:00,T3,CNY-000033,1.54303142434,29.5763823374
B,2026-03-19T11:00:00+00:00,T3,Si-000031,1.53423082529,31.1106131627
B,2026-03-26T11:00:00+00:00,T3,CNY-000034,0.996162307375,32.1067754701
B,2026-03-26T14:00:00+00:00,T3,Si-000032,0.897521188041,33.0042966581
B,2026-04-21T11:00:00+00:00,T3,CNY-000035,1.06206423737,34.0663608955
B,2026-04-21T11:00:00+00:00,T3,Si-000033,1.28504259697,35.3514034924
B,2026-04-30T08:00:00+00:00,T3,Si-000034,-0.86072934662,34.4906741458
B,2026-05-20T08:00:00+00:00,T3,CNY-000036,1.54226266771,36.0329368135
B,2026-05-20T08:00:00+00:00,T3,Si-000035,0.961391679212,36.9943284927
B,2026-05-28T07:00:00+00:00,T3,CNY-000037,-0.223515769438,36.7708127233
B,2026-05-28T07:00:00+00:00,T3,Si-000036,-0.297079578494,36.4737331448
B,2026-06-04T14:00:00+00:00,T3,CNY-000038,-0.679861625348,35.7938715195
B,2026-06-04T14:00:00+00:00,T3,Si-000037,-0.581808692112,35.2120628273
B,2026-06-10T08:00:00+00:00,T3,CNY-000039,0.0606037168628,35.2726665442
B,2026-06-10T08:00:00+00:00,T3,Si-000038,0.194407909011,35.4670744532
B,2026-06-23T09:00:00+00:00,T3,CNY-000040,-0.0581544644717,35.4089199887
B,2026-06-23T11:00:00+00:00,T3,Si-000039,-0.334965063641,35.0739549251
B,2026-06-26T17:00:00+00:00,T3,CNY-000041,3.95369550349,39.0276504286
B,2026-06-26T17:00:00+00:00,T3,Si-000040,3.49342069029,42.5210711189
B,2026-07-01T08:00:00+00:00,T3,CNY-000042,-0.484334014058,42.0367371048
B,2026-07-01T08:00:00+00:00,T3,Si-000041,-0.532265150049,41.5044719548
B,2026-07-30T14:00:00+00:00,T3,Si-000042,-0.532561248422,40.9719107064
B,2026-07-30T16:00:00+00:00,T3,CNY-000043,-0.05796599107,40.9139447153
B,2026-08-04T17:00:00+00:00,T3,CNY-000044,1.6750659136,42.5890106289
B,2026-08-04T17:00:00+00:00,T3,Si-000043,1.90002627775,44.4890369066
B,2026-08-10T06:00:00+00:00,T3,CNY-000045,2.69295462118,47.1819915278
B,2026-08-10T08:00:00+00:00,T3,Si-000044,3.10526380017,50.287255328
B,2026-08-14T09:00:00+00:00,T3,CNY-000046,1.38360169121,51.6708570192
B,2026-08-14T09:00:00+00:00,T3,Si-000045,2.40794778134,54.0788048005
B,2026-08-17T06:00:00+00:00,T3,CNY-000047,-1.03206134373,53.0467434568
B,2026-08-17T21:00:00+00:00,T3,CNY-000048,-0.321747163098,52.7249962937
B,2026-08-17T21:00:00+00:00,T3,Si-000046,0.444781209873,53.1697775036
B,2026-08-25T15:00:00+00:00,T3,Si-000047,-0.171797929638,52.9979795739
B,2026-08-28T07:00:00+00:00,T3,CNY-000049,2.31851072108,55.316490295
B,2026-08-28T07:00:00+00:00,T3,Si-000048,1.91419180839,57.2306821034
C,2025-01-27T16:00:00+00:00,T2,CNY-000001,0.257445163102,0.257445163102
C,2025-01-28T07:00:00+00:00,T2,Si-000001,0.526330734525,0.783775897627
C,2025-01-31T15:00:00+00:00,T2,Si-000002,-0.502946832705,0.280829064922
C,2025-02-12T20:00:00+00:00,T3,CNY-000001,1.13147698163,1.41230604655
C,2025-02-12T20:00:00+00:00,T3,Si-000001,0.910954280475,2.32326032703
C,2025-02-14T08:00:00+00:00,T3,Si-000002,-0.500739234485,1.82252109254
C,2025-02-21T11:00:00+00:00,T3,Si-000003,0.77957675518,2.60209784772
C,2025-02-26T11:00:00+00:00,T2,CNY-000002,0.931409729075,3.5335075768
C,2025-03-03T08:00:00+00:00,T3,Si-000004,-0.500843012045,3.03266456475
C,2025-03-11T19:00:00+00:00,T2,Si-000003,0.636288476595,3.66895304135
C,2025-03-12T12:00:00+00:00,T2,CNY-000003,-0.327636172744,3.3413168686
C,2025-03-12T12:00:00+00:00,T2,Si-000004,-0.500916450845,2.84040041776
