portfolio_id,month,total_trades,PF,expectancy,net_R,win_rate,max_drawdown,recovery_factor,average_holding_hours,losing_streak,drawdown_duration_trades
C,2025-08,4,0,-0.383681865642,-1.53472746257,0,-1.53472746257,-1,37.25,4,4
C,2025-09,6,4.983162482,0.793409822203,4.76045893322,0.333333333333,-0.932210047939,5.10663765504,48,3,3
C,2025-10,17,0.86269267225,-0.043501035948,-0.739517611116,0.235294117647,-3.35115095118,-0.220675708701,21.7058823529,6,10
C,2025-11,8,1.59730557822,0.140242269188,1.12193815351,0.375,-1.04762768077,1.07093213944,53.125,2,5
C,2025-12,14,0.443963696539,-0.107457102161,-1.50439943025,0.357142857143,-1.61410539511,-0.932032960676,33.5,3,14
C,2026-01,5,3.40229897195,0.122231475619,0.611157378097,0.4,-0.254405211521,2.40229897195,23.4,3,3
C,2026-02,6,0.0454027269592,-0.319138459669,-1.91483075801,0.166666666667,-1.91483075801,-1,28.1666666667,3,6
C,2026-03,9,51.1094415692,0.847237424693,7.62513682224,0.888888888889,-0.152169662712,50.1094415692,46.8888888889,1,2
C,2026-04,8,4.54578525817,0.747856672808,5.98285338246,0.375,-1.32063527806,4.53028438801,56.5,4,4
C,2026-05,6,5.90834649576,0.212938529311,1.27763117587,0.666666666667,-0.260297673966,4.90834649576,27.5,2,2
C,2026-06,11,2.86063365885,0.310823481717,3.41905829889,0.454545454545,-1.01018244373,3.38459485224,25.7272727273,2,5
C,2026-07,11,2.97037907562,0.416328792224,4.57961671447,0.272727272727,-1.02728274607,4.45799049188,25.9090909091,3,6
C,2026-08,19,8.40836300105,0.69423601716,13.190484326,0.736842105263,-1.01768247398,12.9612965373,41.5789473684,2,4
D,2025-01,3,1.5583672998,0.0901094077459,0.270328223238,0.666666666667,-0.484140499153,0.558367299803,54,1,1
D,2025-02,5,7.36166269986,0.660929704784,3.30464852392,0.8,-0.519463020885,6.36166269986,31,1,1
D,2025-03,7,2.0947669394,0.266788512438,1.86751958707,0.428571428571,-0.797571144055,2.34150846728,50.7142857143,2,2
D,2025-04,7,1.05877240146,0.0123354233212,0.0863479632484,0.428571428571,-1.0881616223,0.0793521490551,42.8571428571,3,3
D,2025-05,2,0,-0.313403142005,-0.62680628401,0,-0.62680628401,-1,15,2,2
D,2025-06,4,0,-0.48231943896,-1.92927775584,0,-1.92927775584,-1,22,4,4
D,2025-07,14,4.94728698074,0.727957568764,10.1914059627,0.5,-2.50933732456,4.06139336587,36.7142857143,4,10
D,2025-08,4,0,-0.369335122261,-1.47734048904,0,-1.47734048904,-1,37.25,4,4
D,2025-09,6,4.983162482,0.823077231935,4.93846339161,0.333333333333,-0.96706751589,5.10663765504,48,3,3
D,2025-10,17,0.894603758489,-0.0334040722869,-0.567869228877,0.235294117647,-3.32349101495,-0.170865281814,21.7058823529,6,10
D,2025-11,8,1.51318100556,0.122433255156,0.979466041246,0.375,-1.04685089012,0.935630900723,53.125,2,5
D,2025-12,14,0.42343781643,-0.113943463814,-1.59520849339,0.357142857143,-1.67446049127,-0.952670129698,33.5,3,14
D,2026-01,5,3.31934205681,0.12242322563,0.612116128151,0.4,-0.26391800483,2.31934205681,23.4,3,3
D,2026-02,6,0.0431747045665,-0.323812420485,-1.94287452291,0.166666666667,-1.94287452291,-1,28.1666666667,3,6
D,2026-03,9,51.1094415692,0.878917571719,7.91025814547,0.888888888889,-0.157859634787,50.1094415692,46.8888888889,1,2
D,2026-04,8,4.51044322159,0.726839981782,5.81471985426,0.375,-1.30343834235,4.46106245715,56.5,4,4
D,2026-05,6,5.82911111446,0.217334789537,1.30400873722,0.666666666667,-0.270030799937,4.82911111446,27.5,2,2
D,2026-06,11,2.92126181034,0.319757790299,3.51733569329,0.454545454545,-0.972409409391,3.61713457245,25.7272727273,2,5
D,2026-07,11,2.8926820989,0.395298202271,4.34828022498,0.272727272727,-1.02688326248,4.23444454091,25.9090909091,3,6
D,2026-08,19,8.51423993453,0.700388530814,13.3073820855,0.736842105263,-0.97962899633,13.5841039162,41.5789473684,2,4
