generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,active_instruments,trading_instruments,total_trades,portfolio_net_R,positive_instruments,negative_instruments,zero_instruments,best_instrument,best_instrument_R,worst_instrument,worst_instrument_R,max_single_instrument_positive_contribution,max_single_instrument_negative_contribution,same_sign_loss_count,same_sign_gain_count
v2,quarterly,baseline,T2,M30,2021-04,5,5,14,-4.9258753969,1,4,0,NG,1.44694077831,Si,-3.34262145373,1.44694077831,-3.34262145373,0,0
v2,quarterly,baseline,T2,M30,2021-05,5,5,23,-1.13390598136,2,3,0,MIX,1.85993726288,GD,-2.42987150346,1.85993726288,-2.42987150346,0,0
v2,quarterly,baseline,T2,M30,2021-06,5,5,25,11.6595584946,3,2,0,MIX,13.1670072202,GD,-3.95211123962,13.1670072202,-3.95211123962,0,0
v2,quarterly,baseline,T2,M30,2021-07,5,5,24,9.85757367747,3,2,0,MIX,7.34365476856,GD,-1.64746484256,7.34365476856,-1.64746484256,0,0
v2,quarterly,baseline,T2,M30,2021-08,5,5,35,-6.00378134287,2,3,0,NG,2.43265334748,MIX,-4.78340106372,2.43265334748,-4.78340106372,0,0
v2,quarterly,baseline,T2,M30,2021-09,5,5,25,-0.0604571916028,2,3,0,NG,1.15252939157,BR,-0.758944749108,1.15252939157,-0.758944749108,0,0
v2,quarterly,baseline,T2,M30,2021-10,5,5,29,-0.975016548752,1,4,0,Si,4.39671022335,BR,-2.37851216551,4.39671022335,-2.37851216551,0,0
v2,quarterly,baseline,T2,M30,2021-11,5,5,30,-11.9565835251,1,4,0,MIX,0.625701471024,BR,-5.02424071262,0.625701471024,-5.02424071262,0,0
v2,quarterly,baseline,T2,M30,2021-12,5,5,30,3.67770852576,3,2,0,MIX,3.67355539681,Si,-1.76401271742,3.67355539681,-1.76401271742,0,0
v2,quarterly,baseline,T2,M30,2022-01,5,5,23,-6.11309340635,1,4,0,BR,3.63041149076,Si,-3.34171686806,3.63041149076,-3.34171686806,0,0
v2,quarterly,baseline,T2,M30,2022-02,5,5,27,4.15425066102,1,4,0,MIX,7.257471546,NG,-1.27974781174,7.257471546,-1.27974781174,0,0
v2,quarterly,baseline,T2,M30,2022-03,5,4,6,-0.027437822231,1,3,1,NG,2.29199718125,GD,-1.13438013393,2.29199718125,-1.13438013393,0,0
v2,quarterly,baseline,T2,M30,2022-04,6,4,9,8.39667647053,3,1,2,NG,5.4416574604,MIX,-1.93236049167,5.4416574604,-1.93236049167,0,0
v2,quarterly,baseline,T2,M30,2022-05,6,6,11,-2.38863349479,1,5,0,Si,0.427602579218,GD,-1.00018671077,0.427602579218,-1.00018671077,0,0
v2,quarterly,baseline,T2,M30,2022-06,6,6,15,7.21931373003,5,1,0,NG,2.5715434797,Si,-0.317029020426,2.5715434797,-0.317029020426,0,0
v2,quarterly,baseline,T2,M30,2022-07,6,6,18,5.43117134525,3,3,0,NG,6.67443891556,MIX,-2.64318096853,6.67443891556,-2.64318096853,0,0
v2,quarterly,baseline,T2,M30,2022-08,6,6,29,-1.83675302855,2,4,0,GD,2.90348118234,MIX,-3.16599622742,2.90348118234,-3.16599622742,0,0
v2,quarterly,baseline,T2,M30,2022-09,6,6,28,18.2589010733,3,3,0,NG,13.7875434833,BR,-2.26137151866,13.7875434833,-2.26137151866,0,0
v2,quarterly,baseline,T2,M30,2022-10,6,6,25,-2.9409455824,2,4,0,MIX,3.46791849809,GD,-2.19228844194,3.46791849809,-2.19228844194,0,0
v2,quarterly,baseline,T2,M30,2022-11,6,6,27,-9.65320255621,1,5,0,BR,5.18278489323,Si,-5.56462501064,5.18278489323,-5.56462501064,0,0
v2,quarterly,baseline,T2,M30,2022-12,6,5,17,11.3546821679,4,1,1,NG,6.24408320675,GD,-0.182017939343,6.24408320675,-0.182017939343,0,0
v2,quarterly,baseline,T2,M30,2023-01,6,6,37,10.7327179474,3,3,0,NG,13.631209782,CNY,-3.49939303467,13.631209782,-3.49939303467,0,0
v2,quarterly,baseline,T2,M30,2023-02,6,6,18,8.5779433236,3,3,0,CNY,7.29204911009,BR,-3.61093188565,7.29204911009,-3.61093188565,0,0
v2,quarterly,baseline,T2,M30,2023-03,6,6,35,9.78567336297,3,3,0,BR,9.17341796093,MIX,-2.77754877033,9.17341796093,-2.77754877033,0,0
v2,quarterly,baseline,T2,M30,2023-04,6,6,20,23.3631214622,6,0,0,Si,14.4109347537,NG,0.597593527703,14.4109347537,0,0,6
v2,quarterly,baseline,T2,M30,2023-05,6,6,27,0.226922931508,2,4,0,GD,4.5199659177,Si,-2.96598829367,4.5199659177,-2.96598829367,0,0
v2,quarterly,baseline,T2,M30,2023-06,6,6,20,8.26573156909,3,3,0,Si,5.79766059365,GD,-1.01304257756,5.79766059365,-1.01304257756,0,0
v2,quarterly,baseline,T2,M30,2023-07,6,6,33,0.436731422655,3,3,0,CNY,4.66955808961,GD,-3.00150598039,4.66955808961,-3.00150598039,0,0
v2,quarterly,baseline,T2,M30,2023-08,6,6,31,5.75380735906,4,2,0,NG,2.30302703785,BR,-0.249358635338,2.30302703785,-0.249358635338,0,0
v2,quarterly,baseline,T2,M30,2023-09,6,6,29,-4.91488757494,1,5,0,Si,1.63449081821,NG,-2.15164148504,1.63449081821,-2.15164148504,0,0
v2,quarterly,baseline,T2,M30,2023-10,6,6,28,11.4544504884,5,1,0,Si,4.61733495517,MIX,-1.97300699181,4.61733495517,-1.97300699181,0,0
v2,quarterly,baseline,T2,M30,2023-11,6,6,29,6.12469559195,3,3,0,BR,5.82505561205,MIX,-4.02908051787,5.82505561205,-4.02908051787,0,0
v2,quarterly,baseline,T2,M30,2023-12,6,6,28,3.73027093267,3,3,0,Si,7.80972262156,BR,-4.41550007203,7.80972262156,-4.41550007203,0,0
v2,quarterly,baseline,T2,M30,2024-01,6,6,29,-5.00279671442,1,5,0,BR,4.9494836763,MIX,-3.26928375434,4.9494836763,-3.26928375434,0,0
v2,quarterly,baseline,T2,M30,2024-02,6,6,26,0.429130544991,2,4,0,NG,6.24173220193,CNY,-3.23154796269,6.24173220193,-3.23154796269,0,0
v2,quarterly,baseline,T2,M30,2024-03,6,6,23,4.95293212564,3,3,0,NG,5.3849811819,Si,-2.42989466739,5.3849811819,-2.42989466739,0,0
v2,quarterly,baseline,T2,M30,2024-04,6,6,32,-7.72900530206,2,4,0,Si,0.86070166902,BR,-3.09781335926,0.86070166902,-3.09781335926,0,0
v2,quarterly,baseline,T2,M30,2024-05,6,6,35,9.43536317541,5,1,0,BR,5.34452581698,CNY,-2.44468308018,5.34452581698,-2.44468308018,0,0
v2,quarterly,baseline,T2,M30,2024-06,6,6,28,2.63560595977,3,3,0,Si,6.46014406116,BR,-3.09343652238,6.46014406116,-3.09343652238,0,0
v2,quarterly,baseline,T2,M30,2024-07,6,6,33,0.202547064247,4,2,0,BR,2.48719552247,Si,-4.04337808453,2.48719552247,-4.04337808453,0,0
v2,quarterly,baseline,T2,M30,2024-08,6,6,19,17.3143821636,5,1,0,BR,8.11541419771,NG,-0.513001039337,8.11541419771,-0.513001039337,0,0
v2,quarterly,baseline,T2,M30,2024-09,6,6,26,-2.04131870733,1,5,0,CNY,7.60083137821,BR,-4.09482040682,7.60083137821,-4.09482040682,0,0
v2,quarterly,baseline,T2,M30,2024-10,6,6,29,0.175944043809,2,4,0,Si,6.6236639052,NG,-3.37959081343,6.6236639052,-3.37959081343,0,0
v2,quarterly,baseline,T2,M30,2024-11,6,6,29,-5.97131893675,2,4,0,MIX,4.23967558678,BR,-4.11765656475,4.23967558678,-4.11765656475,0,0
v2,quarterly,baseline,T2,M30,2024-12,6,6,41,-8.38225705568,2,4,0,CNY,2.34705833164,MIX,-3.846313362,2.34705833164,-3.846313362,0,0
v2,quarterly,baseline,T2,H1,2020-01,4,1,1,-0.891080966881,0,1,3,Si,0,GD,-0.891080966881,0,-0.891080966881,0,0
v2,quarterly,baseline,T2,H1,2020-02,5,4,11,5.07391462238,3,1,1,BR,2.46795052953,MIX,-0.528743503741,2.46795052953,-0.528743503741,0,0
v2,quarterly,baseline,T2,H1,2020-03,5,5,17,-6.35552795981,1,4,0,Si,1.74730040855,BR,-3.04761934225,1.74730040855,-3.04761934225,0,0
v2,quarterly,baseline,T2,H1,2020-04,5,5,15,4.63282621229,4,1,0,BR,4.15809445355,MIX,-2.95217427638,4.15809445355,-2.95217427638,0,0
v2,quarterly,baseline,T2,H1,2020-05,5,3,6,-1.31465933343,1,2,2,BR,0.988258001463,NG,-1.62477493597,0.988258001463,-1.62477493597,0,0
v2,quarterly,baseline,T2,H1,2020-06,5,5,11,-1.63999098938,1,4,0,BR,4.03413919393,MIX,-2.31770683846,4.03413919393,-2.31770683846,0,0
v2,quarterly,baseline,T2,H1,2020-07,5,5,11,-0.229731474227,3,2,0,NG,1.32858127178,GD,-2.09087471102,1.32858127178,-2.09087471102,0,0
v2,quarterly,baseline,T2,H1,2020-08,5,4,10,0.61281692439,2,2,1,Si,1.75872072607,GD,-1.84234749772,1.75872072607,-1.84234749772,0,0
v2,quarterly,baseline,T2,H1,2020-09,5,4,14,1.93203879625,3,1,1,BR,3.41227504483,MIX,-4.16312822426,3.41227504483,-4.16312822426,0,0
v2,quarterly,baseline,T2,H1,2020-10,5,5,10,-2.38657695275,2,3,0,Si,0.735578598053,NG,-1.93806090461,0.735578598053,-1.93806090461,0,0
v2,quarterly,baseline,T2,H1,2020-11,5,5,8,-0.45684782786,1,4,0,Si,3.17608128367,MIX,-1.42015694022,3.17608128367,-1.42015694022,0,0
v2,quarterly,baseline,T2,H1,2020-12,5,3,8,4.22540536649,2,1,2,NG,2.74704661186,MIX,-0.79335285695,2.74704661186,-0.79335285695,0,0
v2,quarterly,baseline,T2,H1,2021-01,5,4,8,4.88301395601,2,2,1,MIX,5.08000644094,NG,-0.945119371851,5.08000644094,-0.945119371851,0,0
v2,quarterly,baseline,T2,H1,2021-02,5,5,14,7.71740948927,3,2,0,BR,5.30897674715,Si,-0.304777173375,5.30897674715,-0.304777173375,0,0
v2,quarterly,baseline,T2,H1,2021-03,5,4,13,-3.57650324212,1,3,1,GD,2.89480888511,NG,-3.11354565932,2.89480888511,-3.11354565932,0,0
v2,quarterly,baseline,T2,H1,2021-04,5,5,9,1.61576553624,2,3,0,Si,2.082399297,BR,-1.00817410307,2.082399297,-1.00817410307,0,0
v2,quarterly,baseline,T2,H1,2021-05,5,4,12,-5.32270499631,1,3,1,MIX,0.225878461785,BR,-2.34271582539,0.225878461785,-2.34271582539,0,0
v2,quarterly,baseline,T2,H1,2021-06,5,5,16,2.46622167456,3,2,0,Si,2.95344299983,GD,-1.71732893651,2.95344299983,-1.71732893651,0,0
v2,quarterly,baseline,T2,H1,2021-07,5,5,9,3.82833886787,3,2,0,BR,3.96403772018,GD,-0.907633805619,3.96403772018,-0.907633805619,0,0
v2,quarterly,baseline,T2,H1,2021-08,5,4,15,-4.46892992458,1,3,1,NG,0.421363701516,MIX,-2.76257026478,0.421363701516,-2.76257026478,0,0
v2,quarterly,baseline,T2,H1,2021-09,5,5,14,9.1832424818,4,1,0,NG,6.70285903636,GD,-1.45721855509,6.70285903636,-1.45721855509,0,0
v2,quarterly,baseline,T2,H1,2021-10,5,4,6,1.03337804912,2,2,1,MIX,1.54842504223,NG,-1.11686836379,1.54842504223,-1.11686836379,0,0
v2,quarterly,baseline,T2,H1,2021-11,5,5,12,-3.70092100362,1,4,0,Si,1.55352813819,MIX,-2.00000098769,1.55352813819,-2.00000098769,0,0
v2,quarterly,baseline,T2,H1,2021-12,5,4,11,-1.56151975841,1,3,1,BR,2.78084358388,NG,-2.2601886596,2.78084358388,-2.2601886596,0,0
v2,quarterly,baseline,T2,H1,2022-01,5,5,16,19.9656045483,4,1,0,Si,7.23205717254,GD,-1.21740172156,7.23205717254,-1.21740172156,0,0
v2,quarterly,baseline,T2,H1,2022-02,5,5,12,-8.88193544805,1,4,0,Si,0.77744205967,NG,-4.6018232258,0.77744205967,-4.6018232258,0,0
v2,quarterly,baseline,T2,H1,2022-03,5,3,6,3.85436050236,2,1,2,GD,2.47218860376,NG,-1.00353867743,2.47218860376,-1.00353867743,0,0
v2,quarterly,baseline,T2,H1,2022-04,6,2,6,7.35816360162,1,1,4,NG,7.65578680738,MIX,-0.297623205758,7.65578680738,-0.297623205758,0,0
v2,quarterly,baseline,T2,H1,2022-05,6,3,6,4.39374811577,1,2,3,Si,5.80407327956,BR,-1.00163171905,5.80407327956,-1.00163171905,0,0
v2,quarterly,baseline,T2,H1,2022-06,6,5,8,10.3562564706,3,2,1,CNY,8.70307630586,NG,-0.676278500186,8.70307630586,-0.676278500186,0,0
v2,quarterly,baseline,T2,H1,2022-07,6,6,8,9.23369114276,2,4,0,NG,9.79373318024,BR,-1.00211647112,9.79373318024,-1.00211647112,0,0
v2,quarterly,baseline,T2,H1,2022-08,6,6,12,-1.65467137922,3,3,0,CNY,0.931943051436,BR,-2.12889554801,0.931943051436,-2.12889554801,0,0
v2,quarterly,baseline,T2,H1,2022-09,6,6,18,-1.55771033761,2,4,0,Si,4.53390614848,BR,-2.90603001761,4.53390614848,-2.90603001761,0,0
v2,quarterly,baseline,T2,H1,2022-10,6,5,7,-3.4825867727,1,4,1,CNY,1.11775705204,NG,-1.81904161435,1.11775705204,-1.81904161435,0,0
v2,quarterly,baseline,T2,H1,2022-11,6,6,11,-5.21119845935,0,6,0,MIX,-0.071824088296,Si,-2.00001276286,0,-2.00001276286,6,0
v2,quarterly,baseline,T2,H1,2022-12,6,6,10,-2.85099008669,1,5,0,Si,1.17465811786,NG,-1.00360054479,1.17465811786,-1.00360054479,0,0
v2,quarterly,baseline,T2,H1,2023-01,6,5,11,9.97041815014,3,2,1,GD,6.56619047792,MIX,-0.912259869835,6.56619047792,-0.912259869835,0,0
v2,quarterly,baseline,T2,H1,2023-02,6,6,12,-1.8086904046,2,4,0,GD,0.488366348891,CNY,-0.915096644714,0.488366348891,-0.915096644714,0,0
v2,quarterly,baseline,T2,H1,2023-03,6,6,14,-4.22714538545,2,4,0,BR,1.34509980873,GD,-3.31347669545,1.34509980873,-3.31347669545,0,0
v2,quarterly,baseline,T2,H1,2023-04,6,6,15,13.579435174,4,2,0,CNY,8.80678490562,MIX,-2.61006284531,8.80678490562,-2.61006284531,0,0
v2,quarterly,baseline,T2,H1,2023-05,6,5,13,0.153700853424,3,2,1,NG,2.52111114594,BR,-2.16670660159,2.52111114594,-2.16670660159,0,0
v2,quarterly,baseline,T2,H1,2023-06,6,6,16,6.63469916153,5,1,0,Si,3.1540167586,BR,-1.16584309796,3.1540167586,-1.16584309796,0,0
v2,quarterly,baseline,T2,H1,2023-07,6,5,10,-1.26333438138,1,4,1,BR,4.05392246848,MIX,-2.00000412372,4.05392246848,-2.00000412372,0,0
v2,quarterly,baseline,T2,H1,2023-08,6,5,16,2.16355283024,2,3,1,Si,4.62212730739,BR,-1.98588494151,4.62212730739,-1.98588494151,0,0
v2,quarterly,baseline,T2,H1,2023-09,6,5,12,6.13971420493,4,1,1,GD,5.93504092906,Si,-0.200208705288,5.93504092906,-0.200208705288,0,0
v2,quarterly,baseline,T2,H1,2023-10,6,6,12,24.3936141512,2,4,0,CNY,23.1040697413,BR,-2.35911610267,23.1040697413,-2.35911610267,0,0
v2,quarterly,baseline,T2,H1,2023-11,6,5,12,-1.7343743535,2,3,1,GD,1.37837765486,MIX,-1.64984665682,1.37837765486,-1.64984665682,0,0
v2,quarterly,baseline,T2,H1,2023-12,6,5,12,17.0803619533,4,1,1,NG,7.41217140502,Si,-0.776526984502,7.41217140502,-0.776526984502,0,0
v2,quarterly,baseline,T2,H1,2024-01,6,3,13,0.908545739311,1,2,3,NG,2.97520866664,GD,-1.42164411151,2.97520866664,-1.42164411151,0,0
v2,quarterly,baseline,T2,H1,2024-02,6,6,15,4.06917749399,2,4,0,NG,6.51453636547,CNY,-1.91307170206,6.51453636547,-1.91307170206,0,0
v2,quarterly,baseline,T2,H1,2024-03,6,5,8,0.910207650523,2,3,1,NG,3.86786983537,CNY,-1.04053616355,3.86786983537,-1.04053616355,0,0
v2,quarterly,baseline,T2,H1,2024-04,6,6,24,1.54332257138,2,4,0,GD,7.21701969955,CNY,-3.41598724336,7.21701969955,-3.41598724336,0,0
v2,quarterly,baseline,T2,H1,2024-05,6,6,15,16.1411380596,4,2,0,CNY,12.5834488484,NG,-1.23201061496,12.5834488484,-1.23201061496,0,0
v2,quarterly,baseline,T2,H1,2024-06,6,4,12,6.80897485512,2,2,2,Si,5.94095588336,CNY,-1.56310268401,5.94095588336,-1.56310268401,0,0
v2,quarterly,baseline,T2,H1,2024-07,6,6,16,8.78788533635,3,3,0,NG,6.46592537174,Si,-1.00000760536,6.46592537174,-1.00000760536,0,0
v2,quarterly,baseline,T2,H1,2024-08,6,5,13,0.902591743471,2,3,1,MIX,2.47176403222,GD,-2.04736075318,2.47176403222,-2.04736075318,0,0
v2,quarterly,baseline,T2,H1,2024-09,6,6,12,23.626298825,3,3,0,CNY,16.4515659621,GD,-0.911719271163,16.4515659621,-0.911719271163,0,0
v2,quarterly,baseline,T2,H1,2024-10,6,6,17,7.33173783834,4,2,0,GD,3.23666781901,CNY,-2.03560952744,3.23666781901,-2.03560952744,0,0
v2,quarterly,baseline,T2,H1,2024-11,6,5,15,5.91141388635,3,2,1,Si,4.58898901485,BR,-1.46516648596,4.58898901485,-1.46516648596,0,0
v2,quarterly,baseline,T2,H1,2024-12,6,5,11,-0.477170210547,1,4,1,MIX,2.77539352817,NG,-1.28807892746,2.77539352817,-1.28807892746,0,0
v2,quarterly,baseline,T3,M30,2020-01,4,3,4,-3.33550748281,0,3,1,GD,0,Si,-1.32897104408,0,-1.32897104408,0,0
v2,quarterly,baseline,T3,M30,2020-02,5,4,25,5.68159812808,2,2,1,MIX,7.72755499233,BR,-1.43049882439,7.72755499233,-1.43049882439,0,0
v2,quarterly,baseline,T3,M30,2020-03,5,5,28,17.4140086779,2,3,0,Si,16.9518498405,GD,-2.52432972566,16.9518498405,-2.52432972566,0,0
v2,quarterly,baseline,T3,M30,2020-04,5,5,24,-8.45815256658,1,4,0,NG,1.4529476119,BR,-4.24886226708,1.4529476119,-4.24886226708,0,0
v2,quarterly,baseline,T3,M30,2020-05,5,4,12,3.62923415489,3,1,1,MIX,2.05209974453,BR,-0.525906895631,2.05209974453,-0.525906895631,0,0
v2,quarterly,baseline,T3,M30,2020-06,5,5,17,-0.444044344616,1,4,0,NG,2.96134454545,BR,-2.05641953118,2.96134454545,-2.05641953118,0,0
v2,quarterly,baseline,T3,M30,2020-07,5,5,22,2.42195944779,3,2,0,GD,1.92935303646,NG,-1.35483631835,1.92935303646,-1.35483631835,0,0
v2,quarterly,baseline,T3,M30,2020-08,5,5,25,1.13518925864,2,3,0,MIX,4.6029130904,GD,-3.56620373774,4.6029130904,-3.56620373774,0,0
v2,quarterly,baseline,T3,M30,2020-09,5,5,24,14.2739725697,5,0,0,Si,4.34598158476,MIX,0.619838738786,4.34598158476,0,0,5
v2,quarterly,baseline,T3,M30,2020-10,5,5,13,10.0686053951,4,1,0,BR,5.00304968448,GD,-1.32801273083,5.00304968448,-1.32801273083,0,0
v2,quarterly,baseline,T3,M30,2020-11,5,5,18,8.8056865395,3,2,0,NG,7.248917819,Si,-1.16753002379,7.248917819,-1.16753002379,0,0
v2,quarterly,baseline,T3,M30,2020-12,5,5,20,-1.52171437652,3,2,0,NG,0.28167383389,BR,-1.95976626872,0.28167383389,-1.95976626872,0,0
v2,quarterly,baseline,T3,M30,2021-01,5,5,18,-6.18542294718,1,4,0,GD,1.09838944167,Si,-2.3957232787,1.09838944167,-2.3957232787,0,0
v2,quarterly,baseline,T3,M30,2021-02,5,5,17,-0.530520166956,2,3,0,MIX,3.54113249578,NG,-2.32177479644,3.54113249578,-2.32177479644,0,0
v2,quarterly,baseline,T3,M30,2021-03,5,5,24,0.838826176794,2,3,0,GD,5.43008880994,MIX,-3.6017153141,5.43008880994,-3.6017153141,0,0
v2,quarterly,baseline,T3,M30,2021-04,5,5,24,1.27462014971,3,2,0,NG,1.61044878863,BR,-1.13422468981,1.61044878863,-1.13422468981,0,0
v2,quarterly,baseline,T3,M30,2021-05,5,5,25,-9.50972968452,1,4,0,NG,0.94744561006,MIX,-5.4451785229,0.94744561006,-5.4451785229,0,0
v2,quarterly,baseline,T3,M30,2021-06,5,5,33,1.63617852823,3,2,0,NG,3.198775618,BR,-1.8970806626,3.198775618,-1.8970806626,0,0
v2,quarterly,baseline,T3,M30,2021-07,5,5,27,-5.42695937123,1,4,0,MIX,0.501409542247,NG,-2.70034075488,0.501409542247,-2.70034075488,0,0
v2,quarterly,baseline,T3,M30,2021-08,5,5,28,7.15189665874,3,2,0,BR,4.04195559916,Si,-2.03988123313,4.04195559916,-2.03988123313,0,0
v2,quarterly,baseline,T3,M30,2021-09,5,5,36,-1.24853842564,2,3,0,NG,3.72809220837,MIX,-3.28928844605,3.72809220837,-3.28928844605,0,0
v2,quarterly,baseline,T3,M30,2021-10,5,5,29,-1.24844236323,2,3,0,Si,3.06465144156,GD,-2.80324754077,3.06465144156,-2.80324754077,0,0
v2,quarterly,baseline,T3,M30,2021-11,5,5,31,5.69735021028,3,2,0,NG,4.43177749324,Si,-0.440317919628,4.43177749324,-0.440317919628,0,0
v2,quarterly,baseline,T3,M30,2021-12,5,4,13,4.20362743349,3,1,1,MIX,4.01362085723,GD,-1.50043346902,4.01362085723,-1.50043346902,0,0
v2,quarterly,baseline,T3,M30,2022-01,5,5,34,-1.0552893998,2,3,0,MIX,2.78532678733,Si,-2.41543685209,2.78532678733,-2.41543685209,0,0
v2,quarterly,baseline,T3,M30,2022-02,5,5,26,21.1578680518,4,1,0,Si,10.1008733282,GD,-1.517725045,10.1008733282,-1.517725045,0,0
v2,quarterly,baseline,T3,M30,2022-03,5,4,8,7.4296446364,3,1,1,GD,4.18350002469,BR,-0.50301409492,4.18350002469,-0.50301409492,0,0
v2,quarterly,baseline,T3,M30,2022-04,6,4,12,2.22894053199,3,1,2,GD,1.31708510421,Si,-1.07313731385,1.31708510421,-1.07313731385,0,0
v2,quarterly,baseline,T3,M30,2022-05,6,5,13,5.38747096028,3,2,1,BR,2.96259973935,NG,-1.15000936765,2.96259973935,-1.15000936765,0,0
v2,quarterly,baseline,T3,M30,2022-06,6,4,9,-5.53876289652,0,4,2,MIX,0,BR,-2.81055031507,0,-2.81055031507,0,0
v2,quarterly,baseline,T3,M30,2022-07,6,6,18,-4.85156685957,2,4,0,NG,3.09416502128,Si,-3.17462768856,3.09416502128,-3.17462768856,0,0
v2,quarterly,baseline,T3,M30,2022-08,6,6,26,3.39863244083,2,4,0,MIX,4.05059954624,Si,-1.87613303391,4.05059954624,-1.87613303391,0,0
v2,quarterly,baseline,T3,M30,2022-09,6,6,37,-3.7348127758,2,4,0,Si,4.16022300196,MIX,-3.68488260809,4.16022300196,-3.68488260809,0,0
v2,quarterly,baseline,T3,M30,2022-10,6,5,11,8.28830666302,4,1,1,NG,7.8547312338,CNY,-2.37265647196,7.8547312338,-2.37265647196,0,0
v2,quarterly,baseline,T3,M30,2022-11,6,6,18,3.08178220623,5,1,0,BR,2.57568510948,Si,-1.00001164015,2.57568510948,-1.00001164015,0,0
v2,quarterly,baseline,T3,M30,2022-12,6,5,34,25.8089810498,4,1,1,CNY,12.9322158158,GD,-3.67445571681,12.9322158158,-3.67445571681,0,0
v2,quarterly,baseline,T3,M30,2023-01,6,6,28,3.65519758713,4,2,0,NG,3.33923157942,BR,-2.61981737789,3.33923157942,-2.61981737789,0,0
v2,quarterly,baseline,T3,M30,2023-02,6,6,31,1.78171720238,3,3,0,BR,3.80503893293,CNY,-1.52402614001,3.80503893293,-1.52402614001,0,0
v2,quarterly,baseline,T3,M30,2023-03,6,6,27,11.2176418137,5,1,0,Si,6.59206900146,CNY,-3.90734894359,6.59206900146,-3.90734894359,0,0
v2,quarterly,baseline,T3,M30,2023-04,6,6,26,24.2062598228,4,2,0,CNY,11.9542847801,GD,-1.98610622155,11.9542847801,-1.98610622155,0,0
v2,quarterly,baseline,T3,M30,2023-05,6,6,35,1.80435071626,4,2,0,GD,2.86718423496,MIX,-3.10008295362,2.86718423496,-3.10008295362,0,0
v2,quarterly,baseline,T3,M30,2023-06,6,6,32,6.24439427694,4,2,0,NG,4.95310938621,GD,-2.47982160522,4.95310938621,-2.47982160522,0,0
v2,quarterly,baseline,T3,M30,2023-07,6,6,33,-1.32751829011,3,3,0,CNY,6.06681085866,NG,-4.61500495747,6.06681085866,-4.61500495747,0,0
v2,quarterly,baseline,T3,M30,2023-08,6,6,42,5.35556251336,4,2,0,Si,3.77476522978,GD,-2.756940765,3.77476522978,-2.756940765,0,0
v2,quarterly,baseline,T3,M30,2023-09,6,6,30,-3.65234478745,3,3,0,GD,4.15445434015,BR,-7.46408023867,4.15445434015,-7.46408023867,0,0
v2,quarterly,baseline,T3,M30,2023-10,6,6,35,30.8063279363,6,0,0,Si,11.060344182,MIX,1.1297862252,11.060344182,0,0,6
