generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_a,instrument_b,overlapping_months,pearson_monthly_R,covariance_monthly_R,same_sign_months,opposite_sign_months,same_sign_share,opposite_sign_share,both_negative_months,both_positive_months,sample_flag
v3,perpetual,walk_forward,T2,M30,CNYRUBF,GLDRUBF,12,0.00276626490104,0.014202626891,6,6,0.5,0.5,3,3,ADEQUATE
v3,perpetual,walk_forward,T2,M30,CNYRUBF,IMOEXF,12,-0.553347874552,-2.62073657102,3,9,0.25,0.75,0,3,ADEQUATE
v3,perpetual,walk_forward,T2,M30,CNYRUBF,USDRUBF,12,-0.296057295316,-2.09605258579,6,6,0.5,0.5,2,4,ADEQUATE
v3,perpetual,walk_forward,T2,M30,GLDRUBF,IMOEXF,12,0.435702248446,3.9484355884,5,7,0.416666666667,0.583333333333,1,4,ADEQUATE
v3,perpetual,walk_forward,T2,M30,GLDRUBF,USDRUBF,12,0.329700531316,4.46638531971,6,6,0.5,0.5,2,4,ADEQUATE
v3,perpetual,walk_forward,T2,M30,IMOEXF,USDRUBF,12,0.170661736736,2.13266633017,7,5,0.583333333333,0.416666666667,1,6,ADEQUATE
v3,perpetual,walk_forward,T2,H1,CNYRUBF,GLDRUBF,11,0.512369552799,1.10823796692,7,3,0.636363636364,0.272727272727,2,4,ADEQUATE
v3,perpetual,walk_forward,T2,H1,CNYRUBF,IMOEXF,11,0.329187710735,1.03445398191,5,3,0.454545454545,0.272727272727,0,5,ADEQUATE
v3,perpetual,walk_forward,T2,H1,CNYRUBF,USDRUBF,12,-0.00107646264497,-0.0123066308651,5,3,0.416666666667,0.25,1,4,ADEQUATE
v3,perpetual,walk_forward,T2,H1,GLDRUBF,IMOEXF,11,0.00861062594745,0.0211664607478,4,5,0.363636363636,0.454545454545,1,3,ADEQUATE
v3,perpetual,walk_forward,T2,H1,GLDRUBF,USDRUBF,11,-0.339251322245,-3.21597199662,4,4,0.363636363636,0.363636363636,2,2,ADEQUATE
v3,perpetual,walk_forward,T2,H1,IMOEXF,USDRUBF,11,0.296426909853,4.08249994669,7,3,0.636363636364,0.272727272727,2,4,ADEQUATE
v3,perpetual,walk_forward,T3,M30,CNYRUBF,GLDRUBF,12,0.609525746753,7.89857624806,5,5,0.416666666667,0.416666666667,3,2,ADEQUATE
