generation,futures_type,lifecycle_stage,strategy,timeframe,YYYY-MM,instrument,coverage_start_date,instrument_available,partial_coverage_month,coverage_status,trades,net_R,positive_month,negative_month,zero_month
v2,quarterly,baseline,T2,M30,2020-11,Si,2020-01-01,true,false,AVAILABLE,3,-1.47015710137,false,true,false
v2,quarterly,baseline,T2,M30,2020-11,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-11,GD,2020-01-01,true,false,AVAILABLE,2,-1.1261909338,false,true,false
v2,quarterly,baseline,T2,M30,2020-11,BR,2020-01-01,true,false,AVAILABLE,3,4.53035571976,true,false,false
v2,quarterly,baseline,T2,M30,2020-11,MIX,2020-01-01,true,false,AVAILABLE,5,6.57241366827,true,false,false
v2,quarterly,baseline,T2,M30,2020-11,NG,2020-02-03,true,false,AVAILABLE,4,4.73491758671,true,false,false
v2,quarterly,baseline,T2,M30,2020-12,Si,2020-01-01,true,false,AVAILABLE,6,-2.5277095264,false,true,false
v2,quarterly,baseline,T2,M30,2020-12,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2020-12,GD,2020-01-01,true,false,AVAILABLE,3,-1.76516064667,false,true,false
v2,quarterly,baseline,T2,M30,2020-12,BR,2020-01-01,true,false,AVAILABLE,1,0.250191948191,true,false,false
v2,quarterly,baseline,T2,M30,2020-12,MIX,2020-01-01,true,false,AVAILABLE,6,6.46099821681,true,false,false
v2,quarterly,baseline,T2,M30,2020-12,NG,2020-02-03,true,false,AVAILABLE,2,-1.71379392783,false,true,false
v2,quarterly,baseline,T2,M30,2021-01,Si,2020-01-01,true,false,AVAILABLE,3,-1.26173962151,false,true,false
v2,quarterly,baseline,T2,M30,2021-01,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-01,GD,2020-01-01,true,false,AVAILABLE,2,-0.557508957864,false,true,false
v2,quarterly,baseline,T2,M30,2021-01,BR,2020-01-01,true,false,AVAILABLE,4,1.29685327034,true,false,false
v2,quarterly,baseline,T2,M30,2021-01,MIX,2020-01-01,true,false,AVAILABLE,3,4.32051702348,true,false,false
v2,quarterly,baseline,T2,M30,2021-01,NG,2020-02-03,true,false,AVAILABLE,3,1.51170261989,true,false,false
v2,quarterly,baseline,T2,M30,2021-02,Si,2020-01-01,true,false,AVAILABLE,2,0.11578241396,true,false,false
v2,quarterly,baseline,T2,M30,2021-02,CNY,2022-04-21,false,false,NOT_YET_AVAILABLE,0,0,false,false,false
v2,quarterly,baseline,T2,M30,2021-02,GD,2020-01-01,true,false,AVAILABLE,3,0.81120453076,true,false,false
