generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_a,instrument_b,overlapping_months,partial_overlap_months,instrument_a_negative_months,instrument_b_negative_months,both_negative_months,either_negative_months,both_positive_months,opposite_sign_months,probability_both_negative_given_a_negative,probability_both_negative_given_b_negative,average_combined_R_when_both_negative,worst_combined_R_when_both_negative,average_combined_R_when_opposite_sign
v2,quarterly,baseline,T2,M30,NG,Si,59,1,30,31,16,45,12,29,0.533333333333,0.516129032258,-4.18936054692,-9.58101160191,1.66065081352
v2,quarterly,baseline,T2,H1,BR,CNY,33,1,19,13,9,23,5,10,0.473684210526,0.692307692308,-2.09343633201,-4.24972657432,2.47867663326
v2,quarterly,baseline,T2,H1,BR,GD,60,0,29,33,18,44,9,17,0.620689655172,0.545454545455,-2.52662921335,-4.80674427024,2.11880012066
v2,quarterly,baseline,T2,H1,BR,MIX,60,0,29,34,15,48,8,25,0.51724137931,0.441176470588,-2.65259989492,-4.7332263535,0.684668448797
v2,quarterly,baseline,T2,H1,BR,NG,59,1,29,26,12,43,9,25,0.413793103448,0.461538461538,-2.66453949643,-7.7248601239,1.32012229793
v2,quarterly,baseline,T2,H1,BR,Si,60,0,29,23,11,41,8,26,0.379310344828,0.478260869565,-1.79325755409,-3.36203931166,1.29447542538
v2,quarterly,baseline,T2,H1,CNY,GD,33,1,13,14,5,22,5,11,0.384615384615,0.357142857143,-2.37591967149,-4.18762527446,4.15206959994
v2,quarterly,baseline,T2,H1,CNY,MIX,33,1,13,20,8,25,5,12,0.615384615385,0.4,-1.68221220941,-3.24951346421,4.32186984875
v2,quarterly,baseline,T2,H1,CNY,NG,33,1,13,13,4,22,5,16,0.307692307692,0.307692307692,-2.85849546009,-5.36129701878,3.43015666016
v2,quarterly,baseline,T2,H1,CNY,Si,33,1,13,17,8,22,7,11,0.615384615385,0.470588235294,-2.28436488106,-3.70310271593,4.76622831767
