generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,months_observed,months_with_trades,total_trades,total_net_R,PF,expectancy_R,positive_months,negative_months,positive_month_share,mean_monthly_R,median_monthly_R,monthly_R_std,best_month_R,worst_month_R,longest_negative_month_streak,contribution_to_portfolio_total_R,contribution_to_positive_R,contribution_to_negative_R,share_of_portfolio_losses,number_of_months_in_which_instrument_was_worst,number_of_months_in_which_instrument_was_best
v2,quarterly,baseline,T3,H1,MIX,59,47,144,13.6404934543,1.21106249394,0.094725648988,21,26,0.35593220339,0.23119480431,0,1.95737083105,6.32169802026,-3.75026062193,6,0.0900061440011,0.220268260195,0.520589781558,0.193075194366,14,10
v2,quarterly,baseline,T3,H1,NG,59,49,135,14.4664095074,1.23155924272,0.107158588944,27,22,0.457627118644,0.245193381481,0,1.95995681272,6.22712128949,-3.70825971601,3,0.0954559115962,0.226106876702,0.527324895834,0.195573098751,13,10
v2,quarterly,walk_forward,T2,M30,Si,12,11,40,4.45719218963,1.23204730738,0.111429804741,5,6,0.416666666667,0.371432682469,-0.010205464472,3.07146899448,6.58116157236,-3.04026829637,1,0.316468159057,0.501312513511,0.662444081438,0.177380956106,2,2
v2,quarterly,walk_forward,T2,M30,CNY,12,12,37,-2.81834566699,0.843155281885,-0.0761715045131,5,7,0.416666666667,-0.234862138916,-0.986498463329,1.9733254439,4.3502492173,-2.24239185003,3,-0.200107293308,0.271288809771,0.682211791046,0.18267410511,2,2
v2,quarterly,walk_forward,T2,M30,GD,12,12,28,-0.259519606092,0.974980704574,-0.00926855736044,7,5,0.583333333333,-0.021626633841,0.109037322272,0.889546559478,1.63685577522,-1.63871191662,3,-0.0184263295109,0.127309513263,0.254349610966,0.0681065442991,1,1
v2,quarterly,walk_forward,T2,M30,BR,12,11,24,-1.79540289947,0.900412899914,-0.0748084541447,5,6,0.416666666667,-0.149616908289,-0.117730346246,2.79935708844,5.10862153932,-3.67729351793,2,-0.127476632415,0.407268018363,0.873412869124,0.233871528392,4,2
v2,quarterly,walk_forward,T2,M30,MIX,12,12,45,14.2456837403,1.95156209336,0.316570749784,9,3,0.75,1.18714031169,0.573073715392,2.24949061915,5.23967673134,-1.99135768484,2,1.01146755984,0.617006399088,0.273148749192,0.0731403414241,0,2
v2,quarterly,walk_forward,T2,M30,NG,12,12,36,0.254564890252,1.01106952676,0.00707124695145,4,8,0.333333333333,0.0212137408543,-0.482680746168,3.95466153758,6.34455468674,-8.50422827606,5,0.0180745363339,0.536819348862,0.989016903091,0.264826524669,3,3
v2,quarterly,walk_forward,T2,H1,Si,12,11,21,4.56047555992,1.42656066487,0.217165502853,4,7,0.333333333333,0.380039629993,-0.240101323072,2.32154353122,6.75168539549,-1.59255634946,3,0.136029964124,0.251774972391,0.662815977223,0.214205370457,3,1
v2,quarterly,walk_forward,T2,H1,CNY,12,8,16,15.3446243376,3.22401094823,0.959039021102,4,4,0.333333333333,1.2787186948,0,3.35694948534,8.32026592595,-1.08011186154,2,0.45769978826,0.441305148197,0.383083463943,0.123802892703,1,3
v2,quarterly,walk_forward,T2,H1,GD,12,9,15,-6.47578387663,0.210757985684,-0.431718925109,2,7,0.166666666667,-0.539648656386,-0.600253872272,0.68621153075,0.374423270578,-2.04736075318,2,-0.193159822224,0.0121854885609,0.74142076312,0.239608450439,4,0
v2,quarterly,walk_forward,T2,H1,BR,12,8,15,3.18424283208,1.69237628994,0.212282855472,5,3,0.416666666667,0.26535356934,0,1.10797937044,2.07646972485,-1.46516648596,2,0.0949796644053,0.139759847217,0.298786068867,0.0965601053209,1,0
v2,quarterly,walk_forward,T2,H1,MIX,12,12,27,11.3487152854,2.53459444779,0.42032278835,8,4,0.666666666667,0.945726273786,0.671768807123,1.6417825306,3.18172551857,-1.45891727918,1,0.3385097262,0.335064423054,0.322829244289,0.1043302519,1,4
v2,quarterly,walk_forward,T2,H1,NG,12,12,23,5.56324789852,1.47202047856,0.241880343414,5,7,0.416666666667,0.463603991543,-0.500853674848,1.88485369331,3.86786983537,-1.70495950623,4,0.165940679235,0.280068375689,0.685365880369,0.221492929181,2,4
v2,quarterly,walk_forward,T3,M30,Si,12,11,45,16.9081811008,1.91816221228,0.375737357794,6,5,0.5,1.40901509173,0.297865795428,3.09069324621,6.6666028331,-1.51564072849,2,0.573013855454,0.419025120124,0.216302604183,0.0726579298351,0,3
v2,quarterly,walk_forward,T3,M30,CNY,12,12,50,10.324117699,1.41937102553,0.20648235398,7,5,0.583333333333,0.860343141582,0.520277848804,3.35911815461,8.9317711883,-5.08742205694,2,0.349881660931,0.346435845732,0.341899511792,0.114847025685,1,3
v2,quarterly,walk_forward,T3,M30,GD,12,12,54,3.81724276805,1.14249694595,0.0706896808898,2,10,0.166666666667,0.318103564004,-0.967668513753,4.93356482895,15.5247749628,-3.25570457738,6,0.129365363589,0.334056647902,0.603527866418,0.202730270111,3,1
v2,quarterly,walk_forward,T3,M30,BR,12,12,53,-19.1520546337,0.352014739624,-0.36135952139,1,11,0.0833333333333,-1.59600455281,-1.47192591928,1.11360182042,0.800117348651,-3.79813706917,7,-0.649058145292,0.0154101582716,0.890166912217,0.299014823671,4,1
v2,quarterly,walk_forward,T3,M30,MIX,12,12,58,10.892395611,1.40866979693,0.187799924327,7,5,0.583333333333,0.907699634246,0.357529662916,2.87008620514,5.64779730754,-4.34273314216,3,0.369140451416,0.376410954722,0.385982399796,0.129654851951,1,2
v2,quarterly,walk_forward,T3,M30,NG,12,12,64,6.71757340881,1.21345609271,0.104962084513,5,7,0.416666666667,0.559797784067,-0.268084882575,3.88244799336,9.56200143143,-3.48449650104,2,0.227656813902,0.362112395052,0.539119977033,0.181095098748,3,2
v2,quarterly,walk_forward,T3,H1,Si,8,7,20,7.79667610589,1.89862831728,0.389833805294,4,3,0.5,0.974584513236,0.0416717631645,2.6878129152,6.86236418872,-1.08147862726,2,0.268010239008,0.250135980074,0.207607526415,0.08833201266,1,1
v2,quarterly,walk_forward,T3,H1,CNY,8,7,18,17.4769559152,2.82002338792,0.970941995291,3,4,0.375,2.18461948941,-0.486975919327,5.27320259515,11.4016327218,-2.79466687934,1,0.600769234013,0.594505706401,0.579602814776,0.246607066981,1,3
v2,quarterly,walk_forward,T3,H1,GD,8,5,8,3.25529177797,1.80936880802,0.406911472247,2,3,0.25,0.406911472247,0,2.77588940353,7.04333370194,-2.00041665661,2,0.111900445216,0.170960825094,0.311483944846,0.132528932041,0,1
v2,quarterly,walk_forward,T3,H1,BR,8,4,10,-1.95290132581,0.565846416235,-0.195290132581,2,2,0.25,-0.244112665726,0,1.23991907411,1.04097374674,-3.10554537355,1,-0.0671308573014,0.0386985127507,0.290499691004,0.123600636386,1,0
v2,quarterly,walk_forward,T3,H1,MIX,8,7,16,9.5706963825,2.80797372612,0.598168523906,6,1,0.75,1.19633704781,1.52816123379,1.25230983771,3.17800765698,-0.490302529723,1,0.328992071764,0.243504025201,0.0401012189626,0.0170621048391,0,2
v2,quarterly,walk_forward,T3,H1,NG,8,8,23,-7.05575526148,0.554788425006,-0.30677196789,3,5,0.375,-0.881969407684,-1.42330278634,2.15879157837,2.96474362359,-3.31978508186,3,-0.242541132699,0.10177589793,0.92101382746,0.391869247093,5,1
v2,quarterly,true_oos,T2,M30,Si,21,21,78,29.6960830685,1.83015050857,0.380719013699,8,13,0.380952380952,1.41409919374,-0.749142422379,6.18540396283,26.2171730469,-2.9741741642,5,0.212097716225,0.251297817772,0.374518510768,0.146573763007,2,5
