generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,total_net_R,positive_R_contribution,negative_R_contribution,worst_month_R,monthly_equity_drawdown_contribution,months_contributing_to_portfolio_drawdown,months_offsetting_portfolio_loss,offset_R_during_other_instrument_losses
v3,perpetual,baseline,T3,M30,IMOEXF,26.7553387091,30.987740105,-4.23240139588,-2.04844381561,1.19207087016,2,2,4.78060108869
v3,perpetual,baseline,T3,H1,USDRUBF,27.7780237436,39.9721654092,-12.1941416656,-2.18318094409,-1.85664869183,7,5,12.6518658864
v3,perpetual,baseline,T3,H1,CNYRUBF,26.6944517108,38.8785167929,-12.1840650821,-2.83525573256,-8.51526566402,9,2,3.4053317661
v3,perpetual,baseline,T3,H1,GLDRUBF,13.9365869262,19.2985409713,-5.3619540451,-1.65873334217,1.25660933274,5,2,4.25582449655
v3,perpetual,baseline,T3,H1,IMOEXF,13.7641557815,17.5651134773,-3.80095769581,-2.0004639751,-2.03379181167,4,2,4.14800106288
v3,perpetual,walk_forward,T2,M30,USDRUBF,22.9135864875,30.7838990063,-7.87031251882,-3.02416706705,-0.902641998708,2,3,3.81341792443
v3,perpetual,walk_forward,T2,M30,CNYRUBF,-3.36370960406,5.93432753633,-9.29803714039,-4.21782128928,-3.77143051607,2,3,3.10165311827
v3,perpetual,walk_forward,T2,M30,GLDRUBF,15.0185447965,23.2723758378,-8.25383104127,-2.35386695463,-5.46604199166,4,1,2.20321809778
v3,perpetual,walk_forward,T2,M30,IMOEXF,26.8291989396,31.6067210751,-4.77752213551,-1.94681440926,6.3909018207,1,3,7.39136045648
v3,perpetual,walk_forward,T2,H1,USDRUBF,24.8675297733,28.1997975127,-3.33226773938,-1.58672165566,-2.68891565684,3,1,0.0682959201926
v3,perpetual,walk_forward,T2,H1,CNYRUBF,10.4712291173,12.4516611686,-1.98043205128,-1.05519075196,0.341519253222,3,2,4.74523641317
v3,perpetual,walk_forward,T2,H1,GLDRUBF,-0.316717361884,5.49151616858,-5.80823353046,-2.16269826094,-2.71361554942,3,2,3.33193899238
v3,perpetual,walk_forward,T2,H1,IMOEXF,13.2845263882,15.6226418015,-2.33811541334,-1.00006607866,1.80184038673,1,2,2.78241724939
v3,perpetual,walk_forward,T3,M30,USDRUBF,13.7022379297,22.1869566542,-8.48471872453,-3.4752220837,1.38044421876,3,3,4.37834766389
v3,perpetual,walk_forward,T3,M30,CNYRUBF,8.28497826791,22.3893603292,-14.1043820613,-5.24964929374,-1.13519677768,3,3,6.59085814422
v3,perpetual,walk_forward,T3,M30,GLDRUBF,6.07178691064,15.8824954645,-9.81070855383,-5.2589281867,-4.86552026493,2,1,2.59075769759
v3,perpetual,walk_forward,T3,M30,IMOEXF,18.6068713999,21.7666330655,-3.15976166551,-1.25186682666,3.95814901533,2,2,7.14347767248
v3,perpetual,walk_forward,T3,H1,USDRUBF,12.0435361447,13.7268101219,-1.6832739772,-0.861255067059,-0.441685208249,1,2,1.12717418933
v3,perpetual,walk_forward,T3,H1,CNYRUBF,17.6745078037,20.1470901508,-2.47258234714,-0.908418429062,-1.56416391808,2,0,0
v3,perpetual,walk_forward,T3,H1,GLDRUBF,0.224042326471,3.67790278122,-3.45386045475,-1.15123566326,0.632654394247,0,3,3.67790278122
v3,perpetual,walk_forward,T3,H1,IMOEXF,8.35106281786,10.6679250013,-2.3168621834,-2.00037118008,-0.316491003316,2,1,1.28463127501
v3,perpetual,true_oos,T2,M30,USDRUBF,21.422458778,41.2381960021,-19.8157372241,-3.1294973361,1.30094401898,12,0,0
v3,perpetual,true_oos,T2,M30,CNYRUBF,0.167702173535,27.1991713807,-27.0314692072,-5.02273358486,-12.2817535097,11,2,11.1820970957
v3,perpetual,true_oos,T2,M30,GLDRUBF,9.77765663322,31.0919608184,-21.3143041852,-3.96346002367,-8.78466601043,10,3,7.7870974189
v3,perpetual,true_oos,T2,M30,IMOEXF,1.815171745,31.349068195,-29.53389645,-6.48907339305,0.982346579123,7,6,15.6700899838
v3,perpetual,true_oos,T2,H1,USDRUBF,33.9163232296,40.5751119534,-6.65878872386,-2.64148244386,-0.816135219464,3,5,10.7220699306
v3,perpetual,true_oos,T2,H1,CNYRUBF,8.76535174486,19.8283759341,-11.0630241893,-2.68851048492,-4.93148957131,6,2,2.07176208973
v3,perpetual,true_oos,T2,H1,GLDRUBF,27.1168783936,36.3428167509,-9.22593835729,-3.29592612873,-4.11435411439,6,5,17.4291619747
v3,perpetual,true_oos,T2,H1,IMOEXF,-4.26282094166,16.7609446356,-21.0237655773,-2.60831347009,-9.72505149422,8,1,0.93511466387
v3,perpetual,true_oos,T3,M30,USDRUBF,41.2276176804,52.9132760186,-11.6856583382,-4.07900083218,-8.98744962421,6,3,2.63790217321
v3,perpetual,true_oos,T3,M30,CNYRUBF,44.3686426937,58.2674887229,-13.8988460292,-4.91273402244,-9.76852373313,5,4,1.70596917383
v3,perpetual,true_oos,T3,M30,GLDRUBF,41.3638065699,53.9124783363,-12.5486717664,-5.67335450535,-10.0171659783,7,2,3.03116433966
v3,perpetual,true_oos,T3,M30,IMOEXF,29.5120922345,45.4925649679,-15.9804727334,-5.01929828609,2.10797196466,4,4,7.48881380224
v3,perpetual,true_oos,T3,H1,USDRUBF,23.2876897964,32.0306350986,-8.74294530218,-2.12815052154,-8.74294530218,8,1,0.917772370377
v3,perpetual,true_oos,T3,H1,CNYRUBF,21.624393858,30.7535815134,-9.12918765541,-2.12310961987,-7.06185772522,7,3,3.15304847893
v3,perpetual,true_oos,T3,H1,GLDRUBF,36.1997593417,42.3038829279,-6.1041235862,-1.97829543222,1.95235371181,4,3,1.66591438497
v3,perpetual,true_oos,T3,H1,IMOEXF,3.31921152411,14.3215253717,-11.0023138476,-2.81924261489,-0.624633720096,4,4,4.18097721279
