strategy_id,instrument,exit_configuration,friction_scenario,trades,wins,losses,win_rate,gross_pnl_price,net_pnl_price,profit_factor_ATR,expectancy_ATR,max_drawdown_ATR,net_result_ATR,profit_factor_R,expectancy_R,max_drawdown_R,net_result_R,average_holding_bars,median_holding_bars,max_consecutive_losses,sample_flag
RL-02,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,2247,1087,1159,0.48375611927013795,-0.4340473853204436,-0.4340473853204436,0.9236921856777472,-0.03990172127880166,105.51541540592925,-89.65916771346734,0.9236921856777472,-0.03990172127880166,105.51541540592925,-89.65916771346734,3.3658210947930574,2.0,11,BETTER_SAMPLE
RL-02,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,2152,847,1304,0.39358736059479554,-0.0612682812704044,-0.0612682812704044,0.9596834790160663,-0.024741794994786147,100.59920692158398,-53.244342828779786,0.9596834790160663,-0.024741794994786147,100.59920692158398,-53.244342828779786,4.5315985130111525,3.0,12,BETTER_SAMPLE
RL-02,CNYRUBF,STOP_1.0_TARGET_2.0,GROSS,2092,690,1401,0.3298279158699809,0.018038765549698965,0.018038765549698965,0.9660455912772521,-0.023024088961468278,98.78339346650976,-48.16639410739164,0.9660455912772521,-0.023024088961468278,98.78339346650976,-48.16639410739164,5.782026768642448,3.0,14,BETTER_SAMPLE
RL-02,CNYRUBF,TIME_15,GROSS,1151,528,570,0.4587315377932233,-0.5380000000000411,-0.5380000000000411,0.9352931200052662,-0.07485506887523008,160.02477546260963,-86.15818427538983,,,,,14.887923544743701,15.0,9,BETTER_SAMPLE
RL-02,CNYRUBF,TIME_30,GROSS,836,400,412,0.4784688995215311,0.3829999999999849,0.3829999999999849,1.0260529359062487,0.03786433647285664,148.57066552859726,31.654585291308152,,,,,29.541866028708135,30.0,11,BETTER_SAMPLE
RL-02,CNYRUBF,TIME_60,GROSS,588,279,297,0.4744897959183674,0.35899999999998045,0.35899999999998045,1.0023828658359466,0.0047508905352876335,122.59871827359095,2.7935236347491283,,,,,58.515306122448976,60.0,9,BETTER_SAMPLE
RL-03,CNYRUBF,STOP_0.5_TARGET_1.0,GROSS,2937,1309,1627,0.44569288389513106,-0.8473096146045993,-0.8473096146045993,0.7920368479645008,-0.058464242909134316,174.20948142412607,-171.7094814241275,0.7920368479645008,-0.11692848581826863,348.41896284825214,-343.418962848255,1.4919986380660537,1.0,14,BETTER_SAMPLE
RL-03,CNYRUBF,STOP_0.5_TARGET_1.5,GROSS,2752,1061,1690,0.3855377906976744,-0.22370742822029932,-0.22370742822029932,0.9247495929139687,-0.023495033014412168,67.65833085566179,-64.65833085566229,0.9247495929139687,-0.046990066028824336,135.31666171132358,-129.31666171132457,1.7772529069767442,1.0,14,BETTER_SAMPLE
RL-03,CNYRUBF,STOP_0.5_TARGET_2.0,GROSS,2596,857,1738,0.33012326656394453,-0.09542347501847104,-0.09542347501847104,0.9673949217704706,-0.011101598231539353,40.599043692211865,-28.81974900907616,0.9673949217704706,-0.022203196463078705,81.19808738442373,-57.63949801815232,2.1440677966101696,1.0,15,BETTER_SAMPLE
RL-03,CNYRUBF,STOP_1.0_TARGET_1.0,GROSS,2091,1018,1072,0.4868483978957437,-0.3694810976360472,-0.3694810976360472,0.9361589027208342,-0.03313800250928549,78.4251801632627,-69.29156324691596,0.9361589027208342,-0.03313800250928549,78.4251801632627,-69.29156324691596,3.4557627929220467,2.0,9,BETTER_SAMPLE
RL-03,CNYRUBF,STOP_1.0_TARGET_1.5,GROSS,1837,726,1109,0.39520958083832336,0.07386665242412782,0.07386665242412782,0.9672801123743009,-0.019991648832212265,54.49079063519458,-36.72465890477393,0.9672801123743009,-0.019991648832212265,54.49079063519458,-36.72465890477393,4.847033206314643,3.0,13,BETTER_SAMPLE
