generation,lifecycle_stage,strategy,timeframe,instrument,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,baseline,T2,H1,Si,126,53,73,0.420634920634921,52.9914120246451,0.420566762100358,2.04149691239679,1.95983885262928,-0.69698694746174,-0.2786701599245,1.7657995527649,7.80876634475,-1.00000779804,47.6825396825397,27,0.422670458255002,0.403778242651,1.85115244209577,1.19425042334,false
v2,baseline,T2,M30,BR,257,95,162,0.369649805447471,37.1685782615374,0.144624818138278,1.30390871205385,1.67863541315436,-0.754949296223002,-0.369965350281,1.68721198254581,11.5359552628,-3.32087807086,20.8268482490272,15.5,0.42754302125115,0.416475742603,1.60937841569795,1.01189050631,false
v2,baseline,T2,M30,CNY,138,42,96,0.304347826086957,13.7825014606254,0.099873198990039,1.21046971829407,1.88730924104229,-0.682130069407823,-0.4420105560455,1.5207732343259,7.49699281326,-1.09389140318,20.8876811594203,15,0.427682501942521,0.431857086536,1.49555094142578,0.8406997095165,false
v2,baseline,T2,M30,GD,218,73,145,0.334862385321101,-9.75061969689578,-0.0447276132885127,0.906141698135398,1.28953395258678,-0.716459298177452,-0.4036657417805,1.34519850135812,8.1706458863,-2.36044799019,21.4105504587156,16,0.444464858910667,0.413034717305,1.37903303025588,0.912360788106,false
v2,baseline,T2,M30,MIX,299,106,193,0.354515050167224,47.77540345746,0.159783958051706,1.33833838580716,1.7828432434533,-0.731637203878703,-0.443363771908,1.79068991429128,14.7045706407,-1.00000382685,18.3160535117057,11.5,0.480583485105541,0.476725634182,1.52738155073813,0.841637165572,false
v2,baseline,T2,M30,NG,257,98,159,0.381322957198444,70.7999119086131,0.275486038554915,1.59319334296906,1.94034455452793,-0.750653172547948,-0.376184315321,1.9452921152327,13.9093219482,-5.12451155193,24.7451361867704,18,0.455794788753479,0.432478344006,1.66735999897378,0.850615812389,false
v2,baseline,T2,M30,Si,269,89,180,0.330855018587361,19.7243036038041,0.0733245487130264,1.15269645622023,1.67300666841768,-0.717629388252053,-0.495229235195,1.58903241049525,8.50823344586,-1.00001518321,18.9776951672862,11,0.459865289636976,0.474439241111,1.43303111006964,0.782818038277,false
v2,baseline,T3,H1,BR,131,50,81,0.381679389312977,4.1911261960808,0.0319933297410748,1.06830659820367,1.31097372345405,-0.75750074045212,-0.493450873207,1.58078442895376,13.5001769173,-1.2907098997,38.8473282442748,24,0.604388773275766,0.633313755708,1.38511076278238,0.986123010607,false
v2,baseline,T3,H1,CNY,69,32,37,0.463768115942029,41.2335363413772,0.597587483208366,2.55541331631731,2.11697605429497,-0.716478308001675,-0.0778020467478,2.21664830830428,13.5545083328,-1.07159976687,39.5652173913044,33,0.571997376815913,0.612416384839,2.09476053901489,1.34114917923,false
v2,baseline,T3,H1,GD,114,49,65,0.429824561403509,33.353411956429,0.292573789091482,1.67854989335915,1.68382384650593,-0.756214715728642,-0.3392190104015,1.54132529088924,6.23822709697,-1.00062875878,51.3333333333333,36.5,0.608434128182175,0.615064561196,1.60848904029246,0.936250911348,false
v2,baseline,T3,H1,MIX,144,59,85,0.409722222222222,13.6404934542668,0.0947256489879636,1.21106249394237,1.32658034624647,-0.760326434991471,-0.3259312087085,1.29867566384737,6.33073533834,-1.00000211452,34.3680555555556,22,0.604687658928828,0.617001457761,1.47272862588389,1.04145950339,false
v2,baseline,T3,H1,NG,135,51,84,0.377777777777778,14.4664095073737,0.107158588943509,1.23155924271744,1.50863356495058,-0.743736932203639,-0.34687368039,1.35475361617579,4.4158798912,-2.56466015562,41.8,23,0.597045969758015,0.620722286173,1.45898451723953,1.00203638373,false
v2,baseline,T3,H1,Si,148,60,88,0.405405405405405,44.6657150627773,0.301795372045793,1.78672498293285,1.69066596151801,-0.645161848048899,-0.2344097626315,1.57596828326484,9.67844604257,-1.00001186032,34.7972972972973,24,0.570280151120984,0.6475528865665,1.7585361672466,1.139129803665,false
v2,baseline,T3,M30,BR,285,102,183,0.357894736842105,-0.920960510669499,-0.00323144038831403,0.993404346917541,1.3599066215643,-0.763013310984855,-0.454879600171,1.3076306568255,6.20627095408,-2.76919055248,22.9263157894737,16,0.639973269519767,0.701101462107,1.32347556675353,0.873709063509,false
v2,baseline,T3,M30,CNY,148,63,85,0.425675675675676,46.8197505851647,0.316349666115978,1.70182143167575,1.80208764313059,-0.784844363906619,-0.286738940162,1.76783921093415,9.13810611246,-1.6184916896,18.6824324324324,12.5,0.597255661270473,0.6591440972115,1.77654314435432,1.098989361435,false
v2,baseline,T3,M30,GD,272,97,175,0.356617647058824,8.53662800832,0.0313846617952941,1.06823817667294,1.37770204654894,-0.714859831468157,-0.37719393246,1.50055150632679,13.1606208736,-3.699242647,24.1213235294118,15,0.623673088809025,0.654363150029,1.36499542711356,1.004742794855,false
v2,baseline,T3,M30,MIX,285,118,167,0.414035087719298,52.1916912162603,0.183128741109685,1.43271430578488,1.46446064949058,-0.722243505530705,-0.268068596494,1.40792596486409,6.79205441491,-2.53640822606,19.7912280701754,13.5,0.608082777522122,0.616847909147,1.51529694339354,0.999071071607,false
v2,baseline,T3,M30,NG,297,131,166,0.441077441077441,71.4370048902101,0.240528635993973,1.57376788903866,1.49574094590169,-0.750030476041636,-0.192003538728,1.48630868568619,6.49717500353,-1.82181316367,21.1262626262626,16,0.582464330828024,0.58143337408,1.58829983659304,1.0773114277,false
v2,baseline,T3,M30,Si,276,116,160,0.420289855072464,79.5098641048101,0.288079217771051,1.65967157012361,1.72447701009158,-0.753309181661329,-0.322288710438,1.76160108191825,10.654853857,-1.00001657645,19.8695652173913,11,0.593886448947808,0.624411285274,1.64833510173758,1.0030335014835,false
v2,true_oos,T2,H1,BR,54,24,30,0.444444444444444,13.3486280406022,0.247196815566707,1.63680763323041,1.42960076231959,-0.6987263418356,-0.2701595966055,1.50278457404066,5.93134806894,-1.02722428677,29.1851851851852,20,0.36377965628075,0.3151144063145,1.573060285832,1.154538437815,false
v2,true_oos,T2,H1,CNY,40,8,32,0.2,-3.4516724789923,-0.0862918119748075,0.832868599045667,2.15009687402212,-0.645388983474041,-0.558668735391,1.52558666710763,6.5054505667,-1.05007191652,31.325,20.5,0.461615414360527,0.459667183191,1.15957883540504,0.5248712936755,false
v2,true_oos,T2,H1,GD,47,22,25,0.468085106382979,21.2495728232151,0.452118570706704,1.82195068309629,2.14100844142437,-1.03410451552484,-0.352850887555,2.16993519419375,8.75473535575,-2.51630612463,33.8297872340426,20,0.443039429329866,0.464170430499,1.98739262791779,1.16525010758,false
v2,true_oos,T2,H1,MIX,51,16,35,0.313725490196078,-7.0892927586289,-0.139005740365273,0.742414770777342,1.27705198640811,-0.786346415461677,-0.731027996785,1.25402179606338,4.55802557133,-1.76761027531,26.078431372549,22,0.454202800228257,0.478707518314,1.32766643133866,0.975226071809,false
v2,true_oos,T2,H1,NG,61,21,40,0.344262295081967,-7.2652993506021,-0.119103268042657,0.765097213709411,1.12684107848729,-0.773224049970877,-0.51132296719,1.09763592202965,3.17193035373,-1.81618667237,29.1639344262295,22,0.398713234217559,0.379657109913,1.25054304903597,0.813177823929,false
v2,true_oos,T2,H1,Si,44,18,26,0.409090909090909,21.9404984704156,0.498647692509445,2.25077969216001,2.19344198318934,-0.674671431807404,-0.230498295489,2.43572822381678,12.8936279959,-1.00181638526,41.0454545454545,24,0.419888232682363,0.4092123461665,1.78422404493467,0.858195180476,false
v2,true_oos,T2,M30,BR,61,22,39,0.360655737704918,9.4346481672642,0.154666363397774,1.36568211212192,1.60158109127167,-0.661541944633656,-0.32221838534,1.65971479469046,9.92624083113,-1.12836621154,17.2622950819672,15.5,0.438214515884541,0.401190272763,1.42761626921498,0.878738423523,false
