generation,futures_type,lifecycle_stage,strategy,timeframe,instrument_scope,source_family,source_path,source_sha256,source_schema_id,canonical_c1_field,trade_count,first_entry_time,last_exit_time,column_count,has_trade_id,has_direction,has_entry_time,has_exit_time,has_MAE,has_MFE,has_exit_reason,has_entry_price,has_exit_price,has_stop_field,has_holding_field,has_cost_field,has_gross_R_field
v1,perpetual,walk_forward,T3,M30,USDRUBF|CNYRUBF,walk_forward,TradingSystemLab/results/walk_forward/M30/T3/stitched_forward_trades.csv,368491b87637415b022052fb1dd52202c64c88bf19c5d7c35bbf1a4d348a61a2,V1_T3_M30_WF,net_R,60,2024-02-05T11:00:00+03:00,2024-10-16T10:30:00+03:00,32,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,true_oos,T3,M30,USDRUBF|CNYRUBF,true_oos_validation,TradingSystemLab/results/true_oos_validation/M30/T3/trades.csv,853f6633d3a4671d817bb42a6c2e9de84354b6bf97b41a3b462ff83005ae47d5,V1_T3_M30_TRUE_OOS,net_R,162,2025-01-22T15:30:00+03:00,2026-08-29T14:00:00+03:00,32,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,baseline,T3,H1,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T3/H1/CNYRUBF_trades.csv,8f33a53f023745c661c658bb6f5beb9b20ee4a10f388e32c0b4220c5ce03f0ff,V1_T3_MTF_BASELINE_C1_DERIVED,profit_R-2*0.001/initial_risk,52,2023-02-08T16:00:00+03:00,2024-12-09T16:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,baseline,T3,H1,USDRUBF|CNYRUBF,multitimeframe_research,TradingSystemLab/results/multitimeframe_research/T3/H1/USDRUBF_trades.csv,1067bf1e2fdbc9eb31529f7097882147883b6150dfa7a441b5dc3e9b2723991b,V1_T3_MTF_BASELINE_C1_DERIVED,profit_R-2*0.001/initial_risk,62,2023-02-08T16:00:00+03:00,2024-12-09T16:00:00+03:00,29,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,walk_forward,T3,H1,USDRUBF|CNYRUBF,walk_forward_validation,TradingSystemLab/results/walk_forward_validation/T3/trades.csv,12e2945aca6901934fae0e23ee34d2c46b0ede126936503084bbc5df17768edd,V1_T3_H1_WF_LEGACY_C1_DERIVED,profit_R-2*0.001/initial_risk,34,2024-02-20T14:00:00+03:00,2024-12-09T16:00:00+03:00,30,true,true,true,true,true,true,true,true,true,true,true,true,true
v1,perpetual,true_oos,T3,H1,USDRUBF|CNYRUBF,true_oos_validation,TradingSystemLab/results/true_oos_validation/T3/trades.csv,aa8da10eb878790ef353b106a47ccb4ea9685391c8c445d67e279799f8ec5e8c,V1_H1_TRUE_OOS,R_result,97,2025-02-12T12:00:00+03:00,2026-08-28T10:00:00+03:00,12,true,true,true,true,true,true,true,true,true,false,true,false,false
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/BR/M30/trades.csv,4c2761724189efc3cb77ebd43a04ea6f0dd86db474b0c0c36ebe2ebe4995de78,V2_T2_BASELINE,net_R,257,2020-01-15T22:00:00+03:00,2024-12-28T16:30:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/CNY/M30/trades.csv,af869feaaa3d1c5436352cc60eedc3fb8ca616044485b3495354e4685a65f208,V2_T2_BASELINE,net_R,138,2022-05-16T12:00:00+03:00,2024-12-28T11:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/GD/M30/trades.csv,d0cf37ea3e2567ada96c8ac2221e410bbc35ae1f7dbac9af4db240993884067d,V2_T2_BASELINE,net_R,218,2020-01-17T18:00:00+03:00,2024-12-17T21:00:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
v2,quarterly,baseline,T2,M30,Si|CNY|GD|BR|MIX|NG,baseline_v2,TradingSystemLab/results/baseline_v2/T2/MIX/M30/trades.csv,3a6a603ca6bcd44a3c71539482bbf89d640eddf38132d5c0f906ff0e5db07d4c,V2_T2_BASELINE,net_R,299,2020-01-24T13:30:00+03:00,2024-12-26T21:30:00+03:00,23,true,true,true,true,true,true,true,true,true,true,true,true,true
