generation,lifecycle_stage,strategy,timeframe,holding_bucket,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T3,H1,6–12h,9,1,8,0.111111111111111,-5.47052983495335,-0.60783664832815,0.204010913898582,1.40208931331515,-0.859077393533562,-0.892391022875486,0.736593371564144,1.40208931331515,-1.03051699648793,7.66666666666667,8,0.763944999148,0.872847459592,0.7539046206675,0.576535116861,true
v1,baseline,T3,H1,>96h,8,8,0,1,17.6849614677029,2.21062018346286,NA,2.21062018346286,NA,1.57624451750437,1.23566328169467,4.8003653994652,0.832049552247618,118.25,125,0.40234381523425,0.2717993304155,3.525638378135,2.70863570091,true
v1,baseline,T3,M30,12–24h,70,40,30,0.571428571428571,47.7371399890826,0.68195914270118,3.68688747978333,1.63759615047785,-0.592223534334383,0.334263099112048,1.69556323476198,7.69567657865381,-1.04915136128757,18.5428571428571,18.5,0.477546526410173,0.4564825378165,2.02049806798478,1.405137469665,false
v1,baseline,T3,M30,1–3h,41,1,40,0.024390243902439,-39.3128785499952,-0.958850696341346,0.00153330402177809,0.0603711621340807,-0.984331242803232,-1.00785071630989,0.201523459167332,0.0603711621340807,-1.05713615285933,1.75609756097561,2,0.950628849303732,1,0.314326770235532,0.196267907747,false
v1,baseline,T3,M30,24–48h,27,24,3,0.888888888888889,65.7074020735157,2.43360748420428,142.026444455468,2.75722185974315,-0.155307520106662,2.53852664542317,1.78872609824753,6.41261429040075,-0.356731892758711,31.2777777777778,26.5,0.300397359449996,0.220094217238,3.84504631569119,3.50099558193,true
v1,baseline,T3,M30,3–6h,38,12,26,0.315789473684211,-10.3694893935945,-0.272881299831434,0.458484959559071,0.731628636051555,-0.736501270238968,-0.46977808410635,0.883371785712487,3.31142925733304,-1.05501230452408,4.07894736842105,4,0.565153197141729,0.514205615507,1.30007461404937,1.048186343521,false
v1,baseline,T3,M30,48–96h,26,17,9,0.653846153846154,27.7942352904291,1.06900904963189,6.78676046725503,1.91748874667865,-0.533674822567549,0.742075130210702,1.79622780075759,5.3016926473162,-1.01456941145408,71.5961538461538,69.75,0.509881527300292,0.494239586906,2.36843322941692,1.80669580423,true
v1,baseline,T3,M30,6–12h,22,7,15,0.318181818181818,0.317730897896663,0.0144423135407574,1.03513031720756,1.33744018300778,-0.602956692210521,-0.356594467477259,1.16132800033588,3.67550579303075,-1.04519661010469,7.65909090909091,7.25,0.577315602467291,0.563903966257,1.40465862998414,0.967414562715,true
v1,baseline,T3,M30,<1h,9,0,9,0,-9.22060877756934,-1.02451208639659,0,NA,-1.02451208639659,-1.00972241222042,0.0284643490085444,-1.00350681282042,-1.09593625999077,0.5,0.5,1,1,0,0,true
v1,baseline,T3,M30,>96h,2,2,0,1,17.4378692891208,8.71893464456038,NA,8.71893464456038,NA,8.71893464456038,1.16872962624213,9.88766427080251,7.55020501831824,121.75,121.75,0.2522427287295,0.2522427287295,10.363366942535,10.363366942535,true
v1,true_oos,T2,H1,12–24h,16,4,12,0.25,-4.169893721963,-0.260618357622687,0.520549180898877,1.131833899811,-0.724769110100583,-0.668015491299,1.03387837651504,3.23250295756,-1.02818440505,18.9375,19,0.474737822695687,0.518396348743,1.22713945795988,0.7221294654395,true
v1,true_oos,T2,H1,1–3h,3,0,3,0,-2.677264982275,-0.892421660758333,0,NA,-0.892421660758333,-1.00915294772,0.19385226413958,-0.619234217985,-1.04887781657,1.66666666666667,2,0.354131312303333,0.513217073987,0.281852280112333,0.342144715991,true
v1,true_oos,T2,H1,24–48h,15,8,7,0.533333333333333,9.305538092749,0.620369206183267,3.31990781038056,1.66458816033963,-0.573023884281143,0.550356095684,1.51312955602295,5.02164235881,-0.79716158859,31.5333333333333,29,0.3994211862694,0.445210982764,2.10538487235637,1.75144921876,true
v1,true_oos,T2,H1,3–6h,8,0,8,0,-7.386723791957,-0.923340473994625,0,NA,-0.923340473994625,-1.003993636845,0.153714163379585,-0.655272345488,-1.03796632804,4.125,4.5,0.66046276386775,0.647649033745,0.205455403693375,0.1746701709665,true
v1,true_oos,T2,H1,48–96h,21,15,6,0.714285714285714,32.225902716238,1.53456679601133,7.92820832735467,2.45848717974827,-0.775234163331,0.472363691849,2.54733720403458,7.27638592676,-1.06840176724,72.1904761904762,70,0.570504866553162,0.607682470674,3.15497390411109,1.63610933859,true
v1,true_oos,T2,H1,6–12h,3,0,3,0,-3.06826201819,-1.02275400606333,0,NA,-1.02275400606333,-1.03128418268,0.0132203830722275,-1.00408076527,-1.03289707024,6,6,0.538402054281,0.526353123833,0.305285408673667,0.285653569235,true
