generation,lifecycle_stage,strategy,timeframe,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,walk_forward,T3,H1,34,17,17,0.5,32.9117048791005,0.967991319973545,3.38032767202098,2.74930874739993,-0.813326107452835,-0.040895921683022,3.05894174314189,13.9644679247218,-1.04752562596437,49.1176470588235,36.5,0.553509154037315,0.5218877826685,2.51080945216794,1.39956442914,false
v1,walk_forward,T3,M30,60,25,35,0.416666666666667,21.5261853352574,0.358769755587624,1.86427903046997,1.85730832343387,-0.711614935731122,-0.291326893648,1.78036493346691,7.69567657866,-1.09593625999,19.5166666666667,17.25,0.600328969375857,0.5852115207625,1.63511184116868,0.9504123600625,false
v2,baseline,T2,H1,707,262,445,0.370579915134371,194.36818518782,0.274919639586733,1.61480664821287,1.94852446051189,-0.710438704418639,-0.40049015925,1.90167029255364,21.5671653981,-2.59521059978,42.1131541725601,23,0.456169058364585,0.453725631785,1.69777956581222,0.953004600772,false
v2,baseline,T2,M30,1438,503,935,0.349791376912378,179.500078995144,0.124826202361018,1.26342603406161,1.71154289175196,-0.728776465835391,-0.4220087308245,1.68217627772382,14.7045706407,-5.12451155193,20.7534770514604,15.5,0.452245873880867,0.4500602374375,1.52385914837455,0.862892701696,false
v2,baseline,T3,H1,741,301,440,0.406207827260459,151.550692518305,0.204521852251424,1.47227192074294,1.56959401435559,-0.729311604097112,-0.309811135081,1.56518130566398,13.5545083328,-2.56466015562,39.693657219973,24,0.593902739650715,0.622664695383,1.59062742566393,1.03236937869,false
v2,baseline,T3,M30,1563,627,936,0.401151631477927,257.573978294096,0.164794611832435,1.36949736406822,1.52259465575066,-0.744757340664071,-0.322782695794,1.53069118821051,13.1606208736,-3.699242647,21.2789507357646,14.5,0.608210785410455,0.636941507287,1.51626541681315,0.999071071607,false
v2,true_oos,T2,H1,297,109,188,0.367003367003367,38.7324347460096,0.130412238202053,1.26998883491067,1.67148467089316,-0.763081885007152,-0.435869712292,1.71351768187743,12.8936279959,-2.51630612463,31.4276094276094,21,0.420513479895695,0.40579311437,1.50584456003319,0.845491905253,false
v2,true_oos,T2,M30,437,146,291,0.334096109839817,140.01132872641,0.320392056582173,1.63039345829348,2.48022481136491,-0.763235373652465,-0.516818126876,4.78112376996354,90.7159022833,-2.72360484797,17.0080091533181,13,0.471856168668363,0.480898508097,1.74859674421222,0.821914786518,false
v2,true_oos,T3,H1,327,122,205,0.373088685015291,64.3352683951956,0.19674394004647,1.40704236492239,1.82287482629247,-0.771002245914566,-0.393036798154,1.71458561847877,9.67156064673,-3.10688940021,31.6269113149847,23,0.623839471517699,0.648809381901,1.56088321150715,0.841757744697,false
v2,true_oos,T3,M30,698,274,424,0.392550143266476,155.750286568777,0.223137946373606,1.45560747392065,1.81606642203942,-0.806254511957607,-0.451717278305,1.89080312237843,15.0220942887,-3.44480811104,17.7901146131805,14.75,0.632964211196967,0.640775104859,1.57825788803423,0.902874011925,false
v2,walk_forward,T2,H1,117,44,73,0.376068376068376,33.5255220369588,0.28654292339281,1.67624286881242,1.88867450348919,-0.679125426254323,-0.310046815507,1.62443269970231,7.42532253399,-2.38548483767,41.2649572649573,23,0.460948432736442,0.470456235569,1.68664210907529,1.0304333271,false
v2,walk_forward,T2,M30,210,84,126,0.4,14.0841726475909,0.0670674887980518,1.13601833651767,1.4003607713744,-0.821794699586179,-0.436159865487,1.56329775027383,8.50823344586,-5.12451155193,19.1880952380952,17,0.424288362774386,0.386408315034,1.48991483421083,0.959748663294,false
v2,walk_forward,T3,H1,95,38,57,0.4,29.0909635943158,0.306220669413851,1.60681155026869,2.02714874299655,-0.841064712974614,-0.490302529723,2.05558069162355,13.5545083328,-2.56466015562,40.5157894736842,24,0.631313689500322,0.708651980761,1.71858101089117,0.936814998537,false
v2,walk_forward,T3,M30,324,123,201,0.37962962962963,29.5074559538598,0.0910723949193204,1.18734689622014,1.52039969872664,-0.7835905820374,-0.3957835080285,1.65676003577214,13.1606208736,-3.699242647,21.3101851851852,15.75,0.630582176592398,0.6410751426055,1.46412718222874,0.9091208557445,false
v3,baseline,T2,H1,176,70,106,0.397727272727273,80.4868887521349,0.457311867909857,2.13751848394068,2.16062061975171,-0.667514666325326,-0.2931256328985,2.07935960019581,18.3674323515,-1.05838180376,35.6534090909091,22,0.432861912103249,0.422103791442,1.99978431810943,1.069835733285,false
v3,baseline,T2,M30,366,135,231,0.368852459016393,96.9116378451959,0.264785895751901,1.60567243172798,1.90309868588949,-0.692669630951883,-0.385974837468,1.81510953229495,14.8739692779,-2.52449966961,18.4767759562842,12,0.445611675724627,0.4294164337585,1.67597213011345,0.981208115941,false
v3,baseline,T3,H1,184,85,99,0.46195652173913,82.1732181620042,0.446593576967414,2.18914684143125,1.77971629567215,-0.698006737072005,-0.08364996244695,1.86945436813906,15.1589397796,-1.12661816856,38.0326086956522,25,0.532499353348179,0.4845519685365,2.0001842584676,1.252126204345,false
