generation,lifecycle_stage,strategy,timeframe,direction,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,walk_forward,T2,M30,SHORT,117,46,71,0.393162393162393,14.7144301459328,0.125764360221648,1.26264356567624,1.53779916258605,-0.789075089197545,-0.486917660314,1.64998387214573,8.50823344586,-3.32087807086,20.7094017094017,17,0.438815841746718,0.462109516852,1.44308222356827,0.89888871668,false
v2,walk_forward,T3,H1,LONG,35,16,19,0.457142857142857,18.651313273311,0.532894664951743,2.10316730192849,2.22239818848638,-0.889845144340579,-0.213615786131,1.86357569388092,5.21935245504,-2.56466015562,53.5714285714286,43,0.646284123967194,0.725273978274,1.91198332706659,1.12979595275,false
v2,walk_forward,T3,H1,SHORT,60,22,38,0.366666666666667,10.4396503210048,0.173994172016747,1.33639796631036,1.88514914627667,-0.816674497291632,-0.5480990120595,2.14870025028369,13.5545083328,-1.07188225347,32.9,23,0.622580936061313,0.69525399804,1.60576299312218,0.9222470232405,false
v2,walk_forward,T3,M30,LONG,147,60,87,0.408163265306122,31.5556847883295,0.214664522369588,1.45657902731389,1.67781646788934,-0.794405784885416,-0.340763181705,1.95069180660377,13.1606208736,-3.699242647,25.2721088435374,16.5,0.6450881214213,0.603747039933,1.59227180745486,0.996367572587,false
v2,walk_forward,T3,M30,SHORT,177,63,114,0.355932203389831,-2.0482288344697,-0.0115719143190379,0.976826950724015,1.37047896619074,-0.775336874600757,-0.506730959959,1.35683700834512,7.24391279689,-1.82181316367,18.0197740112994,14.5,0.618534866480259,0.683124704409,1.35770198500705,0.899291951683,false
v3,baseline,T2,H1,LONG,119,51,68,0.428571428571429,76.5315082215431,0.643121917828093,2.73262949592889,2.36671053714469,-0.649569546659357,-0.217264810054,2.33417697479751,18.3674323515,-1.05306817286,39.2436974789916,24,0.42923415424952,0.421237709286,2.25151908590904,1.28457182205,false
v3,baseline,T2,H1,SHORT,57,19,38,0.333333333333333,3.9553805305918,0.0693926408875754,1.1487777965327,1.6074318941179,-0.699626985727587,-0.484118452121,1.32409628925049,4.66148629012,-1.05838180376,28.1578947368421,20,0.44043565218384,0.422969873598,1.47423278533482,0.854206107422,false
v3,baseline,T2,M30,LONG,221,91,130,0.411764705882353,73.4765906558016,0.33247326088598,1.79621328313132,1.82152899810839,-0.709865755169707,-0.317412070171,1.89007965130333,14.8739692779,-2.52449966961,20.1085972850679,15.5,0.428724398235499,0.401539394257,1.75159182973017,1.05424856883,false
v3,baseline,T2,M30,SHORT,145,44,101,0.303448275862069,23.4350471893943,0.161621015099271,1.34603685441548,2.07179963107312,-0.670536005721022,-0.412352551657,1.68926728316407,8.76468045159,-1.09128445245,15.9896551724138,8,0.471350215897712,0.47565388934,1.56071727759418,0.868040096379,false
v3,baseline,T3,H1,LONG,120,55,65,0.458333333333333,42.2843542033698,0.352369618361415,1.86759690060793,1.65493966566704,-0.749805037051035,-0.237043243481,1.55837727150847,6.41682327936,-1.12661816856,38.65,25,0.567979183880216,0.6050854063505,1.92848958179682,1.21866065897,false
v3,baseline,T3,H1,SHORT,64,30,34,0.46875,39.8888639586344,0.623263499353663,2.95866431971669,2.00847345068152,-0.598980575347388,-0.04081541156515,2.33374177507911,15.1589397796,-1.08151339639,36.875,25.5,0.465974671100609,0.409347705193,2.13461177722531,1.39249668164,false
v3,baseline,T3,M30,LONG,243,107,136,0.440329218106996,72.7858226105158,0.299530134199654,1.70724407523037,1.6420611014464,-0.756725847384186,-0.201333220758,1.67221075537872,10.0110673543,-1.15680299257,22.09670781893,15.5,0.592790405774512,0.567698787523,1.71060859060945,1.00610838852,false
v3,baseline,T3,M30,SHORT,155,67,88,0.432258064516129,57.6494222833228,0.371931756666599,1.86490727677312,1.85527310708056,-0.757430407853121,-0.311035467455,1.73150429378355,7.82165559416,-1.14672320561,16.341935483871,10.5,0.542451275469545,0.509205116583,1.78878378311065,1.02217080716,false
v3,true_oos,T2,H1,LONG,81,33,48,0.407407407407407,48.0286919143894,0.592946813757894,2.25113819383546,2.61868760783986,-0.799749982173458,-0.367807929868,2.38185365958663,11.2365496376,-1.06855884464,34.3703703703704,24,0.4462903085924,0.503600388853,2.04069788172286,0.942825373069,false
v3,true_oos,T2,H1,SHORT,91,30,61,0.32967032967033,17.5070405120081,0.192385060571518,1.36385156499748,2.18743089194827,-0.788785020433443,-0.611448263298,2.16828740230847,12.9932280859,-1.34605231801,33.7142857142857,21,0.483441994372287,0.459690491778,1.63057709596223,0.78030092397,false
v3,true_oos,T2,M30,LONG,174,53,121,0.304597701149425,-7.8269380801612,-0.0449824027595471,0.916388660198914,1.61856651777419,-0.773644326629695,-0.53689552629,1.77666198117454,14.6714150043,-2.84099867441,16.1551724137931,9.75,0.442812556340268,0.4390472770835,1.35453659764949,0.7525097840575,false
v3,true_oos,T2,M30,SHORT,187,63,124,0.336898395721925,41.0099274099114,0.219304424651933,1.44011248397937,2.13000772547487,-0.751456123346819,-0.524246828101,2.0203641034953,12.1494669734,-1.24349572858,16.7780748663102,7.5,0.504265084314103,0.505539081835,1.64039479769061,0.733253602538,false
v3,true_oos,T3,H1,LONG,91,48,43,0.527472527472527,81.8113677829996,0.899026019593402,4.16745929124388,2.24250149098957,-0.600667529872086,0.120484568753,2.14222812128991,10.1793183443,-1.0501541399,42,27,0.450861264822923,0.373258375335,2.07235964025314,1.13117996931,false
v3,true_oos,T3,H1,SHORT,108,38,70,0.351851851851852,2.6196867372663,0.0242563586783917,1.06242812691404,1.17323502577092,-0.599474917743269,-0.299378639565,1.07393288409469,4.18545152795,-1.04890433657,32,24,0.526776508845265,0.533872417388,1.13275797611446,0.7236682905515,false
v3,true_oos,T3,M30,LONG,170,81,89,0.476470588235294,106.8799969414,0.628705864361175,2.52048420628041,2.18732582674614,-0.789813427247616,-0.1498012659315,2.44474955430861,14.4040122767,-1.12769297394,18.25,16.5,0.569267189562324,0.60520794028,2.00679668469451,1.014500167015,false
v3,true_oos,T3,M30,SHORT,199,82,117,0.412060301507538,49.592162237071,0.249206845412417,1.55143360060981,1.7015282315927,-0.768659425243847,-0.378166168972,1.66994342812209,7.67417380585,-1.10303507146,18.9195979899498,14.5,0.604586481360965,0.63962931414,1.67940295911899,0.936545841309,false
v3,walk_forward,T2,H1,LONG,51,22,29,0.431372549019608,33.2034214180906,0.65104747878609,2.52378920710531,2.49970260212325,-0.751380545814517,-0.427085262873,2.91708541406323,18.3674323515,-1.05306817286,38.1176470588235,22,0.422740637989927,0.431187609688,2.44719904284377,1.43482481728,false
v3,walk_forward,T2,H1,SHORT,34,16,18,0.470588235294118,15.103146498868,0.444210191143176,2.23145351470983,1.71047713816961,-0.681360428435878,-0.0547684466494,1.51189716475543,4.66148629012,-1.05519075196,33.4117647058824,20.5,0.421467045455388,0.3523535647575,1.93238637444449,1.26829961918,false
v3,walk_forward,T2,M30,LONG,104,41,63,0.394230769230769,34.2371496887499,0.329203362391826,1.68279570076716,2.05804260330233,-0.795914238835646,-0.424111692629,2.28337086137911,14.8739692779,-2.52449966961,16.9230769230769,11.25,0.460241631275064,0.4528889552155,1.85399266330632,1.00752291281,false
v3,walk_forward,T2,M30,SHORT,89,33,56,0.370786516853933,27.1604709308431,0.30517383068363,1.74109385021736,1.93362533670632,-0.654449378222597,-0.344041691619,1.7345856194077,8.76468045159,-1.04432397114,17.8932584269663,16,0.453758714213774,0.416352314225,1.72250447429549,1.19418907336,false
v3,walk_forward,T3,H1,LONG,38,21,17,0.552631578947368,11.7286440845343,0.308648528540376,2.14217757727751,1.04749112445559,-0.604039384060765,0.1795671989925,1.09832820257287,3.24047022994,-1.0002052137,45.3421052631579,26,0.458216926595853,0.4052777101825,1.62227617086855,1.330705372405,false
v3,walk_forward,T3,H1,SHORT,28,15,13,0.535714285714286,26.5645050081619,0.948732321720068,5.15512254329792,2.19717994182083,-0.491784163011577,0.1237218145042,2.48409692983883,12.1271518237,-1.00010794393,47.5,42.5,0.394089473032411,0.29324170177,2.27193625608625,1.30386876181,true
v3,walk_forward,T3,M30,LONG,91,32,59,0.351648351648352,14.6580521424154,0.161077496070499,1.34080943360734,1.80211181205728,-0.728975014295213,-0.478524521303,1.60494343349502,5.55550281505,-1.30402417311,23.4230769230769,15.5,0.617037019121877,0.614269743725,1.6351733250681,0.757152592443,false
v3,walk_forward,T3,M30,SHORT,80,36,44,0.45,32.0078223657923,0.400097779572404,1.92285935684463,1.85253161130279,-0.788257173661545,-0.291202115448,1.79226548116435,7.82165559416,-1.14672320561,19.06875,15.25,0.562839853257041,0.6256766947815,1.80979815572352,0.917418506607,false
