generation,lifecycle_stage,strategy,timeframe,exit_reason_raw,trades,share_of_trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,walk_forward,T2,M30,EMA50_TREND_LOSS,6,0.0895522388059701,0,6,0,-3.228389414822,-0.538064902470333,0,NA,-0.538064902470333,-0.5370689229345,0.229335111094578,-0.161970987873,-0.838067456741,0.833333333333333,0.5,0.161653400060333,0,0.0615900555307667,0,true
v1,walk_forward,T2,M30,INITIAL_STOP,17,0.253731343283582,0,17,0,-17.56726736158,-1.03336866832824,0,NA,-1.03336866832824,-1.01761798556,0.0278663109790078,-1.00589628093,-1.09861697982,2.61764705882353,2.5,0.697687615005353,0.690318858759,0.298201375623253,0.158955432388,true
v1,walk_forward,T3,H1,ATR_TRAILING_STOP,34,1,17,17,0.5,32.9117048791005,0.967991319973545,3.38032767202098,2.74930874739993,-0.813326107452835,-0.040895921683022,3.05894174314189,13.9644679247218,-1.04752562596437,49.1176470588235,36.5,0.553509154037315,0.5218877826685,2.51080945216794,1.39956442914,false
v1,walk_forward,T3,M30,ATR_TRAILING_STOP,60,1,25,35,0.416666666666667,21.5261853352574,0.358769755587624,1.86427903046997,1.85730832343387,-0.711614935731122,-0.291326893648,1.78036493346691,7.69567657866,-1.09593625999,19.5166666666667,17.25,0.600328969375857,0.5852115207625,1.63511184116868,0.9504123600625,false
v2,baseline,T2,H1,ATR_TRAILING_STOP,462,0.653465346534653,259,203,0.560606060606061,405.76495212099,0.878279117145001,4.89337026681418,1.96905178954015,-0.513396361428121,0.240650544043,2.10618984477181,21.5671653981,-2.38548483767,55.9523809523809,41,0.400782505268332,0.3767454543965,2.40325391275948,1.6579957635,false
v2,baseline,T2,H1,EMA50_TREND_LOSS,79,0.111739745403112,3,76,0.0379746835443038,-41.5033548954705,-0.525358922727475,0.012585429139142,0.176331721071733,-0.553057237614285,-0.572170697801,0.234516363417798,0.360362018385,-0.924403885515,21.0632911392405,16,0.457114952147894,0.464751471178,0.466289324767072,0.269159953435,false
v2,baseline,T2,H1,INITIAL_STOP,166,0.234794908062235,0,166,0,-169.8934120377,-1.02345428938373,0,NA,-1.02345428938373,-1.000199750855,0.161776970086118,-1.00000011594,-2.59521059978,13.6144578313253,5,0.60986702174764,0.692504418571,0.320421618540735,0.2299221061175,false
v2,baseline,T2,M30,ATR_TRAILING_STOP,934,0.649513212795549,501,433,0.536402569593148,630.121536091405,0.674648325579663,3.74394205477151,1.71609284181283,-0.530348678191281,0.101695014905,1.85373052834584,14.7045706407,-2.67303061281,28.3559957173448,19.5,0.404972826238372,0.378538726623,2.17683511063591,1.541213645695,false
v2,baseline,T2,M30,EMA50_TREND_LOSS,154,0.107093184979138,2,152,0.012987012987013,-89.830970864011,-0.583317992623448,0.0125701202528929,0.5717804015025,-0.598516655704053,-0.6213661005155,0.238063699485494,0.648646331613,-1.07243145363,7.56493506493506,2.75,0.475479055997649,0.5141127809415,0.362464085880477,0.289339766411,false
v2,baseline,T2,M30,INITIAL_STOP,350,0.243393602225313,0,350,0,-360.79048623225,-1.03082996066357,0,NA,-1.03082996066357,-1.00029600318,0.261137585875594,-1.0000002337,-5.12451155193,6.26857142857143,2,0.56817477802974,0.639678998609,0.292359979437349,0.1735472909915,false
