generation,lifecycle_stage,strategy,timeframe,winners,avg_MFE_R,median_MFE_R,avg_final_R,median_final_R,avg_giveback_R,median_giveback_R,p75_giveback_R,p90_giveback_R,giveback_share_of_MFE,eligible_retention_trades,mean_retention_ratio,median_retention_ratio
v1,walk_forward,T3,M30,25,3.2766800094616,2.68964351806,1.85730832343387,1.34582804493,1.41937168602773,1.2546281605463,1.54761409228,1.87262916896,0.433173725212476,25,0.46644723241869,0.491715082817833
v2,baseline,T2,H1,262,3.61104946090245,2.86334320583,1.94852446051189,1.301735249385,1.66252500039057,1.524019350798,1.957015605665,2.526414100349,0.460399398676494,262,0.444877919755969,0.467634227410861
v2,baseline,T2,M30,503,3.31056505316669,2.55856435087,1.71154289175196,1.03604114077,1.59902216141473,1.47797363909,1.831126596225,2.42027002291,0.483005811918784,503,0.417637321625636,0.416918267587662
v2,baseline,T3,H1,301,3.08945583156604,2.56576914673,1.56959401435559,1.18055243777,1.51986181721045,1.449733395379,1.74028351832,2.03422418465,0.491951301482122,301,0.424174812009183,0.461924113420506
v2,baseline,T3,M30,627,2.97701399194633,2.3676567402,1.52259465575066,0.997646999879,1.45441933619567,1.347623812208,1.6655460102545,1.9716994724176,0.488549714623541,627,0.414336777468212,0.425216164384862
v2,true_oos,T2,H1,109,3.18185113736487,2.49599482502,1.67148467089316,0.944592716464,1.51036646647171,1.304178631878,1.78822126778,2.497564440282,0.474681687252836,109,0.417133753766165,0.406675006831345
v2,true_oos,T2,M30,146,4.14261330037039,2.57542515834,2.48022481136491,0.9556901725055,1.66238848900548,1.3628725530452,1.779138007562,2.55224704513,0.401289806329943,146,0.43318263948853,0.436158792090783
v2,true_oos,T3,H1,122,3.33497836074064,2.94503833454,1.82287482629247,1.408596410645,1.51210353444817,1.470549357985,1.8465450737045,2.326717212162,0.453407300103847,122,0.453081715283434,0.494653928825958
v2,true_oos,T3,M30,274,3.24758106698597,2.48979562029,1.81606642203942,1.15657052808,1.43151464494655,1.3580208647945,1.6877047549525,2.035845674138,0.440794121969406,274,0.449562603963729,0.465884086127923
v2,walk_forward,T2,H1,44,3.50117648235932,3.196823320165,1.88867450348919,1.58877248898,1.61250197887013,1.49847488351,1.814395118443,2.1963968057923,0.460560039459513,44,0.454205317526227,0.481338598996866
v2,walk_forward,T2,M30,84,2.95551056327808,2.18572945773,1.4003607713744,0.7814714218215,1.55514979190369,1.366922495383,1.69999684147475,2.28353839329,0.526186511131533,84,0.378176689568354,0.372379295880112
v2,walk_forward,T3,H1,38,3.59703099086079,2.872856281755,2.02714874299655,1.38878387517,1.56988224786424,1.436164498695,1.78981458938,2.04406134176,0.436438343693158,38,0.462617370993219,0.520764756149111
v2,walk_forward,T3,M30,123,2.98135349253893,2.32827795198,1.52039969872664,0.93090606902,1.46095379381229,1.312688150874,1.733402096265,2.045501623134,0.490030383001693,123,0.391362168892769,0.385550807267746
v3,baseline,T2,H1,70,4.03342314618314,3.33409761915,2.16062061975171,1.649910010155,1.87280252643144,1.6177251994016,2.0088583974665,2.827700475389,0.464320865566431,70,0.467670858823155,0.504583203102197
v3,baseline,T2,M30,135,3.52767577324864,2.8298381861,1.90309868588949,1.31946649909,1.62457708735915,1.56056494604,1.8460307170685,2.344654128092,0.460523356391984,135,0.431825740241678,0.444945307084559
v3,baseline,T3,H1,85,3.65222176400727,2.94902033598,1.77971629567215,1.32643622478,1.87250546833512,1.597298540997,1.89340955068,2.409915090402,0.512703113153945,85,0.414983804859651,0.454695635857252
v3,baseline,T3,M30,174,3.27686683888348,2.621836146875,1.7241599771791,1.087478956425,1.55270686170438,1.4089108479,1.79322630460357,2.008779040566,0.47383886439323,174,0.429128728393591,0.453441565885903
v3,true_oos,T2,H1,63,4.06387414966232,2.95556061925,2.4133272669391,1.09185270049,1.65054688272321,1.509844072071,2.179684141875,2.6713968656812,0.406151081932585,63,0.472128827459954,0.482213099726602
v3,true_oos,T2,M30,116,3.57761480209457,2.625807197995,1.8963320012668,1.0112855309195,1.68128280082777,1.5675034546,1.9653840655225,2.56587387906,0.469945171247457,116,0.408116996190518,0.432977287509015
