generation,lifecycle_stage,strategy,timeframe,entry_hour,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v2,baseline,T2,M30,18,202,66,136,0.326732673267327,-4.85376083489255,-0.0240285189846166,0.949974978823804,1.39655911270773,-0.713431340247079,-0.4006030033775,1.29954933894922,6.16188557193,-2.36044799019,24.5024752475248,16.5,0.466339069187419,0.48414168582,1.2656173787938,0.7845413847425,false
v2,baseline,T2,M30,19,171,64,107,0.374269005847953,46.2710885946201,0.270591161372047,1.60449108130369,1.9190096240793,-0.715378760247246,-0.403453680392,1.83617852207867,11.5359552628,-1.12292385496,25.0409356725146,17,0.425897445469212,0.412991993343,1.64596020764387,0.926053539888,false
v2,baseline,T2,M30,20,107,37,70,0.345794392523364,36.3210017816309,0.339448614781597,1.69155557719903,2.40112780906071,-0.750296102194503,-0.447744593225,2.25892702464568,14.7045706407,-2.67303061281,26.8878504672897,17.5,0.445031950872359,0.402564849344,1.82459697257902,0.976375782902,false
v2,baseline,T2,M30,21,80,31,49,0.3875,-8.37814883033537,-0.104726860379192,0.796319558058786,1.05663363433072,-0.839465132542608,-0.51098429343,1.17649130187966,3.43388315133,-3.32087807086,25.60625,17.75,0.517344587939584,0.5455719586565,1.36235578992935,0.775654969105,false
v2,baseline,T2,M30,22,45,19,26,0.422222222222222,27.8586000569925,0.619080001266499,2.59223364784121,2.38711330719184,-0.672944337678943,-0.163208978376,2.51393020288241,13.9093219482,-2.07393898693,23.9111111111111,17.5,0.379770226151336,0.332238179704,2.45724601118542,1.5755589799,false
v2,baseline,T2,M30,23,18,9,9,0.5,7.277778189747,0.4043210105415,1.63650931037432,2.07907437439367,-1.27043235331067,0.0059779811965,2.54007768262971,6.6896907639,-5.12451155193,24,18,0.337336101041081,0.3441129581815,2.98575033948519,2.20178364122,true
v2,baseline,T2,M30,8,2,0,2,0,-0.986070489919,-0.4930352449595,0,NA,-0.4930352449595,-0.4930352449595,0.3809173080215,-0.112117936938,-0.873952552981,2.25,2.25,0.3761800060555,0.3761800060555,0.57593549302245,0.57593549302245,true
v2,baseline,T2,M30,9,9,2,7,0.222222222222222,7.1431035979383,0.7936781775487,2.41354095909779,6.0982219856249,-0.721905767615929,-0.707763564711,4.03584276445856,12.1677500369,-1.01090238053,27.5,5,0.532852976190033,0.625311605227,2.61591125051422,0.834778681999,true
v2,baseline,T3,H1,0,13,5,8,0.384615384615385,-0.412975512495,-0.031767347115,0.937017656225922,1.2288058005108,-0.819625564381125,-0.27818680676,1.16717537589465,2.74000405215,-1.07142043015,43.5384615384615,37,0.678782866876823,0.837819686697,1.28322101824128,0.986123010607,true
v2,baseline,T3,H1,10,50,15,35,0.3,2.002145275676,0.04004290551352,1.08262164347836,1.7489895041062,-0.692362779597629,-0.5176147754885,1.41117864476175,4.67510537206,-1.07188225347,23.46,9,0.613974745047648,0.6975696598265,1.43462976260099,1.0436015284,false
