trade_id,family,submodel,instrument,variant_id,signal_time,entry_time,exit_time,side,raw_entry_price,entry_price,stop_price,target_price,exit_price,exit_reason,friction,pnl_native,pnl,pnl_R,pnl_bps,bars_held,entry_z,exit_z,w_cny,w_si,beta_at_entry,entry_price_cny,entry_price_si,exit_price_cny,exit_price_si,pnl_cny,pnl_si,total_pnl
6,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 22:10:00+03:00,2026-01-05 22:10:00+03:00,2026-01-05 22:12:00+03:00,SHORT,11.433,11.431,11.44,11.412,11.442,STOP,STRESS,-0.011000000000001009,-0.011000000000001009,-1.571428571428789,-9.62127175719497,2,,,,,,,,,,,,
7,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 22:20:00+03:00,2026-01-05 22:20:00+03:00,2026-01-05 23:50:00+03:00,SHORT,11.431,11.431,11.44,11.404,11.434,DAY_END,GROSS,-0.0030000000000001137,-0.0030000000000001137,-0.3333333333333333,-2.624442306010072,80,,,,,,,,,,,,
7,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 22:20:00+03:00,2026-01-05 22:20:00+03:00,2026-01-05 23:50:00+03:00,SHORT,11.431,11.43,11.44,11.404,11.434999999999999,DAY_END,BASE,-0.004999999999999005,-0.004999999999999005,-0.555555555555424,-4.374070510015751,80,,,,,,,,,,,,
7,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-05 22:20:00+03:00,2026-01-05 22:20:00+03:00,2026-01-05 23:50:00+03:00,SHORT,11.431,11.428999999999998,11.44,11.404,11.436,DAY_END,STRESS,-0.0070000000000014495,-0.0070000000000014495,-0.7777777777779094,-6.123698714024538,80,,,,,,,,,,,,
9,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-06 09:05:00+03:00,2026-01-06 09:05:00+03:00,2026-01-06 09:57:00+03:00,SHORT,11.437,11.437,11.456,11.38,11.456,STOP,GROSS,-0.019000000000000128,-0.019000000000000128,-1.0,-16.612748098277635,51,,,,,,,,,,,,
9,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-06 09:05:00+03:00,2026-01-06 09:05:00+03:00,2026-01-06 09:57:00+03:00,SHORT,11.437,11.436,11.456,11.38,11.456999999999999,STOP,BASE,-0.02099999999999902,-0.02099999999999902,-1.1052631578946779,-18.36145842441114,51,,,,,,,,,,,,
9,STRUCTURAL,SIMPLE_SWEEP,CNYRUBF,STRUCTURAL|SIMPLE_SWEEP|CNYRUBF|target=3,2026-01-06 09:05:00+03:00,2026-01-06 09:05:00+03:00,2026-01-06 09:57:00+03:00,SHORT,11.437,11.434999999999999,11.456,11.38,11.458,STOP,STRESS,-0.023000000000001464,-0.023000000000001464,-1.2105263157895425,-20.110168750547754,51,,,,,,,,,,,,
1,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-06 10:05:00+03:00,2026-01-06 10:05:00+03:00,2026-01-06 12:05:00+03:00,SHORT,11.426,11.426,11.465,11.309,11.365,TIME,GROSS,0.06099999999999994,0.06099999999999994,1.5641025641025745,53.387012077717436,120,,,,,,,,,,,,
1,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-06 10:05:00+03:00,2026-01-06 10:05:00+03:00,2026-01-06 12:05:00+03:00,SHORT,11.426,11.425,11.465,11.309,11.366,TIME,BASE,0.05900000000000105,0.05900000000000105,1.5128205128205514,51.63661823910472,120,,,,,,,,,,,,
1,STRUCTURAL,COMPLEX_FALSE_BREAK,CNYRUBF,STRUCTURAL|COMPLEX_FALSE_BREAK|CNYRUBF|target=3,2026-01-06 10:05:00+03:00,2026-01-06 10:05:00+03:00,2026-01-06 12:05:00+03:00,SHORT,11.426,11.424,11.465,11.309,11.367,TIME,STRESS,0.05699999999999861,0.05699999999999861,1.461538461538437,49.886224400488885,120,,,,,,,,,,,,
