level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,anchor_price,level_price,valid_from,valid_trading_date,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L5,CNYRUBF-L5-V6,6,CNYRUBF,MIRROR,11.397,11.398,2026-01-06 11:05:00+03:00,2026-01-06,2026-01-05 11:45:00+03:00,2026-01-06 10:55:00+03:00,7,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00|2026-01-05 18:50:00+03:00|2026-01-06 10:55:00+03:00,2,2,False,True,True,5|13|18|22|24|32|50,LOW|LOW|HIGH|LOW|LOW|LOW|HIGH,177,CNYRUBF-L5-V6,11.398,2026-01-06 11:05:00+03:00
CNYRUBF-L6,CNYRUBF-L6-V2,2,CNYRUBF,MIRROR,11.402,11.402,2026-01-06 11:20:00+03:00,2026-01-06,2026-01-05 12:05:00+03:00,2026-01-06 11:10:00+03:00,3,2026-01-05 12:05:00+03:00|2026-01-05 18:05:00+03:00|2026-01-06 11:10:00+03:00,2,2,False,True,True,6|29|51,LOW|HIGH|HIGH,180,CNYRUBF-L6-V2,11.402,2026-01-06 11:20:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V7,7,CNYRUBF,MIRROR,11.397,11.398,2026-01-06 11:50:00+03:00,2026-01-06,2026-01-05 11:45:00+03:00,2026-01-06 11:40:00+03:00,8,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00|2026-01-05 18:50:00+03:00|2026-01-06 10:55:00+03:00|2026-01-06 11:40:00+03:00,2,2,False,True,True,5|13|18|22|24|32|50|53,LOW|LOW|HIGH|LOW|LOW|LOW|HIGH|HIGH,186,CNYRUBF-L5-V7,11.398,2026-01-06 11:50:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V8,8,CNYRUBF,MIRROR,11.397,11.398,2026-01-06 12:30:00+03:00,2026-01-06,2026-01-05 11:45:00+03:00,2026-01-06 12:20:00+03:00,9,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00|2026-01-05 18:50:00+03:00|2026-01-06 10:55:00+03:00|2026-01-06 11:40:00+03:00|2026-01-06 12:20:00+03:00,2,2,False,True,True,5|13|18|22|24|32|50|53|55,LOW|LOW|HIGH|LOW|LOW|LOW|HIGH|HIGH|HIGH,194,CNYRUBF-L5-V8,11.398,2026-01-06 12:30:00+03:00
CNYRUBF-L23,CNYRUBF-L23-V1,1,CNYRUBF,EL,11.378,11.378,2026-01-06 12:45:00+03:00,2026-01-06,2026-01-06 11:20:00+03:00,2026-01-06 12:35:00+03:00,2,2026-01-06 11:20:00+03:00|2026-01-06 12:35:00+03:00,2,2,False,False,False,52|56,LOW|LOW,197,CNYRUBF-L23-V1,11.378,2026-01-06 12:45:00+03:00
CNYRUBF-L17,CNYRUBF-L17-V1,1,CNYRUBF,MIRROR,11.392,11.391,2026-01-06 12:55:00+03:00,2026-01-06,2026-01-05 17:45:00+03:00,2026-01-06 12:40:00+03:00,2,2026-01-05 17:45:00+03:00|2026-01-06 12:40:00+03:00,2,2,False,True,True,28|57,LOW|HIGH,198,CNYRUBF-L17-V1,11.391,2026-01-06 12:55:00+03:00
CNYRUBF-L13,CNYRUBF-L13-V1,1,CNYRUBF,EL,11.38,11.38,2026-01-06 13:15:00+03:00,2026-01-06,2026-01-05 15:00:00+03:00,2026-01-06 13:05:00+03:00,2,2026-01-05 15:00:00+03:00|2026-01-06 13:05:00+03:00,2,2,False,True,False,17|58,LOW|LOW,201,CNYRUBF-L13-V1,11.38,2026-01-06 13:15:00+03:00
CNYRUBF-L8,CNYRUBF-L8-V1,1,CNYRUBF,MIRROR,11.422,11.423,2026-01-06 13:40:00+03:00,2026-01-06,2026-01-05 12:40:00+03:00,2026-01-06 13:30:00+03:00,2,2026-01-05 12:40:00+03:00|2026-01-06 13:30:00+03:00,2,2,False,True,True,8|59,LOW|HIGH,206,CNYRUBF-L8-V1,11.423,2026-01-06 13:40:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V4,4,CNYRUBF,MIRROR,11.427,11.427,2026-01-06 14:00:00+03:00,2026-01-06,2026-01-05 11:05:00+03:00,2026-01-06 13:50:00+03:00,5,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00|2026-01-05 22:30:00+03:00|2026-01-05 23:35:00+03:00|2026-01-06 13:50:00+03:00,2,2,False,True,True,2|35|42|44|60,HIGH|HIGH|LOW|LOW|HIGH,210,CNYRUBF-L2-V4,11.427,2026-01-06 14:00:00+03:00
CNYRUBF-L3,CNYRUBF-L3-V1,1,CNYRUBF,EL,11.384,11.385,2026-01-06 14:30:00+03:00,2026-01-06,2026-01-05 11:05:00+03:00,2026-01-06 14:20:00+03:00,2,2026-01-05 11:05:00+03:00|2026-01-06 14:20:00+03:00,2,2,False,True,False,3|61,LOW|LOW,214,CNYRUBF-L3-V1,11.385,2026-01-06 14:30:00+03:00
CNYRUBF-L16,CNYRUBF-L16-V3,3,CNYRUBF,EH,11.404,11.404,2026-01-06 14:35:00+03:00,2026-01-06,2026-01-05 17:10:00+03:00,2026-01-06 14:25:00+03:00,4,2026-01-05 17:10:00+03:00|2026-01-05 17:35:00+03:00|2026-01-05 18:30:00+03:00|2026-01-06 14:25:00+03:00,2,2,False,True,False,25|27|31|62,HIGH|HIGH|HIGH|HIGH,215,CNYRUBF-L16-V3,11.404,2026-01-06 14:35:00+03:00
CNYRUBF-L12,CNYRUBF-L12-V2,2,CNYRUBF,EL,11.388,11.388,2026-01-06 14:50:00+03:00,2026-01-06,2026-01-05 14:20:00+03:00,2026-01-06 14:35:00+03:00,3,2026-01-05 14:20:00+03:00|2026-01-05 18:20:00+03:00|2026-01-06 14:35:00+03:00,2,2,False,True,False,15|30|63,LOW|LOW|LOW,217,CNYRUBF-L12-V2,11.388,2026-01-06 14:50:00+03:00
CNYRUBF-L15,CNYRUBF-L15-V3,3,CNYRUBF,MIRROR,11.407,11.407,2026-01-06 15:00:00+03:00,2026-01-06,2026-01-05 16:15:00+03:00,2026-01-06 14:50:00+03:00,4,2026-01-05 16:15:00+03:00|2026-01-05 16:50:00+03:00|2026-01-05 20:15:00+03:00|2026-01-06 14:50:00+03:00,2,2,False,True,True,21|23|37|64,HIGH|HIGH|LOW|HIGH,219,CNYRUBF-L15-V3,11.407,2026-01-06 15:00:00+03:00
CNYRUBF-L25,CNYRUBF-L25-V1,1,CNYRUBF,EL,11.368,11.368,2026-01-06 15:55:00+03:00,2026-01-06,2026-01-06 15:25:00+03:00,2026-01-06 15:45:00+03:00,2,2026-01-06 15:25:00+03:00|2026-01-06 15:45:00+03:00,2,2,False,False,False,65|66,LOW|LOW,230,CNYRUBF-L25-V1,11.368,2026-01-06 15:55:00+03:00
CNYRUBF-L3,CNYRUBF-L3-V2,2,CNYRUBF,MIRROR,11.384,11.386,2026-01-06 16:00:00+03:00,2026-01-06,2026-01-05 11:05:00+03:00,2026-01-06 15:50:00+03:00,3,2026-01-05 11:05:00+03:00|2026-01-06 14:20:00+03:00|2026-01-06 15:50:00+03:00,2,2,False,True,True,3|61|67,LOW|LOW|HIGH,231,CNYRUBF-L3-V2,11.386,2026-01-06 16:00:00+03:00
CNYRUBF-L25,CNYRUBF-L25-V2,2,CNYRUBF,EL,11.368,11.367,2026-01-06 16:45:00+03:00,2026-01-06,2026-01-06 15:25:00+03:00,2026-01-06 16:35:00+03:00,3,2026-01-06 15:25:00+03:00|2026-01-06 15:45:00+03:00|2026-01-06 16:35:00+03:00,2,2,False,False,False,65|66|69,LOW|LOW|LOW,239,CNYRUBF-L25-V2,11.367,2026-01-06 16:45:00+03:00
CNYRUBF-L10,CNYRUBF-L10-V1,1,CNYRUBF,MIRROR,11.372,11.372,2026-01-06 17:30:00+03:00,2026-01-06,2026-01-05 13:05:00+03:00,2026-01-06 17:20:00+03:00,2,2026-01-05 13:05:00+03:00|2026-01-06 17:20:00+03:00,2,2,False,True,True,10|71,LOW|HIGH,248,CNYRUBF-L10-V1,11.372,2026-01-06 17:30:00+03:00
CNYRUBF-L10,CNYRUBF-L10-V2,2,CNYRUBF,MIRROR,11.372,11.372,2026-01-06 17:45:00+03:00,2026-01-06,2026-01-05 13:05:00+03:00,2026-01-06 17:35:00+03:00,3,2026-01-05 13:05:00+03:00|2026-01-06 17:20:00+03:00|2026-01-06 17:35:00+03:00,2,2,False,True,True,10|71|72,LOW|HIGH|HIGH,251,CNYRUBF-L10-V2,11.372,2026-01-06 17:45:00+03:00
CNYRUBF-L28,CNYRUBF-L28-V1,1,CNYRUBF,EL,11.318,11.319,2026-01-06 18:35:00+03:00,2026-01-06,2026-01-06 17:50:00+03:00,2026-01-06 18:25:00+03:00,2,2026-01-06 17:50:00+03:00|2026-01-06 18:25:00+03:00,2,2,False,False,False,73|75,LOW|LOW,261,CNYRUBF-L28-V1,11.319,2026-01-06 18:35:00+03:00
