analysis,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5,omitted_period,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
leave_one_fold_out,,,,,,,,,,,,,,2023-02,694,1.50558664682,0.219250965524,152.160170073,-16.2129477802,9.38510208852,0.403458213256,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-03,699,1.4752686332,0.208327907141,145.621207092,-16.2129477802,8.98178474795,0.403433476395,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-04,704,1.43697950909,0.192648271933,135.624383441,-16.2129477802,8.36518967922,0.399147727273,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-05,699,1.46269496475,0.202792093517,141.751673368,-16.2129477802,8.743115397,0.400572246066,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-06,696,1.48224094897,0.211562114392,147.247231617,-16.2129477802,9.08207647446,0.405172413793,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-07,702,1.45848815216,0.202049370933,141.838658395,-16.2129477802,8.74848055501,0.401709401709,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-08,690,1.46767900894,0.205907468285,142.076153117,-16.2129477802,8.76312901532,0.397101449275,9,11
leave_one_fold_out,,,,,,,,,,,,,,2023-09,701,1.48022022429,0.209490799514,146.85305046,-16.2129477802,9.05776373612,0.403708987161,9,10
leave_one_fold_out,,,,,,,,,,,,,,2023-10,698,1.48991666865,0.213387491227,148.944468877,-16.2129477802,9.18676053827,0.402578796562,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-11,705,1.47031998328,0.2061587007,145.341883993,-16.2129477802,8.96455635109,0.401418439716,9,12
leave_one_fold_out,,,,,,,,,,,,,,2023-12,696,1.47041773405,0.207720728316,144.573626908,-16.2573194806,8.89283298395,0.399425287356,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-01,705,1.471723123,0.205656745699,144.988005718,-16.2129477802,8.94272945814,0.402836879433,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-02,702,1.49897498837,0.216431257706,151.93474291,-16.2129477802,9.37119794433,0.404558404558,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-03,708,1.44445488557,0.195731870427,138.578164263,-21.5920759252,6.41801023406,0.399717514124,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-04,686,1.45944084331,0.202355295788,138.815732911,-21.3545072771,6.50053551269,0.396501457726,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-05,689,1.52017009144,0.225081196638,155.080944484,-16.2129477802,9.56525282052,0.407837445573,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-06,687,1.42923816506,0.186924335232,128.417018304,-19.7444473899,6.5039560626,0.400291120815,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-07,700,1.47818830292,0.209714377564,146.800064295,-16.2129477802,9.05449559725,0.402857142857,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-08,695,1.48263915946,0.210852350898,146.542383874,-16.2129477802,9.03860210125,0.4,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-09,701,1.44757005379,0.196716516391,137.89827799,-16.2129477802,8.50544144465,0.398002853067,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-10,698,1.45406436417,0.198901972814,138.833577024,-16.2129477802,8.56312984573,0.401146131805,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-11,702,1.4047918129,0.179327286642,125.887755223,-16.2129477802,7.76464323014,0.394586894587,9,12
leave_one_fold_out,,,,,,,,,,,,,,2024-12,711,1.47853752603,0.208352441895,148.138586187,-16.2129477802,9.13705442064,0.400843881857,9,12
